PROGRAM TYPE,PROGRAM,SITE NAME,BOROUGH / COMMUNITY,AGENCY,Contact Number,Grade Level / Age Group ,Location 1
"Immigration Services,Immigrant Support Services",Immigrant/Refugee Assistance,COJO Flatbush,Brooklyn,Council of Jewish Organizations of Flatbush (COJO),718.377.2900,Adult,"1550 Coney Island Avenue
Brooklyn, NEW YORK 11230
(40.61969757437525, -73.96431415429318)"
"Immigration Services,Immigrant Support Services",Immigrant/Refugee Assistance,St. George's Episcopal Church,Queens,Flushing Jewish Community Council,718.463.0434,ESOL/Civics,"135 33 38th Avenue
Queens, NEW YORK 11354
(40.76862022064671, -73.82719028070687)"
"Immigration Services,Immigrant Support Services",Immigrant/Refugee Assistance,Henry Street Settlement - Workforce Development Center ,Manhattan,"Henry Street Settlement, Inc. ",212.766.9200,ESOL/Civics,"99 Essex Street
Manhattan, NEW YORK 10002
(40.71844741559961, -73.98830122278652)"
"Immigration Services,Immigrant Support Services",Immigrant/Refugee Assistance,Jackson Heights-Elmhust Kehilah,Queens,"Jackson Heights-Elmhust Kehilah, Inc.",718.457.4591,ESOL/Civics,"33 47 91st Street (Jackson Heights
Queens, NEW YORK 11372
(40.75163073936716, -73.88361254528269)"
"Immigration Services,Immigrant Support Services",Immigrant/Refugee Assistance,Make the Road New York-Jackson Heights Center,Queens,Make the Road New York,718.565.8500,ESOL/Civics,"71 24 Roosevelt Avenue
Queens, NEW YORK 11372
(40.75163073936716, -73.88361254528269)"
"Immigration Services,Immigrant Support Services",Immigrant/Refugee Assistance,Make the Road New York ,Queens,Make the Road New York,718.565.8500,ESOL/Civics,"49 06 Skillman Avenue
Queens, NEW YORK 11377
(40.74519376448069, -73.9048471440804)"
"Immigration Services,Immigrant Support Services",Immigrant/Refugee Assistance,Jackson Heights Program,Queens,"Queens Community House, Inc.",718.592.5757 or 718.898.7461,Adult,"74 09 37th Avenue (Jackson Heights
Queens, NEW YORK 11372
(40.75163073936716, -73.88361254528269)"
"Immigration Services,Immigrant Support Services",Immigrant/Refugee Assistance,"Homecrest Community Services, Inc.",Brooklyn,Shorefront Jewish Community Council,718.743.0575,Adult,"1413 Avenue
Brooklyn, NEW YORK 11229
(40.60123350732056, -73.94436854117521)"
"Immigration Services,Immigrant Support Services",Immigrant/Refugee Assistance,Jay Senior Center,Brooklyn,Shorefront Jewish Community Council,718.743.0575,Adult,"2600 Ocean Avenue
Brooklyn, NEW YORK 11229
(40.598089925353555, -73.95126983806618)"
"Immigration Services,Immigrant Support Services",Immigrant/Refugee Assistance,Southside Community Mission,Brooklyn,"Southside Community Mission, Inc.",718.782.8181 or 718.387.6052 ,ESOL/Civics,"250 Hooper Street
Brooklyn, NEW YORK 11211
(40.70581785170525, -73.9556640768342)"
"Immigration Services,Immigrant Support Services",Immigrant/Refugee Assistance,Southside Community Mission,Brooklyn,"Southside Community Mission, Inc.",718.782.8181 or 718.387.6052 ,Adult,"280 Marcy Avenue
Brooklyn, NEW YORK 11211
(40.70499449388848, -73.95589166067984)"
"Immigration Services,Immigrant Support Services,NDA Programs",NDA Immigrants,United Communities Centers ,Brooklyn,United Communities Centers,718-649-7979,All Ages,"613 New Lots Ave
Brooklyn, NEW YORK 11207
(40.66472649825768, -73.88659110359023)"
"Immigration Services,Immigrant Support Services,NDA Programs",NDA Immigrants,Northern Manhattan Improvement Corporation (NMIC),Manhattan,Northern Manhattan              Improvement Corporation,212-822-8300,All Ages,"76 Wadsworth Avenue
Manhattan, NEW YORK 10033
(40.84705167605878, -73.93704472494271)"
"Immigration Services,Immigrant Support Services,NDA Programs",NDA Immigrants,F.E.G.S. Brooklyn Resource Center [Program site],Brooklyn,"Federation of Employment and Guidance Services, Inc.",718-336-2836x330 ,Adult,"938 Kings Highway
Brooklyn, NEW YORK 11233
(40.60700851986621, -73.96282101223699)"
"Immigration Services,Immigrant Support Services,NDA Programs",NDA Immigrats,"Goodwill Industries of Greater New York & Northern NJ, Refugee and Immigrant Services (Program Site 1)",Brooklyn,Goodwill Industries of Greater New York,718- 339-0939 ,Adult,"1416 Avenue M
Brooklyn, NEW YORK 11230
(40.61789996472653, -73.96077504128672)"
"Immigration Services,Immigrant Support Services,NDA Programs",NDA Immigrants,"Goodwill Industries of NY & Northern NJ, Refugee and Immigrant Services (Program Site 2)",Brooklyn,Goodwill Industries of Greater New York,718-339-0939 ,Adult,"1222 Avenue M
Brooklyn, NEW YORK 11230
(40.61772526251982, -73.96227992950067)"
"Immigration Services,Immigrant Support Services,NDA Programs",NDA Immigrants,Make the Road New York,Brooklyn,Make the Road New York,718-418-7690 X 205,Adult,"391 Grove Street
Brooklyn, NEW YORK 11237
(40.7008190928138, -73.91333075450414)"
"Immigration Services,Immigrant Support Services,NDA Programs",NDA Immigrants,Make the Road New York,Jackson Heights,Make the Road New York,718-418-7690 X 205 ,Adult,"92 10 Roosevelt Avenue
Jackson Heights, NEW YORK 13372
(40.751979000030815, -73.88282399992767)"
"Immigration Services,Immigrant Support Services,NDA Programs",NDA Immigrants,Make the Road New York,Staten Island,Make the Road New York,718-727-1222 718 418-7690 X 205 ,Adult,"479 Port Richmond Avenue
Staten Island, NEW YORK 10302
(40.63093452909704, -74.13901464968129)"
"Family Support,NDA Programs",Health Stat,The Children's Aid Society,Bronx,The Children's Aid Society,(718) 617-8595,All Ages,"1338 Southern Blvd
Bronx, NEW YORK 10460
(40.83246290693709, -73.89070580726401)"
"Family Support,NDA Programs",Health Stat,"The East New York Learning Center, Inc",Brooklyn,"The East New York Learning Center, Inc",(718) 756- 7200,All Ages,"1958 Fulton&#65533; St
Brooklyn, NEW YORK 11233
(40.67813043816926, -73.91977647550391)"
"Family Support,NDA Programs",Health Stat,Make the Road New York,Brooklyn,Make the Road New York,(718) 418-7690,All Ages,"301 Grove St
Brooklyn, NEW YORK 11237
(40.698428502523264, -73.91562347499381)"
"Family Support,NDA Programs",Health Stat,The Children's Aid Society,New York,The Children's Aid Society,212-503-6820,All Ages,"150 45th St
New York, NEW YORK 10017
(40.75294216673416, -73.9736410568292)"
"Family Support,NDA Programs",Health Stat,Northern Manhattan Improvement Corporation,New York,Northern Manhattan Improvement Corporation,(212) 822-8344,All Ages,"76 Wadsworth Ave
New York, NEW YORK 10033
(40.84705167605878, -73.93704472494271)"
"Family Support,NDA Programs",Health Stat,Asian Americans for Equality,Queens,Asian Americans for Equality,(718)961-0888,All Ages,"133 04 39th Ave
Queens, NEW YORK 11354
(40.76862022064671, -73.82719028070687)"
"Family Support,NDA Programs",Health Stat,Asian Americans for Equality,Queens,Asian Americans for Equality,(718)961-0888,All Ages,"95 05 Roosevelt Ave
Queens, NEW YORK 11372
(40.75163073936716, -73.88361254528269)"
"Family Support,NDA Programs",Health Stat,Make the Road New York,Staten Island,Make the Road New York,(347) 547-5133,All Ages,"479 Port Richmond Ave
Staten Island, NEW YORK 10302
(40.63093452909704, -74.13901464968129)"
