Publication,Category,Format,Date,Category 2,Description,Category 3,URL
"Fiscal Year 2004 Adopted Budget - Community Boards Register, Queens",Management and Budget,"Fiscal Year 2004 Adopted Budget - Community Boards Register, Queens",29-Aug-03,Finance and Budget,"Fiscal Year 2004 Adopted Budget - Community Boards Register, Queens",Budget Report,http://nyc.gov/html/records/pdf/govpub/666cbrqu7_03.pdf
"Fiscal Year 2004 Adopted Budget - Community Boards Register, Manhattan",Management and Budget,"Fiscal Year 2004 Adopted Budget - Community Boards Register, Manhattan",29-Aug-03,Finance and Budget,"Fiscal Year 2004 Adopted Budget - Community Boards Register, Manhattan",Budget Report,http://nyc.gov/html/records/pdf/govpub/665cbrma7_03.pdf
"Fiscal Year 2004 Adopted Budget - Community Boards Register, Bronx",Management and Budget,"Fiscal Year 2004 Adopted Budget - Community Boards Register, Bronx",29-Aug-03,Finance and Budget,"Fiscal Year 2004 Adopted Budget - Community Boards Register, Bronx",Budget Report,http://nyc.gov/html/records/pdf/govpub/664cbrbx7_03.pdf
"Fiscal Year 2004 Adopted Budget - Community Boards Register, Bronx",Management and Budget,"Fiscal Year 2004 Adopted Budget - Community Boards Register, Brooklyn",29-Aug-03,Finance and Budget,"Fiscal Year 2004 Adopted Budget - Community Boards Register, Brooklyn",Annual Report,http://nyc.gov/html/records/pdf/govpub/662cbrbr7_03.pdf
Fiscal Year 2004 Adopted Budget - Community Boards Geographic Report for Expense Budget,Management and Budget,Fiscal Year 2004 Adopted Budget - Community Boards Geographic Report for Expense Budget,29-Aug-03,Finance and Budget,Fiscal Year 2004 Adopted Budget - Community Boards Geographic Report for Expense Budget,Annual Report,http://nyc.gov/html/records/pdf/govpub/661cbgeo7_03.pdf
Fiscal Year 2004 Adopted Budget - Capital Budget,Management and Budget,Fiscal Year 2004 Adopted Budget - Capital Budget,29-Aug-03,Finance and Budget,Fiscal Year 2004 Adopted Budget - Capital Budget,Budget Report,http://nyc.gov/html/records/pdf/govpub/660cb7_03.pdf
"Fiscal Year 2004 Adopted Budget - Expense, Revenue, Contract Budget",Management and Budget,"Fiscal Year 2004 Adopted Budget - Expense, Revenue, Contract Budget",29-Aug-03,Finance and Budget,"Fiscal Year 2004 Adopted Budget - Expense, Revenue, Contract Budget",Budget Report,http://nyc.gov/html/records/pdf/govpub/659erc7_03.pdf
VOTER REGISTRATION FORMS NOT AVAILABLE HERE: NYC Community Boards & City Agencies,City Council,"On Sunday September 7, 2003 the New York City Council Investigation Division (CID) released a report entitled ""Voter Registration Forms Not Available Here: NYC Community Boards and City Agencies,"".  The investigation conducted by the CID found The City is",07-Sep-03,Government Policy,VOTER REGISTRATION FORMS NOT AVAILABLE HERE: NYC Community Boards & City Agencies,Report,http://nyc.gov/html/records/pdf/govpub/657voterforms.pdf
City Council Stated Meeting Agenda,City Council,"Agenda for Stated Meeting, August 19, 2003.",19-Aug-03,Government Policy,City Council Stated Meeting Agenda,Legislative Document,http://nyc.gov/html/records/pdf/govpub/644agenda_8-19.pdf
Hudson Square Rezoning: CPC Response to CC Modification C 030237 ZMM & 030236 ZRM ,City Planning,"City Planning Commission Chair's letter in response to a proposed City Council modification of application for the rezoning of Hudson Square area, Manhattan as required by New York City charter. The CC modification was adopted by unanimous CPC decision.",11-Aug-03,Housing and Buildings,Hudson Square Rezoning: CPC Response to CC Modification C 030237 ZMM & 030236 ZRM ,Memoranda - Directive,http://nyc.gov/html/records/pdf/govpub/639modletter-hudsonsquare-8-11-03.pdf
"Inside the Budget, No.119 What's Driving New York City's Growing Pension Burden?",Independent Budget,"IBO Newsfax, 3 pages (PDF Format)",13-Aug-03,Finance and Budget,"Inside the Budget, No.119 What's Driving New York City's Growing Pension Burden?",Budget Report,http://nyc.gov/html/records/pdf/govpub/638insidethebudget119.pdf
"Too Little, Too Late: Special Education in New York City",City Council,"On August 5, 2003 the Council Education Committee released a report entitled ""Too Little, Too Late: Special Education in New York City.""  The report was based on the Education Committee's June 4th hearing on special education and offered a comprehensive a",05-Aug-03,Education,"Too Little, Too Late: Special Education in New York City",Report,http://nyc.gov/html/records/pdf/govpub/635specedreport.pdf
Declaration of Need and Proposed Transitional Capital Plan,Management and Budget,"Declaration of Need and Proposed Transitional Capital Plan - July 24th, 2003",24-Jul-03,Finance and Budget,"Declaration of Need and Proposed Transitional Capital Plan - July 24th, 2003",Budget Report,http://nyc.gov/html/records/pdf/govpub/634dnptcp7_03.pdf
Understanding New York City's Budget: A Guide to the Capital Budget,Independent Budget,Report (16 pages-PDF format),01-Nov-02,Finance and Budget,Understanding New York City's Budget: A Guide to the Capital Budget,Budget Report,http://nyc.gov/html/records/pdf/govpub/633ibocbg.pdf
Is Everything Going to Be Fine(d)? An Overview of New York City FIne Revenue and Collection,Independent Budget,Report (28 pages-PDF Format) ,29-May-03,Finance and Budget,Is Everything Going to Be Fine(d)? An Overview of New York City FIne Revenue and Collection,Budget Report,http://nyc.gov/html/records/pdf/govpub/632fines.pdf
Budget Options for New York CIty,Independent Budget,Report (66 pages-PDF Format),06-Feb-03,Finance and Budget,Budget Options for New York CIty,Budget Report,http://nyc.gov/html/records/pdf/govpub/631options2003.pdf
"Getting the Lead Out: The Fiscal Impact of Intro 101A, the New York City Childhood Lead Poisoning Prevention Act 2003",Independent Budget,Fiscal Impact Statement (28 pages-PDF format),18-Jun-03,Finance and Budget,"Getting the Lead Out: The Fiscal Impact of Intro 101A, the New York City Childhood Lead Poisoning Prevention Act 2003",Budget Report,http://nyc.gov/html/records/pdf/govpub/630intro_101a_fis.pdf
5/31/03 Quarterly Provisional Report,Citywide Admin Svcs,The Department of Citywide Administrative Services 22a Charter Provisional Report on Provisionals within City agencies as of 5/31/03.,31-May-03,Labor Relations,5/31/03 Quarterly Provisional Report,Annual Report,http://nyc.gov/html/records/pdf/govpub/6125.31.03_quarterly_provisional_report.pdf
"Statement of Debt Affordability - May 28th, 2003",Management and Budget,"Statement of Debt Affordability - May 28th, 2003",28-May-03,Finance and Budget,"Statement of Debt Affordability - May 28th, 2003",Annual Report,http://nyc.gov/html/records/pdf/govpub/600sda5_03.pdf
"Asset Information Management System (AIMS) Report - Agency Reconciliation of Maintenance Schedules, Fiscal Year 2003",Management and Budget,"Asset Information Management System (AIMS) Report - Agency Reconciliation of Maintenance Schedules, Fiscal Year 2003",20-May-03,Finance and Budget,"Asset Information Management System (AIMS) Report - Agency Reconciliation of Maintenance Schedules, Fiscal Year 2003",Budget Report,http://nyc.gov/html/records/pdf/govpub/599ar05_03.pdf
"Asset Information Management System (AIMS) Report - Executive Summary, Fiscal Year 2003",Management and Budget,"Asset Information Management System (AIMS) Report - Executive Summary, Fiscal Year 2003",18-Oct-02,Finance and Budget,"Asset Information Management System (AIMS) Report - Executive Summary, Fiscal Year 2003",Report,http://nyc.gov/html/records/pdf/govpub/598as10_02.pdf
Fiscal Year 2003 Adopted Budget - Capital Budget,Management and Budget,Fiscal Year 2003 Adopted Budget - Capital Budget,21-Jun-02,Finance and Budget,Fiscal Year 2003 Adopted Budget - Capital Budget,Budget Report,http://nyc.gov/html/records/pdf/govpub/597cb6_02.pdf
Fiscal Year 2003 Adopted Budget - Contract Budget,Management and Budget,Fiscal Year 2003 Adopted Budget - Contract Budget,21-Jun-02,Finance and Budget,Fiscal Year 2003 Adopted Budget - Contract Budget,Budget Report,http://nyc.gov/html/records/pdf/govpub/596erc7_02d.pdf
Fiscal Year 2003 Adopted Budget - Revenue Budget,Management and Budget,Fiscal Year 2003 Adopted Budget - Revenue Budget,21-Jun-02,Finance and Budget,Fiscal Year 2003 Adopted Budget - Revenue Budget,Budget Report,http://nyc.gov/html/records/pdf/govpub/595erc7_02c.pdf
Fiscal Year 2003 Adopted Budget - Expense Budget,Management and Budget,Fiscal Year 2003 Adopted Budget - Expense Budget,21-Jun-02,Finance and Budget,Fiscal Year 2003 Adopted Budget - Expense Budget,Budget Report,http://nyc.gov/html/records/pdf/govpub/594erc7_02b.pdf
Fiscal Year 2003 Adopted Budget - Budget Summaries,Management and Budget,Fiscal Year 2003 Adopted Budget - Budget Summaries,21-Jun-02,Finance and Budget,Fiscal Year 2003 Adopted Budget - Budget Summaries,Budget Report,http://nyc.gov/html/records/pdf/govpub/593erc7_02a.pdf
"November 2002 Financial Plan, Fiscal Years 2003-2006 - Detail",Management and Budget,"November 2002 Financial Plan, Fiscal Years 2003-2006 - Detail",14-Nov-02,Finance and Budget,"November 2002 Financial Plan, Fiscal Years 2003-2006 - Detail",Budget Report,http://nyc.gov/html/records/pdf/govpub/592tech11_02.pdf
"November 2002 Financial Plan, Fiscal Years 2003-2006 - Summary",Management and Budget,"November 2002 Financial Plan, Fiscal Years 2003-2006 - Summary",14-Nov-02,Finance and Budget,"November 2002 Financial Plan, Fiscal Years 2003-2006 - Summary",Budget Report,http://nyc.gov/html/records/pdf/govpub/591sum11_02.pdf
"January 2003 Financial Plan - Preliminary Capital Budget, Fiscal Year 2004",Management and Budget,"January 2003 Financial Plan - Preliminary Capital Budget, Fiscal Year 2004",28-Jan-03,Finance and Budget,"January 2003 Financial Plan - Preliminary Capital Budget, Fiscal Year 2004",Budget Report,http://nyc.gov/html/records/pdf/govpub/590pcb1_03.pdf
"January 2003 Financial Plan - Capital Commitment Plan, Volume 3",Management and Budget,"January 2003 Financial Plan - Capital Commitment Plan, Volume 3",28-Jan-03,Finance and Budget,"January 2003 Financial Plan - Capital Commitment Plan, Volume 3",Budget Report,http://nyc.gov/html/records/pdf/govpub/589com1_03c.pdf
"January 2003 Financial Plan - Capital Commitment Plan, Volume 2",Management and Budget,"January 2003 Financial Plan - Capital Commitment Plan, Volume 2",28-Jan-03,Finance and Budget,"January 2003 Financial Plan - Capital Commitment Plan, Volume 2",Budget Report,http://nyc.gov/html/records/pdf/govpub/588com1_03b.pdf
"January 2003 Financial Plan - Capital Commitment Plan, Volume 1",Management and Budget,"January 2003 Financial Plan - Capital Commitment Plan, Volume 1",28-Jan-03,Finance and Budget,"January 2003 Financial Plan - Capital Commitment Plan, Volume 1",Budget Report,http://nyc.gov/html/records/pdf/govpub/587com1_03a.pdf
"January 2003 Financial Plan - Departmental Estimate Fiscal Year 2004, Volume 4-5",Management and Budget,"January 2003 Financial Plan - Departmental Estimate Fiscal Year 2004, Volume 4-5",28-Jan-03,Finance and Budget,"January 2003 Financial Plan - Departmental Estimate Fiscal Year 2004, Volume 4-5",Budget Report,http://nyc.gov/html/records/pdf/govpub/586de1_03b.pdf
"January 2003 Financial Plan - Departmental Estimate Fiscal Year 2004, Volume 1-3",Management and Budget,"January 2003 Financial Plan - Departmental Estimate Fiscal Year 2004, Volume 1-3",28-Jan-03,Finance and Budget,"January 2003 Financial Plan - Departmental Estimate Fiscal Year 2004, Volume 1-3",Budget Report,http://nyc.gov/html/records/pdf/govpub/585de1_03a.pdf
"January 2003 Financial Plan - Contract Budget, Fiscal Year 2004",Management and Budget,"January 2003 Financial Plan - Contract Budget, Fiscal Year 2004",28-Jan-03,Finance and Budget,"January 2003 Financial Plan - Contract Budget, Fiscal Year 2004",Budget Report,http://nyc.gov/html/records/pdf/govpub/581cont1_03.pdf
"January 2003 Financial Plan - Preliminary Expense Budget, Fiscal Year 2004",Management and Budget,"January 2003 Financial Plan - Preliminary Expense Budget, Fiscal Year 2004",28-Jan-03,Finance and Budget,"January 2003 Financial Plan - Preliminary Expense Budget, Fiscal Year 2004",Budget Report,http://nyc.gov/html/records/pdf/govpub/580peb1_03.pdf
"January 2003 Financial Plan - Detail, Fiscal Years 2003-2007",Management and Budget,"January 2003 Financial Plan - Detail, Fiscal Years 2003-2007",28-Jan-03,Finance and Budget,"January 2003 Financial Plan - Detail, Fiscal Years 2003-2007",Budget Report,http://nyc.gov/html/records/pdf/govpub/579tech1_03.pdf
"January 2003 Financial Plan - Summary, Fiscal Years 2003-2007",Management and Budget,"January 2003 Financial Plan - Summary, Fiscal Years 2003-2007",28-Jan-03,Finance and Budget,"January 2003 Financial Plan - Summary, Fiscal Years 2003-2007",Budget Report,http://nyc.gov/html/records/pdf/govpub/578sum1_03.pdf
"Tax Revenue Forecasting Documentation, Fiscal Years 2003-2007",Management and Budget,"Tax Revenue Forecasting Documentation, Fiscal Years 2003-2007",04-Apr-01,Finance and Budget,"Tax Revenue Forecasting Documentation, Fiscal Years 2003-2007",Budget Report,http://nyc.gov/html/records/pdf/govpub/577trfd4_03.pdf
"Fiscal Year 2004 Ten-Year Capital Strategy, Fiscal Years 2004-2013",Management and Budget,"Fiscal Year 2004 Ten-Year Capital Strategy, Fiscal Years 2004-2013",15-Apr-03,Finance and Budget,"Fiscal Year 2004 Ten-Year Capital Strategy, Fiscal Years 2004-2013",Budget Report,http://nyc.gov/html/records/pdf/govpub/576typ4_03.pdf
"Fiscal Year 2004 Executive Budget - Community Boards Register, Staten Island",Management and Budget,"Fiscal Year 2004 Executive Budget - Community Boards Register, Staten Island",15-Apr-03,Finance and Budget,"Fiscal Year 2004 Executive Budget - Community Boards Register, Staten Island",Budget Report,http://nyc.gov/html/records/pdf/govpub/575cbrsi4_03.pdf
"Fiscal Year 2004 Executive Budget - Community Boards Register, Queens",Management and Budget,"Fiscal Year 2004 Executive Budget - Community Boards Register, Queens",15-Apr-03,Finance and Budget,"Fiscal Year 2004 Executive Budget - Community Boards Register, Queens",Budget Report,http://nyc.gov/html/records/pdf/govpub/574cbrqu4_03.pdf
Fiscal Year 2004 Executive Budget - Community Boards Register - Manhattan,Management and Budget,"Fiscal Year 2004 Executive Budget - Community Boards Register, Manhattan",15-Apr-03,Finance and Budget,"Fiscal Year 2004 Executive Budget - Community Boards Register, Manhattan",Budget Report,http://nyc.gov/html/records/pdf/govpub/573cbrma4_03.pdf
Fiscal Year 2004 Executive Budget - Community Boards Register - Brooklyn,Management and Budget,"Fiscal Year 2004 Executive Budget - Community Boards Register, Brooklyn",15-Apr-03,Finance and Budget,"Fiscal Year 2004 Executive Budget - Community Boards Register, Brooklyn",Budget Report,http://nyc.gov/html/records/pdf/govpub/572cbrbr4_03.pdf
Fiscal Year 2004 Executive Budget - Community Boards Register - Bronx,Management and Budget,"Fiscal Year 2004 Executive Budget - Community Boards Register, Bronx",15-Apr-03,Finance and Budget,"Fiscal Year 2004 Executive Budget - Community Boards Register, Bronx",Budget Report,http://nyc.gov/html/records/pdf/govpub/571cbrbx4_03.pdf
Fiscal Year 2004 Executive Budget - Community Boards Geographic Report,Management and Budget,Fiscal Year 2004 Executive Budget - Community Boards Geographic Report,15-Apr-03,Finance and Budget,Fiscal Year 2004 Executive Budget - Community Boards Geographic Report,Budget Report,http://nyc.gov/html/records/pdf/govpub/570cbgeo4_03.pdf
