Organization Name,Address,City,State,Zip Code,Main Phone #,Discipline,Council District,Community Board,Borough
Australian Aboriginal Theatre Initiative,60 2nd Avenue,New York,NY,10003,(212) 533-0889,Theater,Manhattan Council District #2,Manhattan Community Board #3,Manhattan
"Autonomedia, Inc.",P.O. Box 568 Williamsburgh Station,Brooklyn,NY,11211,(718) 963-2603,Literature,Brooklyn Council District #33,Brooklyn Community Board #1,Brooklyn
"Avant Media Performance, Inc.","113 South 2nd Street, #1B",Brooklyn,NY,11211,(212) 372-3326,"Multi-Discipline, Performing",Brooklyn Council District #34,Brooklyn Community Board #1,Brooklyn
Azure Ensemble,"c/o Susan Glaser, Steinhardt School, NYU",New York,NY,10012,(212) 222-3067,Music,Manhattan Council District #9,Manhattan Community Board #7,Manhattan
BAM Local Development Corporation,80 Hansen Place,Brooklyn,NY,11217,(718) 907-4411,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn
BCA Development Corporation,1738 Hone Avenue,Bronx,NY,10461,(718) 401-9558,,,,Bronx
BRIC Arts Media Bklyn,126 13th Street,Brooklyn,NY,11215,(718) 683-5600,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn
Balance Dance Theatre,181 East 91st Street,Brooklyn,NY,11212,(718) 624-6414,"Multi-Discipline, Performing",Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn
Balinese American Dance Theatre,"23 West 35th Street, 2nd Floor",New York,NY,10001,(646) 361-9183,Dance,Manhattan Council District #3,Manhattan Community Board #5,Manhattan
"Ballet Ambassadors, Inc.","160 West 71st Street, Ste. 18A",New York,NY,10023,(212) 600-0018,Dance,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
"Ballet Hispanico of New York, Inc.",167 West 89 Street,New York,NY,10024,(212) 362-6710 x23,Dance,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
Ballet Orchestra of New York City,438 East 76th Street #4-C,New York,NY,10021,(212) 988-2148,Music,Manhattan Council District #5,Manhattan Community Board #8,Manhattan
"Ballet Tech Foundation, Inc.","890 Broadway, 8th Floor",New York,NY,10003,(212) 777-7710 x314,Dance,Manhattan Council District #2,Manhattan Community Board #5,Manhattan
"Ballet Theatre Foundation, Inc.","890 Broadway, 3rd Floor",New York,NY,10003,(212) 477-3030 x1188,Dance,Manhattan Council District #2,Manhattan Community Board #5,Manhattan
"Bang Group, Inc.","131 Perry Street, Ste. 1A",New York,NY,10014,(212) 337-9565,Dance,Manhattan Council District #3,Manhattan Community Board #2,Manhattan
"Bang on a Can, Inc.","80 Hanson Place, Ste. 701",Brooklyn,NY,11217,(718) 852-7755,Music,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn
"Barbad Chamber Orchestra, Inc.","PO Box 216, Lenox Hill Station",New York,NY,10021,(212) 414-7691,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
"Bargemusic, Ltd.",Fulton Ferry Landing,Brooklyn,NY,11201,(718) 624-4061,Music,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn
"Barrow Group, Inc.","312 West 36th Street, Apt. 4W",New York,NY,10018,(201) 709-5720,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan
Bartow-Pell Landmark Fund,895 Shore Road,Bronx,NY,10464,(718) 885-1461,Museum,Bronx Council District #13,Bronx Community Board #10,Bronx
"Baryshnikov Dance Foundation, Inc.","450 West 37th Street, Suite 501",New York,NY,10018,(646) 731-3201,"Multi-Discipline, Performing",Manhattan Council District #3,Manhattan Community Board #4,Manhattan
"Batoto Yetu, Inc.",12 Sylvan Terrace,New York,NY,10032,(646) 240-4161,Dance,Manhattan Council District #7,Manhattan Community Board #9,Manhattan
"Battered Women's Safe Territory -an Opportunity to Progress, Inc.",94 Bentwood Drive,Waterbury,NY,6705,(203) 768-3841,"Multi-Discipline, Non-Perform",Bronx Council District #16,Bronx Community Board #5,Bronx
Battery Dance Corporation,"380 Broadway, Fifth Floor",New York,NY,10013,(212) 219-3910,Dance,Manhattan Council District #1,Manhattan Community Board #1,Manhattan
Battleworks Dance Company,P.O. Box 16,New York,NY,10012,(718) 312-8718,Dance,Manhattan Council District #3,Manhattan Community Board #2,Manhattan
"Bayside Glee Club, Inc.",51-17 Reeder Street,Elmhurst,NY,11373,(718) 424-5769,Music,Queens Council District #19,Queens Community Board #4,Queens
Bayside Historical Society,208 Totten Avenue,Bayside,NY,11359,(718) 352-1548,Humanities,Queens Council District #19,Queens Community Board #11,Queens
Bedford Stuyvesant Restoration Corporation,1368 Fulton Street,Brooklyn,NY,11216,(718) 636-6931,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #36,Brooklyn Community Board #3,Brooklyn
"Behind the Book, Inc.","145 West 96th Street, Ste. 1E",New York,NY,10025,(212) 222-3627,Literature,Manhattan Council District #8,Manhattan Community Board #7,Manhattan
Believe In Me,1123 Broadway,New York,NY,10010,(646) 336-1500,,,,Manhattan
"Bella Voce, Inc.",659 85th Street,Brooklyn,NY,11228,(917) 501-0338,Music,Brooklyn Council District #43,Brooklyn Community Board #10,Brooklyn
"Belladonna Series, Inc.",925 Bergen St,Brooklyn,NY,11238,(917) 474-2003,Literature,Brooklyn Council District #35,Brooklyn Community Board #8,Brooklyn
Best of Brooklyn,"209 Joralemon Street, Ste. 360",Brooklyn,NY,11201,(718) 802-3901,Literature,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn
"Beta Israel of North America Cultural Foundation, Inc.",PO Box 470,New York,NY,10030,(212) 284-6942,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #1,Manhattan
Beth Morrison Projects,"305 East 93rd Street, Ste. 4B",New York,NY,10128,(646) 682-7181,Music,Manhattan Council District #4,Manhattan Community Board #8,Manhattan
"Big Apple Circus, Ltd.",One MetroTech Center-North,New York,NY,11201,(212) 268-2500 x148,Theater,Manhattan Council District #3,Manhattan Community Board #5,Brooklyn
"Big Apple Greeter, Inc.",1 Centre Street,New York,NY,10007,(212) 669-3146,Other,Manhattan Council District #1,Manhattan Community Board #1,Manhattan
"Big Apple Performing Arts, Inc.","676A 9th Avenue, Suite 405",New York,NY,10036,(212) 344-1777 x11,Music,Manhattan Council District #1,Manhattan Community Board #1,Manhattan
"Big Art Group, Inc.",P.O. Box 1034,New York,NY,10276,(646) 479-4363,"Multi-Discipline, Performing",Manhattan Council District #3,Manhattan Community Board #2,Manhattan
Big Dance Theater Inc,303 Clinton Street,Brooklyn,NY,11231,(646) 717-0585,Theater,Brooklyn Council District #39,Brooklyn Community Board #2,Manhattan
"Big Tree Productions, Inc.","42 Horatio Street, #9",New York,NY,10014,(212) 633-0016,Dance,Manhattan Council District #3,Manhattan Community Board #2,Manhattan
Biko Transformation Center,1474 Bushwick Avenue,Brooklyn,NY,11207,(718) 455-5963,"Multi-Discipline, Performing",Brooklyn Council District #37,Brooklyn Community Board #4,Brooklyn
"Billie Holiday Theatre, Inc.",P.O. Box 470131,Brooklyn,NY,11247,(718) 636-0918 x11,Theater,Brooklyn Council District #36,Brooklyn Community Board #3,Brooklyn
"Bindlestiff Family Variety Arts, Inc.",P.O. Box 1917,New York,NY,10009,(718) 963-2918,"Multi-Discipline, Performing",Brooklyn Council District #33,Brooklyn Community Board #1,Brooklyn
Black American Heritage Foundation,"94-20 Guy Brewer Boulevard, Room 3D08",Jamaica,NY,11451,(212) 366-6900 x201,"Multi-Discipl, Perf & Non-Perf",Queens Council District #27,Queens Community Board #12,Queens
Black Experimental Theatre,P.O. Box 1902,New York,NY,10013,(646) 623-3488,Theater,Manhattan Council District #2,Manhattan Community Board #2,Manhattan
"Black Moon Theatre Company, Inc.","104 Greenpoint Avenue, #4L",Brooklyn,NY,11222,(347) 268-3276,Theater,Brooklyn Council District #33,Brooklyn Community Board #1,Manhattan
"Black Spectrum Theatre Company, Inc.","119-07 Merrick Boulevard, 2nd Floor",Jamaica,NY,11434,(718) 723-1800,Theater,Queens Council District #27,Queens Community Board #12,Queens
Black Women's Blueprint,P.O. Box 24713,Brooklyn,NY,11202,(347) 599-2682,Visual Arts,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn
"Blackberry Productions, Inc.","170 West 136th Street, Ste. 4C",New York,NY,10030,(212) 694-6698,"Multi-Discipline, Performing",Manhattan Council District #7,Manhattan Community Board #9,Manhattan
"Bloomingdale School of Music, Inc.",323 West 108th Street,New York,NY,10025,(212) 663-6021 x23,Music,Manhattan Council District #9,Manhattan Community Board #7,Manhattan
"Blue Coyote Theater Group, Inc.","380 Broadway, 4th Floor",New York,NY,10013,(646) 242-6260,Theater,Manhattan Council District #1,Manhattan Community Board #1,Manhattan
"Blue Heron Theatre, Inc.","645 West End Avenue, Suite 7B",New York,NY,10025,(212) 787-0422,Theater,Manhattan Council District #6,Manhattan Community Board #7,Manhattan
"Blue Pipa, Inc.",68-39 Harrow Street,Forest Hills,NY,11375,(718) 459-1730,Music,Queens Council District #29,Queens Community Board #6,Queens
Bnos Yakov Educational Center,638 Bedford Avenue,Brooklyn,NY,11211,(718) 963-1212 x101,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #33,Brooklyn Community Board #1,Brooklyn
"Bond Street Theatre Coalition, Ltd.","2 Bond Street, #4R",New York,NY,10012,(212) 254-4614,"Multi-Discipline, Performing",Manhattan Council District #1,Manhattan Community Board #2,Manhattan
"Booklyn, Inc.",37 Greenpoint Avenue,New York,NY,11222,(718) 383-9621,Visual Arts,Brooklyn Council District #33,Brooklyn Community Board #1,Brooklyn
"Boricua Festival Committee, Inc.",539 59th Street,Brooklyn,NY,11220,(718) 492-7129,Music,Brooklyn Council District #38,Brooklyn Community Board #7,Brooklyn
"Borough of Manhattan Community College Performing Arts Center, Inc.","199 Chambers Street, Room #S110C",New York,NY,10007,(212) 220-1459,"Multi-Discipline, Performing",Manhattan Council District #2,Manhattan Community Board #1,Manhattan
Bowery Arts and Science,"310 Bowery, 2nd Floor",New York,NY,10012,(212) 614-0504,Literature,Manhattan Council District #1,Manhattan Community Board #3,Manhattan
"Boys & Girls Harbor, Inc.",1 East 104th Street,New York,NY,10029,(212) 427-2244 x583,"Multi-Discipline, Performing",Manhattan Council District #8,Manhattan Community Board #11,Manhattan
"Brave New World Repertory Theatre, Inc.",303 Westminster Road,Brooklyn,NY,11218,(917) 660-4660,Theater,Brooklyn Council District #40,Brooklyn Community Board #14,Brooklyn
"Brazilian Endowment for the Arts, Inc.",240E 52nd street,New York,NY,10022,(212) 371-1556,Music,Manhattan Council District #5,Manhattan Community Board #5,Manhattan
"Bread & Roses Cultural Project, Inc.","322 West 48th Street, 6th floor",New York,NY,10036,(212) 767-0025 x2,"Multi-Discipline, Non-Perform",Manhattan Council District #3,Manhattan Community Board #4,Manhattan
Brecht Forum,451 West Street,New York,NY,10014,(212) 242-4201 x14,Other,Manhattan Council District #3,Manhattan Community Board #2,Manhattan
"Brick Theater, Inc.",P.O. Box 1851,New York,NY,10101,(917) 640-2119,Theater,Brooklyn Council District #33,Brooklyn Community Board #1,Brooklyn
"Brighton Ballet Theater Company, Inc.",2001 Oriental Boulevard,Brooklyn,NY,11235,(718) 769-9161,Dance,Brooklyn Council District #48,Brooklyn Community Board #15,Brooklyn
"Brighton Neighborhood Association, Inc.",1121 Brighton Beach Avenue,Brooklyn,NY,11235,(718) 891-0800,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #47,Brooklyn Community Board #13,Brooklyn
Bronx Arts Ensemble,"80 Van Cortlandt Park South, Ste. 7D-1",Bronx,NY,10463,(718) 601-7399,"Multi-Discipline, Performing",Bronx Council District #11,Bronx Community Board #8,Bronx
Bronx Children's Museum,PO Box 1381,Bronx,NY,10451-9998,(347) 971-2155,Museum,Bronx Council District #17,Bronx Community Board #4,Bronx
Bronx Community Cable Programming Corp.,Lehman College,Bronx,NY,10468,(718) 960-7158,Film/Video/Audio,Bronx Council District #11,Bronx Community Board #7,Bronx
"Bronx Community College Association, Inc.",2155 University Avenue,Bronx,NY,10453,(718) 289-5127,Music,Bronx Council District #14,Bronx Community Board #5,Bronx
Bronx Conservatory of Music,P.O. Box 633,Bronx,NY,10469,(718) 841-7415,Music,Bronx Council District #14,Bronx Community Board #5,Bronx
Bronx Council on the Arts,1738 Hone Avenue,Bronx,NY,10461,(718) 931-9500 x17,"Multi-Discipline, Non-Perform",Bronx Council District #13,Bronx Community Board #11,Bronx
"Bronx Dance Theatre, Inc.","585 East 187th Street, 2nd Floor",Bronx,NY,10458,(718) 364-2725,Dance,Bronx Council District #15,Bronx Community Board #6,Bronx
Bronx Hispanic Festival Inc,P.O. Box 1765,New York,NY,10451,(917) 699-7598,"Multi-Discipl, Perf & Non-Perf",Bronx Council District #14,Bronx Community Board #7,Bronx
"Bronx House, Inc.",990 Pelham Parkway South,Bronx,NY,10461,(718) 792-1800 x224,"Multi-Discipline, Performing",Bronx Council District #13,Bronx Community Board #11,Bronx
Bronx Opera Company,5 Minerva Place (2J),Bronx,NY,10468,(718) 365-4209,Music,,Bronx Community Board #7,Bronx
"Bronx River Art Center, Inc.",P.O. Box 5002,New York,NY,10460,(718) 589-5819 x11,"Multi-Discipl, Perf & Non-Perf",Bronx Council District #15,Bronx Community Board #6,Bronx
"Bronx Stage & Film Company, Inc.",P.O. Box 580-179,Bronx,NY,10458,(917) 250-6298,Film/Video/Audio,Bronx Council District #15,Bronx Community Board #6,Bronx
"Bronx Symphony Orchestra, Inc.",c/o Denise Orr,Bronx,NY,10468,(718) 601-9151,Music,Bronx Council District #14,Bronx Community Board #8,Bronx
"BronxArtSpace, Inc.","305 East 140th St. , 1A","New York City,Bronx",NY,10454,(718) 401-8144,Visual Arts,Bronx Council District #17,Bronx Community Board #1,Bronx
"BronxWorks, Inc.",60 East Tremont Avenue,Bronx,NY,10453,(718) 365-0910 x25,"Multi-Discipline, Performing",Bronx Council District #14,Bronx Community Board #5,Bronx
Brooklyn Academy of Music,30 Lafayette Avenue,Brooklyn,NY,11217,(718) 636-4111,"Multi-Discipline, Performing",Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn
"Brooklyn Art Incubator, Inc.",P. O. Box 20648,New York,NY,11202,(718) 208-0525,Visual Arts,,,Brooklyn
"Brooklyn Arts Council, Inc.","55 Washington Street, Suite 218",Brooklyn,NY,11201,(718) 625-0080 x222,"Multi-Discipline, Performing",Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn
Brooklyn Arts Exchange,"421 Fifth Avenue, 3rd Fl.",Brooklyn,NY,11215,(718) 832-0018,"Multi-Discipline, Performing",Brooklyn Council District #39,Brooklyn Community Board #6,Brooklyn
"Brooklyn Ballet, Inc.",160 Schermerhorn St,Brooklyn,NY,11201,(718) 246-0146,Dance,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn
Brooklyn Botanic Garden Corporation,1000 Washington Avenue,Brooklyn,NY,11225,(718) 623-7200,Botanical,Brooklyn Council District #35,Brooklyn Community Board #9,Brooklyn
"Brooklyn Bridge Park Conservancy, Inc.",334 Furman Street,Brooklyn,NY,11201,(718) 802-0603 x11,"Multi-Discipline, Non-Perform",Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn
"Brooklyn Center for the Urban Environment, Inc.",168 7th St.,Brooklyn,NY,11215,(718) 788-8500,"Multi-Discipline, Non-Perform",Brooklyn Council District #38,Brooklyn Community Board #6,Brooklyn
Brooklyn Chamber Music Society,49 Cheever Place,Brooklyn,NY,11231,(718) 858-3523,Music,Brooklyn Council District #39,Brooklyn Community Board #6,Brooklyn
Brooklyn Children's Museum,145 Brooklyn Avenue,Brooklyn,NY,11213,(718) 735-4400,Museum,Brooklyn Council District #36,Brooklyn Community Board #8,Brooklyn
"Brooklyn City Streetcar Company, Inc.","1360 Ocean Parkway, Ste. 6L",Brooklyn,NY,11230,(718) 314-0226,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #44,Brooklyn Community Board #12,Brooklyn
Brooklyn Conservatory of Music,58 Seventh Avenue,Brooklyn,NY,11217,(718) 622-3300 x13,Music,Brooklyn Council District #33,Brooklyn Community Board #6,Brooklyn
"Brooklyn Contemporary Chorus, Inc.",G.P.O. Box 3093,Brooklyn,NY,11202,(718) 625-0305,Music,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn
"Brooklyn Four Plus One, Inc.",P.O. Box 22872,New York,NY,11202,(347) 713-5190,Music,Brooklyn Council District #46,Brooklyn Community Board #15,Brooklyn
Brooklyn Heights Music Society,P.O. Box 020-334,Brooklyn,NY,11202,(646) 496-3061,Music,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn
Brooklyn Historical Society,128 Pierrepont Street,Brooklyn,NY,11201,(718) 222-4111 x239,Museum,Brooklyn Council District #33,Brooklyn Community Board #1,Brooklyn
"Brooklyn House of Kulture, Inc.",1685 Ocean Ave,Brooklyn,NY,11230,(646) 596-1283,Dance,Brooklyn Council District #44,Brooklyn Community Board #14,Brooklyn
Brooklyn Institute of Arts and Sciences,200 Eastern Parkway,Brooklyn,NY,11238,(718) 638-5000,Visual Arts,Brooklyn Council District #35,Brooklyn Community Board #9,Brooklyn
Brooklyn Music School,126 Saint Felix Street,Brooklyn,NY,11217,(718) 434-4500,"Multi-Discipline, Performing",Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn
