Agency,Indicator Name,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
HPD,Total emergency complaints reported,"268,796","337,699","414,847","404,879","412,483","396,260","419,271","409,354","407,772","388,276"
HPD,Total emergency violations issued,"69,618","70,607","84,042","103,938","91,173","88,997","104,370","97,506","88,342","92,665"
HPD,Total number of apartments inspected for lead - includes DOHMH Commissioner's Order to Abate (COTA) inspections,,,,,"21,779","17,646","18,208","20,599","18,625","17,896"
HPD,Total number of complaints closed,,,,,"634,133","633,078","627,228","613,836","612,428","599,374"
HPD,Total number of emergency complaints closed,,,,,"413,204","398,786","419,315","407,826","408,379","389,952"
HPD,Total starts financed or assisted under the New Housing Marketplace Plan (NHMP) (units),,"10,210","18,340","17,393","18,465","17,008","12,500","14,767","15,735","16,942"
HPD,Total violations issued,"314,267","311,526","482,674","582,038","521,547","483,578","532,497","495,726","462,721","468,644"
HPD,Total violations removed,"416,684","404,003","494,865","643,164","675,171","721,629","706,478","608,214","556,777","536,010"
HPD,Units completed for homeless individuals and families,294,309,391,239,405,442,835,620,684,891
HPD,Violations issued and removed in the same fiscal year (%),25%,25%,25%,33%,33%,34%,37%,38%,41%,43%
HRA,- Non-cash assistance persons receiving Supplemental Nutrition Assistance Program benefits (000),295.9,385.2,435.9,474.2,521.5,607.4,860.1,"1,071.00","1,159.10","1,159.40"
HRA,- SSI persons receiving Supplemental Nutrition Assistance Program benefits (000),143.1,147.2,193.5,189.1,180.2,231.9,243.3,258.4,262.9,274.4
HRA,APS assessment Cases,,,,,,"3,212","3,411","3,362","3,159","3,050"
HRA,APS assessment cases accepted or denied for undercare within State-mandated 60 days (%),,,,,88.00%,90.00%,96.40%,96.40%,98.40%,98.50%
HRA,APS undercare cases,,,,,,"5,928","6,167","6,129","6,113","6,227"
HRA,Average annual administrative cost per Cash Assistance case ($),$450.71 ,$420.89 ,$429.98 ,$413.86 ,$434.27 ,$461.83 ,$482.41 ,$561.96 ,$436.41 ,$472.91 
HRA,Average days to initiate home attendant and housekeeper services for all cases,23.6,22.4,17.6,15.6,15.1,,,,,33.1
HRA,Average number of days from submission of a completed application to approval or denial of enhanced housing benefits to keep HASA clients in stable housing,6.1,8.1,8.5,8.9,8.9,8.2,8.9,6.8,6,7.9
HRA,Average number of days from submission of a completed application to issuance of enhanced housing benefits to HASA clients,,,,,,,,17.5,16.6,17.3
HRA,Billed revenue as a percentage of budgeted revenue (%),,,,,82.25%,83.82%,78.50%,78.21%,80.21%,78.30%
HRA,Cases receiving home care services (Total),,,,,,"82,540","83,899","85,251","88,722","99,716"
HRA,Cash Assistance cases that remained closed for 180 days due to employment (Calendar year-to-date average - %),,,,80.50%,80.80%,80.30%,79.80%,80.30%,80.70%,80.50%
HRA,Cash assistance application timeliness rate (%),,,,80.90%,86.60%,90.70%,88.90%,91.90%,90.80%,94.20%
HRA,"Cash assistance cases engaged in any training or education, which may include other activities, in accordance with New York City guidelines (%)",,56.10%,51.00%,52.80%,57.20%,57.00%,56.10%,53.70%,52.80%,54.80%
HRA,Cash assistance cases that retained employment income 180 days after being placed in a job (Calendar year-to-date average - %),,,,80.60%,80.50%,80.60%,80.30%,80.40%,80.00%,80.80%
HRA,Cash assistance cases with an adult head of household who is temporarily or permanently unable to engage in any work or work-related activity (%),,,,50.10%,52.10%,54.30%,57.00%,56.60%,55.20%,55.70%
HRA,Cash assistance fair hearing win rate (%),78.70%,84.10%,86.20%,87.20%,86.00%,86.60%,87.20%,87.90%,89.30%,90.30%
HRA,Cash assistance family cases participating in work or work-related activities per federal guidelines (official federal fiscal year-to-date average)(%),,,,,39.00%,36.30%,32.30%,35.60%,35.50%,33.00%
HRA,Child support cases with orders of support (%),67.00%,73.10%,71.70%,71.90%,72.00%,72.40%,76.20%,70.50%,69.70%,70.10%
HRA,Child support collected ($ million),$487.70 ,$521.10 ,$546.50 ,$588.30 ,$601.90 ,$641.60 ,$671.30 ,$686.40 ,$718.30 ,$748.80 
HRA,Client responses to public health insurance mailed renewal notices (%),,,,,68.30%,68.60%,74.60%,74.60%,74.40%,72.40%
HRA,Clients found eligible for public health insurance who responded to a mailed renewal notice (%),,,,,90.90%,91.60%,95.40%,93.90%,92.70%,91.90%
HRA,Clients whom HRA helped obtain employment (000),93,78.5,88.7,80.5,74.9,80.2,78.7,76.8,78.7,89.5
HRA,Current obligations collected (%),67.70%,65.10%,66.90%,66.90%,69.30%,70.20%,70.40%,69.30%,69.10%,68.50%
HRA,Domestic Violence Nonresidential Services Programs  active caseload,"1,606","1,626","2,430","2,879","2,957","3,209","3,263","2,901","2,849","3,065"
HRA,Families seeking shelter at Prevention Assistance and Temporary Housing (PATH) who entered HRA's domestic violence shelters (%),,,,,17.60%,27.00%,62.20%,70.00%,79.80%,83.50%
HRA,HASA clients receiving ongoing enhanced housing benefits (%),63.00%,67.00%,70.70%,79.70%,79.50%,83.00%,81.10%,80.70%,81.40%,83.70%
HRA,Individuals and families at imminent risk diverted from becoming homeless (%),98.60%,99.00%,99.10%,99.20%,99.40%,99.50%,92.20%,94.40%,90.10%,92.00%
HRA,Individuals receiving HASA services,"31,811","31,863","31,644","31,007","31,040","30,915","31,289","32,119","32,618","32,427"
HRA,Individuals referred to an Adult Protective Services (APS) field office visited within three working days (%),88.30%,87.20%,87.40%,91.20%,85.10%,95.70%,98.40%,98.90%,99.70%,99.70%
HRA,"Medicaid recoveries and cost avoidance for fraud, waste & abuse ($ millions)",,,,,$73.20 ,,,,$219.10 ,$214.30 
HRA,Number of WeCARE federal disability awards,,,21,959,"3,150","4,927","6,419","7,128","6,305","4,957"
HRA,Number of domestic violence emergency beds (capacity),"1,832","1,832","1,995","2,081","2,081","2,144","2,144","2,208","2,228","2,228"
HRA,Percent of HRA clients whom HRA helped obtain employment compared to monthly goal (Calendar year-to-date) (%),66.40%,87.50%,93.00%,88.50%,87.50%,100.40%,95.40%,99.00%,95.10%,94.90%
HRA,Percentage of claims filed within 60 days of close of expenditure month (%),,,,89.00%,90.00%,89.00%,100.00%,100.00%,100.00%,100.00%
HRA,Personal care services - average weekly billable hours,,,,,,46.9,48.2,48.3,47.8,48.4
HRA,Persons receiving Cash Assistance (000),421.5,437.5,416.2,393.8,360.7,341.3,346.1,346.3,355.6,353.3
HRA,Persons receiving Supplemental Nutrition Assistance Program benefits (000),871.3,991.8,"1,086.20","1,095.20","1,095.00","1,241.60","1,502.40","1,731.90","1,830.90","1,834.20"
HRA,Public health insurance Medicaid-only enrollees (000),"1,360.10","1,634.60","1,770.00","1,787.90","1,795.60","1,820.40","1,949.20","2,088.40","2,150.90","2,241.60"
HRA,Public health insurance enrollees (000),"2,219.20","2,458.10","2,591.30","2,583.50","2,560.00","2,563.80","2,704.90","2,843.60","2,912.70","3,006.50"
HRA,Public health insurance fair hearing win rate (%),,76.00%,76.00%,83.80%,83.40%,82.30%,81.70%,84.60%,88.80%,91.30%
HRA,Safety net assistance (SNA) cases participating in work or work-related activities as calculated in accordance with State guidelines (State fiscal year-to-date average - %),,,,,66.00%,63.90%,62.00%,59.00%,59.90%,61.50%
HRA,"Safety net assistance (SNA) single cases engaged in any training or education, which may include other activities, in accordance with New York City guidelines (%)",,,58.40%,63.10%,67.00%,67.40%,66.80%,65.60%,64.60%,67.40%
HRA,Serious personal care complaints resolved in 24 hours (%),98.80%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
HRA,Supplemental Nutrition Assistance Program estimated payment error rate (%),,,7.11%,4.02%,5.53%,5.43%,6.68%,6.74%,4.37%,6.10%
HRA,Total WeCARE cases,,,,"25,948","25,312","24,366","24,999","25,342","24,395","25,454"
LAW,Crime victims assessed for community-based services (%),,,,19%,20%,28%,34%,34%,46%,44%
LAW,Juvenile conviction rate (%),76%,77%,76%,73%,70%,70%,71%,72%,71%,73%
LAW,Referred cases filed for prosecution (%),73%,71%,77%,72%,66%,62%,59%,55%,55%,55%
LAW,Tort cases commenced - Citywide,"9,606","7,768","7,341","6,811","6,260","6,190","6,337","6,442","6,388","7,265"
LAW,Tort cases commenced - Parks & Recreation,308,253,274,243,251,274,264,288,258,299
LAW,Tort cases commenced - Police Department,"1,229","1,123","1,125","1,179","1,212","1,425","1,536","1,700","1,563","2,004"
LAW,Tort cases commenced - Sanitation,452,522,515,386,233,299,273,350,398,541
LAW,Tort cases commenced - Transportation,"3,386","3,173","2,710","2,417","1,894","2,146","2,138","2,175","1,983","2,178"
LAW,Tort dispositions - Citywide,"10,247","10,713","8,578","7,722","7,857","7,116","6,730","6,921","6,573","6,381"
LAW,Tort dispositions - Parks & Recreation,365,335,327,267,306,292,287,327,275,248
LAW,Tort dispositions - Police Department,"1,444","1,467","1,269","1,258","1,153","1,286","1,379","1,594","1,637","1,634"
LAW,Tort dispositions - Sanitation,541,562,466,460,372,348,348,318,353,389
LAW,Tort dispositions - Transportation,"4,222","3,825","3,511","3,081","3,025","2,837","2,406","2,487","2,114","1,979"
LAW,Total tort cases pending,"43,628","36,462","33,149","30,290","28,083","20,084","17,791","17,362","16,850","17,168"
LAW,Total tort payout ($000) - Citywide,"$557,918 ","$559,000 ","$492,489 ","$477,010 ","$534,978 ","$554,326 ","$570,581 ","$541,595 ","$560,852 ","$506,048 "
LAW,Total tort payout ($000) - Parks & Recreation,"$15,017.80 ","$8,554.60 ","$12,140.90 ","$5,925.60 ","$18,262.70 ","$12,258.70 ","$9,722.90 ","$17,549.50 ","$16,152.60 ","$16,778.40 "
LAW,Total tort payout ($000) - Police Department,"$66,181.00 ","$82,210.70 ","$68,566.20 ","$59,698.80 ","$61,123.10 ","$80,047.10 ","$117,692.40 ","$87,765.30 ","$99,795.60 ","$80,000.00 "
LAW,Total tort payout ($000) - Sanitation,"$13,849.60 ","$17,743.00 ","$11,517.80 ","$13,983.80 ","$31,477.10 ","$25,822.50 ","$25,523.80 ","$34,075.10 ","$23,999.90 ","$30,977.60 "
LAW,Total tort payout ($000) - Transportation,"$111,538.10 ","$95,731.20 ","$90,567.10 ","$95,698.60 ","$100,226.40 ","$95,314.10 ","$85,744.50 ","$72,593.80 ","$62,884.20 ","$66,795.50 "
LPC,Actions taken,"7,818","7,872","8,780","8,974","9,463","10,730","9,107","9,274","11,738","11,238"
LPC,Archeology applications received,215,280,277,325,377,392,328,298,273,283
LPC,Archeology applications reviewed within 10 days (%),93%,84%,92%,90%,90%,89%,96%,96%,96%,96%
LPC,Certificates of No Effect issued within 10 days (%),92%,88%,90%,87%,88%,90%,92%,86%,85%,80%
LPC,Expedited Certificates of No Effect issued within two days (%),100%,100%,95%,100%,100%,100%,100%,100%,100%,92%
LPC,Individual landmarks and historic districts designated,17,15,16,20,28,30,40,40,40,36
LPC,Investigations completed,,,"1,078","1,363","1,194","1,430","1,215","1,165",927,796
LPC,Investigations resulting in enforcement action (%),,,84%,72%,71%,61%,58%,64%,61%,62%
LPC,Notices of Violation upheld at the Environmental Control Board (%),73%,99%,100%,98%,98%,98%,98%,98%,97%,98%
LPC,Permits for minor work issued within 10 days (%),86%,85%,90%,85%,87%,87%,90%,85%,81%,81%
LPC,Total number of buildings designated,85,220,46,333,"1,158",438,998,598,"1,528","1,040"
LPC,Warning letters issued,"1,006",980,648,657,565,"1,285","1,011","1,275",752,810
LPC,Work permit applications received,"7,875","8,107","9,019","8,944","9,363","10,103","8,929","9,358","10,753","11,823"
NYCHA,Annual HUD Assessment rating,86,90,90,83,83,,83,79,,
NYCHA,Applicants placed in public housing,"8,021","7,174","7,126","6,589","5,848","5,220","5,744","5,554","5,650","6,012"
NYCHA,Applicants placed through Section 8 vouchers,"11,298","12,216","4,013","2,442","5,164","11,847","12,313","7,523",,421
NYCHA,Average daily attendance in community centers ages 13-19,,"2,917","2,477","2,354","3,479","3,498","2,314","1,616","1,720","1,618"
NYCHA,Average daily attendance in community centers ages 6-12,,"5,683","3,306","3,229","3,906","3,785","2,822","2,402","2,800","2,447"
NYCHA,Average outage per elevator per month,,,,,1.17,1.15,1.12,1.15,1.08,1.01
NYCHA,Average time to prepare vacant apartments (days),10,11.9,11.8,11.8,15.7,27,30.2,39.4,30.9,31.8
NYCHA,Average time to resolve elevator outages (hours),,,,9.6,10.2,10.4,11.4,13.1,5.2,3.8
NYCHA,Average time to resolve emergency service requests (hours),1.2,,,,5.1,8.3,,,18.3,7.5
NYCHA,Average time to resolve heat service requests (heating season),,,4.2,4.3,5.8,8.7,7.4,,12.9,11.9
NYCHA,Average time to resolve non-emergency service requests (days),10.3,14.9,12.9,13.8,11.6,6.8,5.1,,29,30
NYCHA,Average turnaround days for vacant apartments,40.8,38.6,29.1,37.2,39.9,46.2,43.9,36.5,35.2,40
NYCHA,Disabled persons placed in public housing,30.00%,31.00%,29.20%,30.50%,27.80%,27.10%,26.40%,24.10%,22.40%,23.90%
NYCHA,Elevator service uptime (%),98.50%,97.30%,97.60%,96.90%,97.50%,98.20%,98.10%,97.90%,99.20%,99.40%
NYCHA,Emergency Transfer Program disposition time,,,78.1,56.16,43.24,39.77,41.44,40.34,39.76,44.18
NYCHA,Families on Section 8 waiting list (000),126,132,127,126,100,136,128,125,,124
NYCHA,Initial social service tenant contacts conducted within five days of referral (%),88%,81%,81%,84%,91%,92%,82%,78%,76%,76%
NYCHA,Job training graduates placed in jobs (%),54%,61%,60%,77%,27%,57%,83%,133%,75%,61%
NYCHA,Major felony crimes in public housing developments,"5,565","5,367","5,112","5,005","4,808","4,686","4,275","4,090","4,406","4,771"
NYCHA,Management cost per dwelling unit ($),$718 ,$704 ,$736 ,$777 ,$793 ,$788 ,$795 ,$826 ,$858 ,$885 
NYCHA,Number of alleged elevator injuries reported to DOB,,,,,28,30,33,30,24,13
NYCHA,Number of apartments (000),181,181,180,179,178,178,179,178,179,179
NYCHA,Number of elevator related fatalities,,,,,1,0,1,0,0,0
NYCHA,Occupancy rate (%),99.30%,99.60%,99.50%,99.30%,99.20%,99.10%,99.30%,99.50%,99.40%,99.20%
NYCHA,Percent of elevator outages due to vandalism,,,,,28.30%,29.80%,29.70%,29.90%,31.80%,34.80%
NYCHA,Percentage of active capital projects in construction phase on schedule,,,,,62.50%,62.80%,79.60%,87.40%,71.60%,91.10%
NYCHA,Percentage of active capital projects on schedule,,,,,39.00%,22.10%,39.20%,38.70%,27.50%,29.10%
NYCHA,Public housing apartments that are occupied or available for occupation,"176,612","176,239","176,269","176,410","176,233","175,453","176,428","177,068","177,711","178,062"
NYCHA,Referrals to supportive social services for senior residents,"153,075","161,546","150,231","141,516","167,858","215,640","161,465","96,247","95,299","94,665"
NYCHA,Rent collection (%),100.80%,100.40%,98.20%,98.20%,100.50%,100.20%,99.00%,98.70%,99.00%,99.20%
NYCHA,Resident job placements,871,686,603,"1,079","1,327","1,286","1,223","1,519","2,090","1,593"
NYCHA,Residents approved for the Emergency Transfer Program,633,532,760,774,641,791,793,850,859,849
NYCHA,Section 8 Occupied Units (Certificates and Vouchers),"86,114","91,931","88,739","83,927","82,801","88,554","95,501","100,570","95,898","93,789"
NYCHA,Utilization of community centers (%) ages 13-19,,,,,102.00%,97.80%,117.30%,148.70%,151.10%,146.30%
NYCHA,Utilization of community centers (%) ages 6-12,,,,,96.00%,105.70%,115.80%,173.30%,185.00%,161.90%
NYCHA,Utilization of senior centers (%) ages 60+,91.00%,103.00%,131.00%,135.00%,94.00%,98.40%,127.10%,155.90%,156.00%,157.00%
NYCHA,Utilization rate for Section 8 vouchers (%),96.90%,99.50%,100.00%,90.80%,82.80%,86.80%,94.00%,101.00%,98.30%,95.30%
NYCHA,Working families placed in public housing (%),43.20%,42.60%,49.20%,56.00%,60.00%,64.10%,64.10%,68.50%,69.20%,67.00%
NYCHA,Working families residing in public housing (cumulative) (%),40.00%,40.80%,41.20%,42.60%,44.30%,45.20%,46.20%,47.20%,46.70%,48.00%
NYCHA,Youth placed in jobs through youth employment programs,"1,882","1,855","2,530","2,121","2,015","1,865","2,029","1,343","1,127","1,188"
NYPD,Average Response Time to crimes in progress - Critical (minutes),5,5,4.4,4.3,4.2,4.3,4.3,4.4,4.6,4.6
NYPD,Average arrest to complaint sworn time (hours),,,10,10,9.8,10.5,10.4,10.2,10.5,10.6
NYPD,Average response time to all crimes in progress - Citywide (minutes),7.5,7.7,7.2,7.1,6.9,7.3,7.3,7.5,8.4,9.1
NYPD,Average response time to crimes in progress - Non-critical (minutes),11.7,12.6,12,11.8,11.7,12.4,12.3,12.1,12.9,13.3
NYPD,Average response time to crimes in progress - Serious (minutes),6.9,6.9,6.3,6,5.6,5.6,5.7,5.8,6.2,6.5
NYPD,Burglary,"29,447","28,596","25,221","23,704","21,968","20,913","19,584","19,617","18,423","19,162"
NYPD,Counterterrorism training (hrs) - Non-members,"51,188","21,386","32,084","21,863","27,181","26,524","77,139","80,940","80,527","74,236"
NYPD,Counterterrorism training (hrs) - Uniformed members,"86,428","232,629","315,523","195,845","259,504","342,498","286,478","239,131","209,081","336,552"
NYPD,"Courtesy, Professionalism and Respect (CPR) testing - Acceptable","7,142","7,148","7,215","7,309","7,523","8,137","7,909","8,099","8,335","8,232"
NYPD,"Courtesy, Professionalism and Respect (CPR) testing - Below standard",48,38,28,53,42,62,38,43,40,31
NYPD,"Courtesy, Professionalism and Respect (CPR) testing - Exceptionally good",22,20,12,17,16,15,11,8,4,5
NYPD,"Courtesy, Professionalism and Respect (CPR) testing - Tests conducted","7,212","7,206","7,255","7,379","7,581","8,214","7,958","8,150","8,379","8,268"
NYPD,Crime related to domestic violence - Felonious assault *,"4,395","3,999","3,805",,,,,"4,777","5,870","6,781"
NYPD,Crime related to domestic violence - Murder *,66,72,57,,,,,68,85,75
NYPD,Crime related to domestic violence - Rape *,384,410,402,,,,,351,502,535
NYPD,Driving while intoxicated (DWI) related fatalities *,32,32,26,28,18,25,26,20,10,18
NYPD,Felonious assault *,"19,689","18,324","17,728","17,167","17,047","16,989","16,112","16,906","17,743","18,762"
NYPD,Forcible rape *,"1,431","1,348","1,243","1,115",944,876,762,860,"1,138","1,098"
NYPD,Gang motivated incidents,923,611,520,554,713,577,335,228,303,310
NYPD,Grand larceny,"44,813","47,479","48,360","46,684","45,818","44,799","41,468","38,295","38,193","40,642"
NYPD,Grand larceny auto,"24,711","21,848","19,159","16,782","14,478","12,723","11,788","10,736","9,647","8,870"
NYPD,Gun arrests,,,,"6,778","6,855","6,794","6,355","6,097","5,881","5,835"
NYPD,Juvenile arrests for major felonies,"4,286","4,330","4,352","4,842","4,469","4,373","4,207","4,028","3,767","3,450"
NYPD,Major felony crime,"147,669","143,268","136,491","130,093","123,136","119,052","110,828","105,702","105,496","109,299"
NYPD,Major felony crime in housing developments,"5,565","5,367","5,112","5,005","4,808","4,686","4,275","4,090","4,406","4,771"
NYPD,Major felony crime in transit system,"3,437","3,220","3,383","2,709","2,554","2,346","2,196","2,060","2,321","2,741"
NYPD,Murder and non-negligent manslaughter *,599,566,537,564,557,516,473,494,526,474
NYPD,Narcotics arrests,"103,356","96,965","87,927","92,374","107,331","110,746","107,294","106,655","106,840","99,344"
NYPD,Narcotics arrests - felonies,"27,725","26,161","27,265","28,262","31,373","30,760","27,370","24,575","21,909","20,541"
NYPD,Narcotics arrests - misdemeanors,"74,867","70,140","59,985","63,413","75,233","79,291","79,159","81,273","84,011","77,776"
NYPD,Narcotics arrests - violations,764,664,677,699,725,695,765,807,920,"1,027"
NYPD,Quality-of-life summonses,"532,817","708,349","678,234","602,620","597,595","527,027","544,213","556,637","538,024","497,656"
NYPD,Robbery *,"26,979","25,107","24,243","24,077","22,324","22,236","20,641","18,794","19,495","20,291"
NYPD,School safety - Burglary,,,139,122,137,138,104,81,86,81
NYPD,School safety - Felonious assault,,,319,256,246,248,231,240,269,250
NYPD,School safety - Grand larceny,,,569,552,579,514,414,361,307,326
NYPD,School safety - Grand larceny auto,,,5,4,5,2,2,7,2,2
NYPD,School safety - Murder,,,0,0,0,0,0,1,0,0
NYPD,School safety - Other criminal categories,"4,419","4,774","4,741","4,659","4,635","4,533","3,559","3,302","3,089","3,295"
NYPD,School safety - Other incidents,"9,247","10,377","10,038","9,288","8,687","7,456","5,843","5,354","5,119","5,365"
NYPD,School safety - Rape,,,6,3,5,0,5,2,6,5
NYPD,School safety - Robbery,,,276,250,192,140,146,147,131,148
NYPD,School safety - seven major crimes,"1,214","1,365","1,314","1,187","1,164","1,042",902,839,801,812
NYPD,Summonses for hazardous violations,"743,279","861,194","870,896","883,060","874,929","879,221","889,776","903,746","843,171","706,250"
NYPD,Summonses for prohibited use of cellular phones,"54,183","97,380","133,173","159,431","177,665","190,589","211,658","231,345","197,746","153,671"
NYPD,Total civilian complaints against members of the service,"5,091","5,949","6,360","7,349","7,662","7,488","7,661","6,954","6,259","5,724"
NYPD,Total moving violation summonses (000),"1,143","1,252","1,224","1,278","1,250","1,227","1,226","1,262","1,189","1,015"
NYPD,Traffic fatalities (bicyclists/pedestrians),194,195,162,180,174,177,178,162,158,176
NYPD,Traffic fatalities (motorist/passengers),172,142,138,127,136,123,98,97,78,115
NYPD,Unreasonable noise summonses,"14,665","19,202","19,234","16,820","12,286","15,012","13,660","17,056","14,030","14,302"
NYPL,Average weekly scheduled hours - Branches,36.3,37.1,38.9,39.6,39.5,51.7,51.9,47,46.6,46.6
NYPL,Average weekly scheduled hours - Research,38.8,38.8,39.4,39.5,39.5,47.5,49,48.8,46.8,46.8
NYPL,Circulation (000),"14,400","14,598","15,547","15,911","16,557","19,588","22,104","24,085","27,908","28,278"
NYPL,Computers for public use (Branch and Research),"1,794","2,199","2,328","2,337","2,583","2,854","3,525","3,627","3,704","4,026"
NYPL,Electronic visits to website (Branch and Research) (000),"10,948","12,754","15,133","19,451","25,410","28,037","24,637","25,369","31,248","32,307"
NYPL,Libraries open seven days per week - Branches (%),4%,4%,4%,4%,3%,9%,11%,4%,4%,4%
NYPL,Libraries open seven days per week - Research (%),0%,0%,0%,0%,0%,25%,25%,0%,25%,25%
NYPL,Libraries open six days per week - Branches (%),20%,18%,33%,38%,44%,100%,100%,100%,100%,100%
NYPL,Libraries open six days per week - Research (%),0%,0%,25%,25%,25%,100%,100%,100%,75%,75%
NYPL,Library card holders (000),"1,977","1,985","2,137","2,173","2,567","2,589","2,654","3,120","2,215","1,985"
NYPL,Program attendance - Branches,"482,866","447,894","515,263","488,771","549,850","630,417","781,899","758,685","864,669","1,058,899"
NYPL,Program attendance - Research,"52,528","48,333","51,713","58,377","59,979","59,643","70,038","67,220","101,533","109,228"
NYPL,Program sessions - Branches,"26,429","23,935","25,818","25,008","25,922","30,968","38,613","42,024","43,270","53,157"
NYPL,Program sessions - Research,"2,335","2,451","1,971","2,477","2,208","1,605","1,187","1,041","1,639","1,983"
NYPL,Reference queries - Branches (000),"6,406","6,359","6,825","6,923","7,651","7,794","8,058","7,503","7,909","8,844"
NYPL,Reference queries - Research (000),609,613,651,621,616,564,453,402,375,348
NYPL,Total library attendance - Branches (000),"12,027","11,688","11,424","11,969","13,190","14,224","15,608","15,248","15,063","14,836"
NYPL,Total library attendance - Research (000),"1,774","1,680","1,947","1,933","1,805","2,010","2,381","2,363","2,475","3,375"
OATH,Average adjournment time at OATH (business days),24,23,22.2,16.6,15.1,13.4,13.3,15.3,14.6,14.8
OATH,Average time for OATH to issue decisions after records closed (business days),23.5,30.2,42.4,36,23.2,12.1,12,10.2,12.8,13.4
OATH,Average time from ECB hearing assignment to decision (days),,,,,90,96,89,72,20,8
OATH,Cases filed at OATH (total),"1,640","2,189","2,168","2,007","2,328","2,775","3,472","2,921","2,611","2,027"
OATH,Dismissed,,,,,"64,687","66,975","72,075","86,632","69,009","71,357"
OATH,ECB decisions rendered (total),,,,,"166,344","177,173","187,475","204,192","178,872","172,409"
OATH,ECB hearings conducted,,,,,"156,330","225,505","241,521","306,689","252,371","255,718"
OATH,In violation,,,,,"99,440","108,670","114,287","116,458","108,470","99,198"
OATH,Notices of Violation (NOV) received by ECB,,,,,"722,670","678,245","704,680","694,273","562,418","563,477"
OATH,OATH cases with decisions issued within 45 business days (%),66%,60%,64%,75%,83%,92%,90%,95%,96%,98%
OATH,OATH facts and conclusions adopted by agencies (%),99%,100%,99%,100%,98%,100%,98%,99%,99%,98%
OATH,OATH settlement rate (%),54%,56%,57%,56%,52%,54%,53%,50%,51%,59%
OATH,Stipulated,,,,,"2,217","1,528","1,113","1,102","1,393","1,854"
OCME,DNA matches with profiles in database,,470,352,551,621,"1,453","1,264","1,264","1,629","1,791"
OCME,Median days to complete analysis of a DNA case,,,44,38,57,49,89.8,76,83,88
OCME,Median time for MLI scene arrivals (hours),,3.8,2.7,9,1.9,1.5,1.6,1.6,1.7,1.8
OCME,"Median time to complete DNA homicide cases, from evidence submission to report (days)",,,61,64,68,65,97,112,114,111
OCME,"Median time to complete DNA property crime cases, from evidence submission to report (days)",,,52,,,36,70.5,58,65,68
OCME,"Median time to complete DNA sexual assault cases, from evidence submission to report (days)",,,42,33,49,37,17.5,19,27,46
OCME,Median time to complete autopsy reports (days),,36,89,134.5,66,49,48,53.5,61.5,69.5
OCME,Median time to complete toxicology DUI cases (days),16,17,30,11,15,12.5,13.5,13,16,15
OCME,Median time to complete toxicology cases (days),18,26,20,28,32,26,30.5,35,40.5,60
OCME,Median time to complete toxicology sexual assault cases (days),20,19,15,14,14,16,17.5,17,21,30.5
OCME,Median time to process cremation requests (hours),,8.8,9,5.4,1.6,1.4,0.9,1.2,1.2,1.3
OCME,Remains identified following a disaster,,,,"10,933","10,976","11,989","12,762","12,770","12,810","13,024"
OCME,Remains recovered following a disaster or mass fatality incident,,,,"20,657","21,404","21,741","21,745","21,813","21,818","21,818"
OEM,CERT members trained,,,,,,,469,211,230,191
OEM,Community Emergency Response Team (CERT) volunteer hours,,,,,"7,454","11,687","17,698","15,290","24,636","22,415"
OEM,Emergency Operations Center activations,10,11,8,12,11,10,7,14,14,8
OEM,Emergency preparedness education in the workplace,456,"2,809","2,549","5,407","4,508","2,849","2,134","1,592","1,166","1,437"
OEM,Emergency preparedness education of residents - by Agency partners using OEM curriculum,,,,,,"17,626","8,491","8,869","10,277","5,241"
OEM,Emergency preparedness education of residents - by OEM staff,,"2,271","3,270","7,455","4,092","2,428","8,940","27,161","14,290","25,400"
OEM,Field responses,591,457,319,257,257,350,576,616,556,720
OEM,Full-scale and functional exercises/drills,1,4,6,6,5,5,9,11,6,9
OEM,Incidents monitored from Watch Command,305,"1,286","2,072","2,362","2,214","2,181","2,172","2,285","2,399","2,627"
OEM,Interagency meetings held during field responses,,,,,,,,,566,716
OEM,Notify NYC messages issued,,,,,,,,,,905
OEM,Participants at instructor-led emergency management training sessions,,"1,775","1,074","4,320","1,174","1,719",977,"1,822","1,990","2,815"
OEM,Participation in drills coordinated by other agencies or organizations,8,22,20,42,33,36,36,27,31,31
OEM,Ready New York guides viewed online,,"128,575","75,370","97,934","58,680","76,793","77,705","154,901","272,877","891,964"
OEM,"Subscribers to Notify NYC, CorpNet, Advance Warning System, and Citizen Corps Newsletter",,,,,,,,,,
OEM,Tabletop exercises and simulations,1,1,2,3,5,9,5,4,5,23
OEM,Time from incident to issuing of Notify NYC message (minutes:seconds),,,,,,,,,,
OEM,Total incidents,896,"1,743","2,391","2,619","2,471","2,531","2,748","2,901","2,955","3,347"
OEM,Total participants at emergency preparedness education sessions,,,,,,,,"37,622","25,733","32,078"
QPL,Average weekly scheduled hours,39.6,37.3,37.7,38.7,38.7,43.5,43.2,42.7,39.3,39.6
QPL,Circulation (000),"16,907","16,821","18,899","20,224","21,034","22,822","23,073","23,064","20,609","18,632"
QPL,Computers for public use,825,830,917,970,"1,150","1,150","1,150","1,245","1,551","1,706"
QPL,Electronic visits to website (000),"2,116","1,929","2,062","2,108","2,794","3,691","4,119","4,809","7,030","5,191"
