BOROUGH,GRADE LEVEL,PROGRAM TYPE,CORE SUBJECT,SERVICE CATEGORY,CLASS SIZE,NUMBER OF CLASSES,NUMBER OF STUDENTS,PERCENT OF STUDENTS IN BOROUGH / GRADE / PROGRAM / SUBJECT
R,MS Core,GEN ED / CTT,SCIENCE,-,33,50,1650,14%
R,MS Core,GEN ED / CTT,SCIENCE,-,34,5,170,1%
R,MS Core,GEN ED / CTT,SCIENCE,-,>34,10,362,3%
R,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,17,2,34,0%
R,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,19,2,38,0%
R,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,20,1,20,0%
R,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,21,1,21,0%
R,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,22,10,220,2%
R,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,23,4,92,1%
R,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,24,8,192,2%
R,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,25,15,375,3%
R,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,26,14,364,3%
R,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,27,21,567,5%
R,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,28,44,1232,10%
R,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,29,51,1479,12%
R,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,30,82,2460,20%
R,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,31,60,1860,15%
R,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,32,37,1184,10%
R,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,33,44,1452,12%
R,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,34,8,272,2%
R,MS Core,GEN ED / CTT,SOCIAL STUDIES,-,>34,11,397,3%
R,MS Core,SPEC ED,ENGLISH,-,6,1,6,1%
R,MS Core,SPEC ED,ENGLISH,-,7,1,7,1%
R,MS Core,SPEC ED,ENGLISH,-,8,1,8,1%
R,MS Core,SPEC ED,ENGLISH,-,9,4,36,5%
R,MS Core,SPEC ED,ENGLISH,-,10,23,230,34%
R,MS Core,SPEC ED,ENGLISH,-,11,14,154,22%
R,MS Core,SPEC ED,ENGLISH,-,12,19,228,33%
R,MS Core,SPEC ED,ENGLISH,-,>15,1,16,2%
R,MS Core,SPEC ED,MATH,-,6,1,6,1%
R,MS Core,SPEC ED,MATH,-,7,1,7,1%
R,MS Core,SPEC ED,MATH,-,8,1,8,1%
R,MS Core,SPEC ED,MATH,-,9,3,27,4%
R,MS Core,SPEC ED,MATH,-,10,20,200,31%
R,MS Core,SPEC ED,MATH,-,11,16,176,28%
R,MS Core,SPEC ED,MATH,-,12,18,216,34%
R,MS Core,SPEC ED,SCIENCE,-,6,1,6,1%
R,MS Core,SPEC ED,SCIENCE,-,7,2,14,2%
R,MS Core,SPEC ED,SCIENCE,-,8,1,8,1%
R,MS Core,SPEC ED,SCIENCE,-,9,3,27,4%
R,MS Core,SPEC ED,SCIENCE,-,10,20,200,30%
R,MS Core,SPEC ED,SCIENCE,-,11,17,187,28%
R,MS Core,SPEC ED,SCIENCE,-,12,18,216,33%
R,MS Core,SPEC ED,SOCIAL STUDIES,-,6,2,12,2%
R,MS Core,SPEC ED,SOCIAL STUDIES,-,7,1,7,1%
R,MS Core,SPEC ED,SOCIAL STUDIES,-,8,2,16,2%
R,MS Core,SPEC ED,SOCIAL STUDIES,-,10,24,240,34%
R,MS Core,SPEC ED,SOCIAL STUDIES,-,11,19,209,30%
R,MS Core,SPEC ED,SOCIAL STUDIES,-,12,18,216,31%
R,09-12,GEN ED / CTT,ENGLISH,-,<15,31,365,2%
R,09-12,GEN ED / CTT,ENGLISH,-,15,10,150,1%
R,09-12,GEN ED / CTT,ENGLISH,-,16,13,208,1%
R,09-12,GEN ED / CTT,ENGLISH,-,17,14,238,1%
R,09-12,GEN ED / CTT,ENGLISH,-,18,13,234,1%
R,09-12,GEN ED / CTT,ENGLISH,-,19,5,95,0%
R,09-12,GEN ED / CTT,ENGLISH,-,20,12,240,1%
R,09-12,GEN ED / CTT,ENGLISH,-,21,17,357,2%
R,09-12,GEN ED / CTT,ENGLISH,-,22,21,462,2%
R,09-12,GEN ED / CTT,ENGLISH,-,23,13,299,1%
R,09-12,GEN ED / CTT,ENGLISH,-,24,23,552,3%
R,09-12,GEN ED / CTT,ENGLISH,-,25,39,975,5%
R,09-12,GEN ED / CTT,ENGLISH,-,26,25,650,3%
R,09-12,GEN ED / CTT,ENGLISH,-,27,31,837,4%
R,09-12,GEN ED / CTT,ENGLISH,-,28,28,784,4%
R,09-12,GEN ED / CTT,ENGLISH,-,29,54,1566,7%
R,09-12,GEN ED / CTT,ENGLISH,-,30,56,1680,8%
R,09-12,GEN ED / CTT,ENGLISH,-,31,64,1984,9%
R,09-12,GEN ED / CTT,ENGLISH,-,32,70,2240,10%
R,09-12,GEN ED / CTT,ENGLISH,-,33,93,3069,14%
R,09-12,GEN ED / CTT,ENGLISH,-,34,115,3910,18%
R,09-12,GEN ED / CTT,ENGLISH,-,>34,14,537,3%
R,09-12,GEN ED / CTT,MATH,-,<15,17,205,1%
R,09-12,GEN ED / CTT,MATH,-,15,5,75,0%
R,09-12,GEN ED / CTT,MATH,-,16,4,64,0%
R,09-12,GEN ED / CTT,MATH,-,17,4,68,0%
R,09-12,GEN ED / CTT,MATH,-,18,12,216,1%
R,09-12,GEN ED / CTT,MATH,-,19,14,266,2%
R,09-12,GEN ED / CTT,MATH,-,20,13,260,2%
R,09-12,GEN ED / CTT,MATH,-,21,8,168,1%
R,09-12,GEN ED / CTT,MATH,-,22,12,264,2%
R,09-12,GEN ED / CTT,MATH,-,23,19,437,3%
R,09-12,GEN ED / CTT,MATH,-,24,21,504,3%
R,09-12,GEN ED / CTT,MATH,-,25,21,525,3%
R,09-12,GEN ED / CTT,MATH,-,26,16,416,3%
R,09-12,GEN ED / CTT,MATH,-,27,26,702,4%
R,09-12,GEN ED / CTT,MATH,-,28,30,840,5%
R,09-12,GEN ED / CTT,MATH,-,29,38,1102,7%
R,09-12,GEN ED / CTT,MATH,-,30,39,1170,7%
R,09-12,GEN ED / CTT,MATH,-,31,37,1147,7%
R,09-12,GEN ED / CTT,MATH,-,32,55,1760,11%
R,09-12,GEN ED / CTT,MATH,-,33,70,2310,14%
R,09-12,GEN ED / CTT,MATH,-,34,87,2958,18%
R,09-12,GEN ED / CTT,MATH,-,>34,15,541,3%
R,09-12,GEN ED / CTT,SCIENCE,-,<15,23,275,1%
R,09-12,GEN ED / CTT,SCIENCE,-,15,6,90,0%
R,09-12,GEN ED / CTT,SCIENCE,-,16,11,176,1%
R,09-12,GEN ED / CTT,SCIENCE,-,17,3,51,0%
R,09-12,GEN ED / CTT,SCIENCE,-,18,8,144,1%
R,09-12,GEN ED / CTT,SCIENCE,-,19,13,247,1%
R,09-12,GEN ED / CTT,SCIENCE,-,20,14,280,1%
R,09-12,GEN ED / CTT,SCIENCE,-,21,16,336,2%
R,09-12,GEN ED / CTT,SCIENCE,-,22,11,242,1%
R,09-12,GEN ED / CTT,SCIENCE,-,23,18,414,2%
R,09-12,GEN ED / CTT,SCIENCE,-,24,15,360,2%
R,09-12,GEN ED / CTT,SCIENCE,-,25,25,625,3%
R,09-12,GEN ED / CTT,SCIENCE,-,26,10,260,1%
R,09-12,GEN ED / CTT,SCIENCE,-,27,24,648,3%
R,09-12,GEN ED / CTT,SCIENCE,-,28,37,1036,5%
R,09-12,GEN ED / CTT,SCIENCE,-,29,23,667,4%
R,09-12,GEN ED / CTT,SCIENCE,-,30,47,1410,7%
R,09-12,GEN ED / CTT,SCIENCE,-,31,44,1364,7%
R,09-12,GEN ED / CTT,SCIENCE,-,32,61,1952,10%
R,09-12,GEN ED / CTT,SCIENCE,-,33,110,3630,19%
R,09-12,GEN ED / CTT,SCIENCE,-,34,118,4012,21%
R,09-12,GEN ED / CTT,SCIENCE,-,>34,20,742,4%
R,09-12,GEN ED / CTT,SOCIAL STUDIES,-,<15,23,277,1%
R,09-12,GEN ED / CTT,SOCIAL STUDIES,-,15,7,105,0%
R,09-12,GEN ED / CTT,SOCIAL STUDIES,-,16,9,144,1%
R,09-12,GEN ED / CTT,SOCIAL STUDIES,-,17,14,238,1%
R,09-12,GEN ED / CTT,SOCIAL STUDIES,-,18,10,180,1%
R,09-12,GEN ED / CTT,SOCIAL STUDIES,-,19,6,114,1%
R,09-12,GEN ED / CTT,SOCIAL STUDIES,-,20,12,240,1%
R,09-12,GEN ED / CTT,SOCIAL STUDIES,-,21,9,189,1%
R,09-12,GEN ED / CTT,SOCIAL STUDIES,-,22,16,352,2%
R,09-12,GEN ED / CTT,SOCIAL STUDIES,-,23,19,437,2%
R,09-12,GEN ED / CTT,SOCIAL STUDIES,-,24,35,840,4%
R,09-12,GEN ED / CTT,SOCIAL STUDIES,-,25,21,525,2%
R,09-12,GEN ED / CTT,SOCIAL STUDIES,-,26,20,520,2%
R,09-12,GEN ED / CTT,SOCIAL STUDIES,-,27,20,540,3%
R,09-12,GEN ED / CTT,SOCIAL STUDIES,-,28,27,756,4%
R,09-12,GEN ED / CTT,SOCIAL STUDIES,-,29,26,754,4%
R,09-12,GEN ED / CTT,SOCIAL STUDIES,-,30,51,1530,7%
R,09-12,GEN ED / CTT,SOCIAL STUDIES,-,31,47,1457,7%
R,09-12,GEN ED / CTT,SOCIAL STUDIES,-,32,71,2272,11%
R,09-12,GEN ED / CTT,SOCIAL STUDIES,-,33,108,3564,17%
R,09-12,GEN ED / CTT,SOCIAL STUDIES,-,34,146,4964,24%
R,09-12,GEN ED / CTT,SOCIAL STUDIES,-,>34,28,1020,5%
R,09-12,SPEC ED,ENGLISH,-,<6,1,5,1%
R,09-12,SPEC ED,ENGLISH,-,6,1,6,1%
R,09-12,SPEC ED,ENGLISH,-,8,2,16,2%
R,09-12,SPEC ED,ENGLISH,-,9,2,18,2%
R,09-12,SPEC ED,ENGLISH,-,10,14,140,15%
R,09-12,SPEC ED,ENGLISH,-,11,12,132,14%
R,09-12,SPEC ED,ENGLISH,-,12,7,84,9%
R,09-12,SPEC ED,ENGLISH,-,13,13,169,18%
R,09-12,SPEC ED,ENGLISH,-,14,16,224,23%
R,09-12,SPEC ED,ENGLISH,-,15,11,165,17%
R,09-12,SPEC ED,MATH,-,6,1,6,1%
R,09-12,SPEC ED,MATH,-,7,1,7,1%
R,09-12,SPEC ED,MATH,-,9,1,9,2%
R,09-12,SPEC ED,MATH,-,10,3,30,6%
R,09-12,SPEC ED,MATH,-,11,5,55,10%
R,09-12,SPEC ED,MATH,-,12,9,108,20%
R,09-12,SPEC ED,MATH,-,13,1,13,2%
R,09-12,SPEC ED,MATH,-,14,10,140,26%
R,09-12,SPEC ED,MATH,-,15,8,120,22%
R,09-12,SPEC ED,MATH,-,>15,3,51,9%
R,09-12,SPEC ED,SCIENCE,-,9,1,9,1%
R,09-12,SPEC ED,SCIENCE,-,10,5,50,7%
R,09-12,SPEC ED,SCIENCE,-,11,5,55,7%
R,09-12,SPEC ED,SCIENCE,-,12,11,132,17%
R,09-12,SPEC ED,SCIENCE,-,13,8,104,14%
R,09-12,SPEC ED,SCIENCE,-,14,9,126,16%
R,09-12,SPEC ED,SCIENCE,-,15,14,210,27%
R,09-12,SPEC ED,SCIENCE,-,>15,5,82,11%
R,09-12,SPEC ED,SOCIAL STUDIES,-,6,1,6,1%
R,09-12,SPEC ED,SOCIAL STUDIES,-,7,2,14,1%
R,09-12,SPEC ED,SOCIAL STUDIES,-,8,1,8,1%
R,09-12,SPEC ED,SOCIAL STUDIES,-,10,13,130,13%
R,09-12,SPEC ED,SOCIAL STUDIES,-,11,4,44,4%
R,09-12,SPEC ED,SOCIAL STUDIES,-,12,13,156,16%
R,09-12,SPEC ED,SOCIAL STUDIES,-,13,12,156,16%
R,09-12,SPEC ED,SOCIAL STUDIES,-,14,15,210,21%
R,09-12,SPEC ED,SOCIAL STUDIES,-,15,13,195,19%
R,09-12,SPEC ED,SOCIAL STUDIES,-,>15,5,86,9%
X,0K,GEN ED / CTT / G&T,-,-,<15,16,179,1%
X,0K,GEN ED / CTT / G&T,-,-,15,10,150,1%
X,0K,GEN ED / CTT / G&T,-,-,16,9,144,1%
X,0K,GEN ED / CTT / G&T,-,-,17,15,255,2%
X,0K,GEN ED / CTT / G&T,-,-,18,31,558,4%
X,0K,GEN ED / CTT / G&T,-,-,19,29,551,4%
X,0K,GEN ED / CTT / G&T,-,-,20,52,1040,7%
X,0K,GEN ED / CTT / G&T,-,-,21,52,1092,7%
X,0K,GEN ED / CTT / G&T,-,-,22,58,1276,9%
X,0K,GEN ED / CTT / G&T,-,-,23,78,1794,12%
X,0K,GEN ED / CTT / G&T,-,-,24,81,1944,13%
X,0K,GEN ED / CTT / G&T,-,-,25,167,4175,28%
X,0K,GEN ED / CTT / G&T,-,-,26,27,702,5%
X,0K,GEN ED / CTT / G&T,-,-,27,21,567,4%
X,0K,GEN ED / CTT / G&T,-,-,28,12,336,2%
X,0K,GEN ED / CTT / G&T,-,-,29,4,116,1%
X,01,GEN ED / CTT / G&T,-,-,<15,16,196,1%
X,01,GEN ED / CTT / G&T,-,-,15,9,135,1%
X,01,GEN ED / CTT / G&T,-,-,16,13,208,1%
X,01,GEN ED / CTT / G&T,-,-,17,23,391,3%
X,01,GEN ED / CTT / G&T,-,-,18,29,522,3%
X,01,GEN ED / CTT / G&T,-,-,19,39,741,5%
X,01,GEN ED / CTT / G&T,-,-,20,58,1160,8%
X,01,GEN ED / CTT / G&T,-,-,21,51,1071,7%
X,01,GEN ED / CTT / G&T,-,-,22,75,1650,11%
X,01,GEN ED / CTT / G&T,-,-,23,66,1518,10%
X,01,GEN ED / CTT / G&T,-,-,24,73,1752,11%
X,01,GEN ED / CTT / G&T,-,-,25,72,1800,12%
X,01,GEN ED / CTT / G&T,-,-,26,46,1196,8%
X,01,GEN ED / CTT / G&T,-,-,27,33,891,6%
X,01,GEN ED / CTT / G&T,-,-,28,29,812,5%
X,01,GEN ED / CTT / G&T,-,-,29,22,638,4%
X,01,GEN ED / CTT / G&T,-,-,30,16,480,3%
X,01,GEN ED / CTT / G&T,-,-,31,1,31,0%
X,01,GEN ED / CTT / G&T,-,-,32,5,160,1%
X,02,GEN ED / CTT / G&T,-,-,<15,16,178,1%
X,02,GEN ED / CTT / G&T,-,-,15,13,195,1%
X,02,GEN ED / CTT / G&T,-,-,16,17,272,2%
X,02,GEN ED / CTT / G&T,-,-,17,27,459,3%
X,02,GEN ED / CTT / G&T,-,-,18,36,648,4%
X,02,GEN ED / CTT / G&T,-,-,19,31,589,4%
X,02,GEN ED / CTT / G&T,-,-,20,44,880,6%
X,02,GEN ED / CTT / G&T,-,-,21,48,1008,7%
X,02,GEN ED / CTT / G&T,-,-,22,63,1386,9%
X,02,GEN ED / CTT / G&T,-,-,23,58,1334,9%
X,02,GEN ED / CTT / G&T,-,-,24,66,1584,11%
X,02,GEN ED / CTT / G&T,-,-,25,68,1700,11%
X,02,GEN ED / CTT / G&T,-,-,26,55,1430,10%
X,02,GEN ED / CTT / G&T,-,-,27,45,1215,8%
X,02,GEN ED / CTT / G&T,-,-,28,31,868,6%
X,02,GEN ED / CTT / G&T,-,-,29,22,638,4%
X,02,GEN ED / CTT / G&T,-,-,30,6,180,1%
X,02,GEN ED / CTT / G&T,-,-,31,4,124,1%
X,02,GEN ED / CTT / G&T,-,-,32,4,128,1%
X,03,GEN ED / CTT / G&T,-,-,<15,13,178,1%
X,03,GEN ED / CTT / G&T,-,-,15,8,120,1%
X,03,GEN ED / CTT / G&T,-,-,16,17,272,2%
X,03,GEN ED / CTT / G&T,-,-,17,19,323,2%
X,03,GEN ED / CTT / G&T,-,-,18,23,414,3%
X,03,GEN ED / CTT / G&T,-,-,19,38,722,5%
X,03,GEN ED / CTT / G&T,-,-,20,43,860,6%
X,03,GEN ED / CTT / G&T,-,-,21,48,1008,7%
X,03,GEN ED / CTT / G&T,-,-,22,58,1276,9%
X,03,GEN ED / CTT / G&T,-,-,23,61,1403,10%
X,03,GEN ED / CTT / G&T,-,-,24,65,1560,11%
X,03,GEN ED / CTT / G&T,-,-,25,55,1375,10%
X,03,GEN ED / CTT / G&T,-,-,26,42,1092,8%
X,03,GEN ED / CTT / G&T,-,-,27,39,1053,7%
X,03,GEN ED / CTT / G&T,-,-,28,38,1064,7%
X,03,GEN ED / CTT / G&T,-,-,29,22,638,4%
X,03,GEN ED / CTT / G&T,-,-,30,8,240,2%
X,03,GEN ED / CTT / G&T,-,-,31,7,217,2%
X,03,GEN ED / CTT / G&T,-,-,32,13,416,3%
X,03,GEN ED / CTT / G&T,-,-,>34,1,35,0%
X,04,GEN ED / CTT / G&T,-,-,<15,9,99,1%
X,04,GEN ED / CTT / G&T,-,-,15,2,30,0%
X,04,GEN ED / CTT / G&T,-,-,16,7,112,1%
X,04,GEN ED / CTT / G&T,-,-,17,9,153,1%
X,04,GEN ED / CTT / G&T,-,-,18,26,468,3%
X,04,GEN ED / CTT / G&T,-,-,19,34,646,5%
X,04,GEN ED / CTT / G&T,-,-,20,32,640,5%
X,04,GEN ED / CTT / G&T,-,-,21,41,861,6%
X,04,GEN ED / CTT / G&T,-,-,22,45,990,7%
X,04,GEN ED / CTT / G&T,-,-,23,55,1265,9%
X,04,GEN ED / CTT / G&T,-,-,24,72,1728,12%
X,04,GEN ED / CTT / G&T,-,-,25,52,1300,9%
X,04,GEN ED / CTT / G&T,-,-,26,45,1170,8%
X,04,GEN ED / CTT / G&T,-,-,27,44,1188,8%
X,04,GEN ED / CTT / G&T,-,-,28,40,1120,8%
X,04,GEN ED / CTT / G&T,-,-,29,22,638,4%
X,04,GEN ED / CTT / G&T,-,-,30,21,630,4%
X,04,GEN ED / CTT / G&T,-,-,31,16,496,3%
X,04,GEN ED / CTT / G&T,-,-,32,20,640,5%
X,04,GEN ED / CTT / G&T,-,-,33,1,33,0%
X,05,GEN ED / CTT / G&T,-,-,<15,10,118,1%
X,05,GEN ED / CTT / G&T,-,-,15,9,135,1%
X,05,GEN ED / CTT / G&T,-,-,16,14,224,2%
X,05,GEN ED / CTT / G&T,-,-,17,14,238,2%
X,05,GEN ED / CTT / G&T,-,-,18,16,288,2%
X,05,GEN ED / CTT / G&T,-,-,19,24,456,3%
X,05,GEN ED / CTT / G&T,-,-,20,27,540,4%
X,05,GEN ED / CTT / G&T,-,-,21,41,861,6%
X,05,GEN ED / CTT / G&T,-,-,22,44,968,7%
X,05,GEN ED / CTT / G&T,-,-,23,45,1035,7%
X,05,GEN ED / CTT / G&T,-,-,24,50,1200,9%
X,05,GEN ED / CTT / G&T,-,-,25,53,1325,10%
X,05,GEN ED / CTT / G&T,-,-,26,48,1248,9%
X,05,GEN ED / CTT / G&T,-,-,27,36,972,7%
X,05,GEN ED / CTT / G&T,-,-,28,27,756,5%
X,05,GEN ED / CTT / G&T,-,-,29,23,667,5%
X,05,GEN ED / CTT / G&T,-,-,30,34,1020,7%
X,05,GEN ED / CTT / G&T,-,-,31,32,992,7%
X,05,GEN ED / CTT / G&T,-,-,32,19,608,4%
X,05,GEN ED / CTT / G&T,-,-,33,2,66,0%
X,05,GEN ED / CTT / G&T,-,-,34,3,102,1%
X,05,GEN ED / CTT / G&T,-,-,>34,3,106,1%
X,06,GEN ED / CTT / G&T,-,-,<15,19,202,1%
X,06,GEN ED / CTT / G&T,-,-,15,3,45,0%
X,06,GEN ED / CTT / G&T,-,-,16,5,80,1%
X,06,GEN ED / CTT / G&T,-,-,17,12,204,2%
X,06,GEN ED / CTT / G&T,-,-,18,4,72,1%
X,06,GEN ED / CTT / G&T,-,-,19,10,190,1%
X,06,GEN ED / CTT / G&T,-,-,20,11,220,2%
X,06,GEN ED / CTT / G&T,-,-,21,20,420,3%
X,06,GEN ED / CTT / G&T,-,-,22,27,594,4%
X,06,GEN ED / CTT / G&T,-,-,23,31,713,5%
X,06,GEN ED / CTT / G&T,-,-,24,34,816,6%
X,06,GEN ED / CTT / G&T,-,-,25,43,1075,8%
X,06,GEN ED / CTT / G&T,-,-,26,48,1248,9%
X,06,GEN ED / CTT / G&T,-,-,27,38,1026,8%
X,06,GEN ED / CTT / G&T,-,-,28,42,1176,9%
X,06,GEN ED / CTT / G&T,-,-,29,47,1363,10%
X,06,GEN ED / CTT / G&T,-,-,30,64,1920,14%
X,06,GEN ED / CTT / G&T,-,-,31,34,1054,8%
X,06,GEN ED / CTT / G&T,-,-,32,25,800,6%
X,06,GEN ED / CTT / G&T,-,-,33,7,231,2%
X,06,GEN ED / CTT / G&T,-,-,34,1,34,0%
X,06,GEN ED / CTT / G&T,-,-,>34,3,107,1%
X,07,GEN ED / CTT / G&T,-,-,<15,12,140,1%
X,07,GEN ED / CTT / G&T,-,-,15,2,30,0%
X,07,GEN ED / CTT / G&T,-,-,16,3,48,0%
X,07,GEN ED / CTT / G&T,-,-,17,2,34,0%
X,07,GEN ED / CTT / G&T,-,-,18,5,90,1%
X,07,GEN ED / CTT / G&T,-,-,19,11,209,2%
X,07,GEN ED / CTT / G&T,-,-,20,13,260,2%
X,07,GEN ED / CTT / G&T,-,-,21,17,357,3%
X,07,GEN ED / CTT / G&T,-,-,22,12,264,2%
X,07,GEN ED / CTT / G&T,-,-,23,19,437,3%
X,07,GEN ED / CTT / G&T,-,-,24,28,672,5%
X,07,GEN ED / CTT / G&T,-,-,25,43,1075,8%
X,07,GEN ED / CTT / G&T,-,-,26,41,1066,8%
X,07,GEN ED / CTT / G&T,-,-,27,46,1242,9%
X,07,GEN ED / CTT / G&T,-,-,28,41,1148,8%
X,07,GEN ED / CTT / G&T,-,-,29,51,1479,11%
X,07,GEN ED / CTT / G&T,-,-,30,59,1770,13%
X,07,GEN ED / CTT / G&T,-,-,31,48,1488,11%
X,07,GEN ED / CTT / G&T,-,-,32,25,800,6%
X,07,GEN ED / CTT / G&T,-,-,33,20,660,5%
X,07,GEN ED / CTT / G&T,-,-,34,4,136,1%
X,07,GEN ED / CTT / G&T,-,-,>34,6,217,2%
X,08,GEN ED / CTT / G&T,-,-,<15,15,136,1%
X,08,GEN ED / CTT / G&T,-,-,16,1,16,0%
X,08,GEN ED / CTT / G&T,-,-,17,4,68,0%
X,08,GEN ED / CTT / G&T,-,-,18,3,54,0%
X,08,GEN ED / CTT / G&T,-,-,19,11,209,2%
X,08,GEN ED / CTT / G&T,-,-,20,7,140,1%
X,08,GEN ED / CTT / G&T,-,-,21,17,357,3%
X,08,GEN ED / CTT / G&T,-,-,22,18,396,3%
X,08,GEN ED / CTT / G&T,-,-,23,12,276,2%
X,08,GEN ED / CTT / G&T,-,-,24,34,816,6%
X,08,GEN ED / CTT / G&T,-,-,25,33,825,6%
X,08,GEN ED / CTT / G&T,-,-,26,35,910,7%
X,08,GEN ED / CTT / G&T,-,-,27,44,1188,9%
X,08,GEN ED / CTT / G&T,-,-,28,51,1428,10%
X,08,GEN ED / CTT / G&T,-,-,29,53,1537,11%
X,08,GEN ED / CTT / G&T,-,-,30,65,1950,14%
X,08,GEN ED / CTT / G&T,-,-,31,45,1395,10%
X,08,GEN ED / CTT / G&T,-,-,32,25,800,6%
X,08,GEN ED / CTT / G&T,-,-,33,24,792,6%
X,08,GEN ED / CTT / G&T,-,-,34,10,340,2%
X,08,GEN ED / CTT / G&T,-,-,>34,8,296,2%
X,09,GEN ED / CTT / G&T,-,-,20,1,20,5%
X,09,GEN ED / CTT / G&T,-,-,21,2,42,10%
X,09,GEN ED / CTT / G&T,-,-,23,2,46,11%
X,09,GEN ED / CTT / G&T,-,-,24,1,24,6%
X,09,GEN ED / CTT / G&T,-,-,26,2,52,12%
X,09,GEN ED / CTT / G&T,-,-,27,3,81,19%
X,09,GEN ED / CTT / G&T,-,-,28,2,56,13%
X,09,GEN ED / CTT / G&T,-,-,32,2,64,15%
X,09,GEN ED / CTT / G&T,-,-,>34,1,38,9%
X,0K-09,SPEC ED,-,12:1,<6,9,35,1%
X,0K-09,SPEC ED,-,12:1,6,9,54,1%
X,0K-09,SPEC ED,-,12:1,7,11,77,2%
X,0K-09,SPEC ED,-,12:1,8,17,136,3%
X,0K-09,SPEC ED,-,12:1,9,27,243,5%
X,0K-09,SPEC ED,-,12:1,10,50,500,11%
X,0K-09,SPEC ED,-,12:1,11,81,891,20%
X,0K-09,SPEC ED,-,12:1,12,166,1992,45%
X,0K-09,SPEC ED,-,12:1,13,34,442,10%
X,0K-09,SPEC ED,-,12:1,14,2,28,1%
X,0K-09,SPEC ED,-,12:1,15,2,30,1%
X,0K-09,SPEC ED,-,12:1:1,<6,32,125,2%
X,0K-09,SPEC ED,-,12:1:1,6,17,102,2%
X,0K-09,SPEC ED,-,12:1:1,7,32,224,4%
X,0K-09,SPEC ED,-,12:1:1,8,35,280,5%
X,0K-09,SPEC ED,-,12:1:1,9,55,495,8%
X,0K-09,SPEC ED,-,12:1:1,10,80,800,13%
X,0K-09,SPEC ED,-,12:1:1,11,106,1166,19%
X,0K-09,SPEC ED,-,12:1:1,12,195,2340,39%
X,0K-09,SPEC ED,-,12:1:1,13,29,377,6%
X,0K-09,SPEC ED,-,12:1:1,14,4,56,1%
X,0K-09,SPEC ED,-,12:1:1,15,1,15,0%
X,0K-09,SPEC ED,-,12:1:1,>15,2,32,1%
X,0K-09,SPEC ED,-,6:1:1,<6,1,2,100%
X,MS Core,GEN ED / CTT,ENGLISH,-,<15,119,1444,3%
X,MS Core,GEN ED / CTT,ENGLISH,-,15,33,495,1%
X,MS Core,GEN ED / CTT,ENGLISH,-,16,17,272,1%
X,MS Core,GEN ED / CTT,ENGLISH,-,17,27,459,1%
X,MS Core,GEN ED / CTT,ENGLISH,-,18,38,684,2%
X,MS Core,GEN ED / CTT,ENGLISH,-,19,43,817,2%
X,MS Core,GEN ED / CTT,ENGLISH,-,20,52,1040,2%
X,MS Core,GEN ED / CTT,ENGLISH,-,21,80,1680,4%
X,MS Core,GEN ED / CTT,ENGLISH,-,22,83,1826,4%
X,MS Core,GEN ED / CTT,ENGLISH,-,23,80,1840,4%
X,MS Core,GEN ED / CTT,ENGLISH,-,24,105,2520,6%
X,MS Core,GEN ED / CTT,ENGLISH,-,25,115,2875,7%
X,MS Core,GEN ED / CTT,ENGLISH,-,26,116,3016,7%
X,MS Core,GEN ED / CTT,ENGLISH,-,27,126,3402,8%
X,MS Core,GEN ED / CTT,ENGLISH,-,28,142,3976,9%
X,MS Core,GEN ED / CTT,ENGLISH,-,29,126,3654,9%
X,MS Core,GEN ED / CTT,ENGLISH,-,30,133,3990,9%
X,MS Core,GEN ED / CTT,ENGLISH,-,31,131,4061,10%
X,MS Core,GEN ED / CTT,ENGLISH,-,32,63,2016,5%
X,MS Core,GEN ED / CTT,ENGLISH,-,33,32,1056,2%
X,MS Core,GEN ED / CTT,ENGLISH,-,34,16,544,1%
X,MS Core,GEN ED / CTT,ENGLISH,-,>34,18,894,2%
X,MS Core,GEN ED / CTT,MATH,-,<15,49,603,1%
X,MS Core,GEN ED / CTT,MATH,-,15,18,270,1%
X,MS Core,GEN ED / CTT,MATH,-,16,14,224,1%
X,MS Core,GEN ED / CTT,MATH,-,17,16,272,1%
X,MS Core,GEN ED / CTT,MATH,-,18,34,612,2%
X,MS Core,GEN ED / CTT,MATH,-,19,40,760,2%
X,MS Core,GEN ED / CTT,MATH,-,20,47,940,2%
X,MS Core,GEN ED / CTT,MATH,-,21,71,1491,4%
X,MS Core,GEN ED / CTT,MATH,-,22,79,1738,4%
X,MS Core,GEN ED / CTT,MATH,-,23,69,1587,4%
X,MS Core,GEN ED / CTT,MATH,-,24,116,2784,7%
