Organization Name,Zip Code,Main Phone #,Discipline Code,Council District,Community Board,Borough,Location 1
Asia Society,10021,(212) 327-9218,Museum,Manhattan Council District #4,Manhattan Community Board #4,Manhattan,"725 Park Avenue
New York, NY
(40.76991621781061, -73.96449719152278)"
"Asian American Activity Center, Inc.",10013,(212) 431-0368,"Multi-Discipline, Non-Perform",Manhattan Council District #1,Manhattan Community Board #3,Manhattan,"396 Broadway
New York, NY
(40.71852511267281, -74.00261721261325)"
Asian American Arts Alliance,11201,(212) 941-9208 x1,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #2,Manhattan,"20 Jay Street
Brooklyn, NY
(40.70439619254292, -73.98661051423608)"
"Asian American Arts Centre, Inc.",10013,(212) 233-2154,Visual Arts,Manhattan Council District #1,Manhattan Community Board #2,Manhattan,"26 Bowery
New York, NY
(40.71483588005428, -73.99707078435102)"
Asian American Coalition for Education,11361,(718) 229-1368,"Multi-Discipl, Perf & Non-Perf",Queens Council District #19,Queens Community Board #11,Queens,"202 39 Rocky Hill Road
Bayside, NY
(40.773606900238235, -73.77481079967868)"
"Asian American Women Artists Alliance, Inc.",11215,(718) 788-6170,Visual Arts,Brooklyn Council District #38,Brooklyn Community Board #7,Brooklyn,"136 15th Street
Brooklyn, NY
(40.6669092908154, -73.99215523011284)"
Asian American Writers' Workshop,10001,(212) 494-0061,Literature,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"16 32nd Street
New York, NY
(40.60068531518271, -73.99274250883028)"
"Asian CineVision, Inc.",10011,(212) 989-1422,Film/Video/Audio,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"133 19th Street
New York, NY
(40.60437711301996, -74.00478893507666)"
"Asian Cultural Council, Inc.",10036,(212) 843-0367,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"6 48th Street
New York, NY
(40.58655271862011, -73.9885876614345)"
"Association for Development of Dramatic Arts, Inc.",10022,(212) 583-2706 x15,Theater,Manhattan Council District #1,Manhattan Community Board #3,Manhattan,"301 57th St
New York, NY
(40.64365467388211, -74.01843225325288)"
"Association of Hispanic Arts, Inc.",10029,(212) 876-1242,Other,Manhattan Council District #8,Manhattan Community Board #11,Manhattan,"1702 Lexington Avenue
New York, NY
(40.79268320720888, -73.94595992476735)"
Astoria Big Band,10013,(212) 691-6969 x13,Music,,Manhattan Community Board #1,Manhattan,"161 Sixth Avenue
New York, NY
(40.72582760755074, -74.00389424989481)"
"Astoria Music Society, Inc.",11105,(718) 721-8311,Music,Queens Council District #22,Queens Community Board #1,Queens,"38 11 Ditmars Blvd
Astoria, NY
"
Astoria Performing Arts Center,11106,(917) 566-0969,Theater,Queens Council District #22,Queens Community Board #1,Queens,
Atlantic Avenue Local Development Corporation,11217,(212) 710-0010,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn,"494 Atlantic Avenue
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
Atlantic Theater Company,10011,(212) 691-5919,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"76 Ninth Avenue
New York, NY
(40.74227657023328, -74.00442078818001)"
"Audience Development Committee, Inc.",10027,(212) 368-6906,Theater,Manhattan Council District #9,Manhattan Community Board #10,Manhattan,"30 New
York, NY
(43.20390300022325, -76.94420299966868)"
Australian Aboriginal Theatre Initiative,10003,(212) 533-0889,Theater,Manhattan Council District #2,Manhattan Community Board #3,Manhattan,"60 2nd Avenue
New York, NY
(40.72588156687249, -73.9896489889507)"
"Autonomedia, Inc.",11211,(718) 963-2603,Literature,Brooklyn Council District #33,Brooklyn Community Board #1,Brooklyn,"568 Williamsburgh Station
Brooklyn, NY
(42.43318899977248, -78.74864600041258)"
"Avant Media Performance, Inc.",11211,(212) 372-3326,"Multi-Discipline, Performing",Brooklyn Council District #34,Brooklyn Community Board #1,Brooklyn,"113 2nd Street
Brooklyn, NY
(40.677644501386, -73.99153349686404)"
Azure Ensemble,10012,(212) 222-3067,Music,Manhattan Council District #9,Manhattan Community Board #7,Manhattan,
BAM Local Development Corporation,11217,(718) 907-4411,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn,"80 Hansen Place
Brooklyn, NY
(40.68548942065365, -73.97430272490843)"
BRIC Arts Media Bklyn,11217,(718) 855-7882 x17,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn,"647 Fulton Street
Brooklyn, NY
(40.68825785331967, -73.97922561735024)"
Balance Dance Theatre,11212,(718) 624-6414,"Multi-Discipline, Performing",Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn,"181 91st Street
Brooklyn, NY
(40.62079599747791, -74.03568620878539)"
Balinese American Dance Theatre,10001,(646) 361-9183,Dance,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"23 35th Street
New York, NY
(40.599183246640216, -73.99062628622947)"
"Ballet Ambassadors, Inc.",10023,(212) 600-0018,Dance,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,"160 71st Street
New York, NY
(40.63510818188202, -74.03064234617712)"
"Ballet Hispanico of New York, Inc.",10024,(212) 362-6710 x23,Dance,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,"167 89 Street
New York, NY
(40.62218995996863, -74.03528403948032)"
Ballet Orchestra of New York City,10021,(212) 988-2148,Music,Manhattan Council District #5,Manhattan Community Board #8,Manhattan,"438 76th Street
New York, NY
(40.629551753505474, -74.02441003927251)"
"Ballet Tech Foundation, Inc.",10003,(212) 777-7710 x314,Dance,Manhattan Council District #2,Manhattan Community Board #5,Manhattan,"890 Broadway
New York, NY
(40.87333788079353, -73.91157107750263)"
"Ballet Theatre Foundation, Inc.",10003,(212) 477-3030 x1188,Dance,Manhattan Council District #2,Manhattan Community Board #5,Manhattan,"890 Broadway
New York, NY
(40.87333788079353, -73.91157107750263)"
"Bang Group, Inc.",10014,(212) 337-9565,Dance,Manhattan Council District #3,Manhattan Community Board #2,Manhattan,"131 Perry Street
New York, NY
(40.73491975326698, -74.00753650411349)"
"Bang on a Can, Inc.",11217,(718) 852-7755,Music,Brooklyn Council District #35,Brooklyn Community Board #2,Brooklyn,"80 Hanson Place
Brooklyn, NY
(40.68548942065365, -73.97430272490843)"
"Barbad Chamber Orchestra, Inc.",10021,(212) 414-7691,Music,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,"216 Lenox Hill Station
New York, NY
(40.756053999992105, -73.9869510002884)"
"Bargemusic, Ltd.",11201,(718) 624-4061,Music,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn,
"Barrow Group, Inc.",10018,(201) 709-5720,Theater,Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"312 36th Street
New York, NY
(40.655644255399565, -74.00666248659343)"
Bartow-Pell Landmark Fund,10464,(718) 885-1461,Museum,Bronx Council District #13,Bronx Community Board #10,Bronx,"895 Shore Road
Bronx, NY
(40.82557699997852, -73.91844899972153)"
"Baryshnikov Dance Foundation, Inc.",10018,(646) 731-3201,"Multi-Discipline, Performing",Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"450 37th Street
New York, NY
(40.65303430691906, -74.00382181330096)"
"Batoto Yetu, Inc.",10032,(646) 240-4161,Dance,Manhattan Council District #7,Manhattan Community Board #9,Manhattan,"12 Sylvan Terrace
New York, NY
(40.8346995324178, -73.93934091463166)"
"Battered Women's Safe Territory -an Opportunity to Progress, Inc.",6705,(203) 768-3841,"Multi-Discipline, Non-Perform",Bronx Council District #16,Bronx Community Board #5,Bronx,"94 Bentwood Drive
Waterbury, NY
(42.50552600002487, -76.6757760002622)"
Battery Dance Corporation,10013,(212) 219-3910,Dance,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,"380 Broadway
New York, NY
(40.71812041775962, -74.00296794820463)"
Battleworks Dance Company,10012,(718) 312-8718,Dance,Manhattan Council District #3,Manhattan Community Board #2,Manhattan,"16 New
York, NY
(43.20390300022325, -76.94420299966868)"
"Bayside Glee Club, Inc.",11373,(718) 424-5769,Music,Queens Council District #19,Queens Community Board #4,Queens,"51 17 Reeder Street
Elmhurst, NY
(42.11966800007809, -79.29240600023672)"
Bayside Historical Society,11359,(718) 352-1548,Humanities,Queens Council District #19,Queens Community Board #11,Queens,"208 Totten Avenue
Bayside, NY
(40.79263399182729, -73.77955817542103)"
Bedford Stuyvesant Restoration Corporation,11216,(718) 636-6931,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #36,Brooklyn Community Board #3,Brooklyn,"1368 Fulton Street
Brooklyn, NY
(40.68016709769277, -73.94592248315027)"
"Behind the Book, Inc.",10025,(212) 222-3627,Literature,Manhattan Council District #8,Manhattan Community Board #7,Manhattan,"145 96th Street
New York, NY
(40.61646360012776, -74.0363480851825)"
"Belladonna Series, Inc.",11238,(917) 474-2003,Literature,Brooklyn Council District #35,Brooklyn Community Board #8,Brooklyn,"925 Bergen St
Brooklyn, NY
(40.677027223793246, -73.95665892022096)"
Best of Brooklyn,11201,(718) 802-3901,Literature,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn,"209 Joralemon Street
Brooklyn, NY
(40.69251313804462, -73.99059859416398)"
"Beta Israel of North America Cultural Foundation, Inc.",10030,(212) 284-6942,"Multi-Discipl, Perf & Non-Perf",Manhattan Council District #1,Manhattan Community Board #1,Manhattan,"470 New
York, NY
(43.20390300022325, -76.94420299966868)"
Beth Morrison Projects,10128,(646) 682-7181,Music,Manhattan Council District #4,Manhattan Community Board #8,Manhattan,"305 93rd Street
New York, NY
(40.61876564564445, -74.03277097856832)"
"Big Apple Circus, Ltd.",11201,(212) 268-2500 x148,Theater,Manhattan Council District #3,Manhattan Community Board #5,Manhattan,"One MetroTech Center
New York, NY
(40.69387373203704, -73.98717923297689)"
"Big Apple Greeter, Inc.",10007,(212) 669-3146,Other,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,"1 Centre Street
New York, NY
(40.71320112625938, -74.00400216853836)"
"Big Apple Performing Arts, Inc.",10036,(212) 344-1777 x11,Music,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,"676A 9th Avenue
New York, NY
(40.76145220378865, -73.99039928257451)"
"Big Art Group, Inc.",10276,(646) 479-4363,"Multi-Discipline, Performing",Manhattan Council District #3,Manhattan Community Board #2,Manhattan,"1034 New
York, NY
(43.20390300022325, -76.94420299966868)"
Big Dance Theater Inc,11231,(646) 717-0585,Theater,Brooklyn Council District #39,Brooklyn Community Board #2,Manhattan,"303 Clinton Street
Brooklyn, NY
(40.68597388972986, -73.99637899422511)"
Biko Transformation Center,11207,(718) 455-5963,"Multi-Discipline, Performing",Brooklyn Council District #37,Brooklyn Community Board #4,Brooklyn,"1474 Bushwick Avenue
Brooklyn, NY
(40.68336849416082, -73.90743045574193)"
"Billie Holiday Theatre, Inc.",11247,(718) 636-0918 x11,Theater,Brooklyn Council District #36,Brooklyn Community Board #3,Brooklyn,
"Bindlestiff Family Variety Arts, Inc.",10009,(718) 963-2918,"Multi-Discipline, Performing",Brooklyn Council District #33,Brooklyn Community Board #1,Brooklyn,"1917 New
York, NY
(43.20390300022325, -76.94420299966868)"
Black American Heritage Foundation,11451,(212) 366-6900 x201,"Multi-Discipl, Perf & Non-Perf",Queens Council District #27,Queens Community Board #12,Queens,"94 20 Guy Brewer Boulevard
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Black Experimental Theatre,10013,(646) 623-3488,Theater,Manhattan Council District #2,Manhattan Community Board #2,Manhattan,"1902 New
York, NY
(43.20390300022325, -76.94420299966868)"
"Black Moon Theatre Company, Inc.",11222,(347) 268-3276,Theater,Brooklyn Council District #33,Brooklyn Community Board #1,Manhattan,"104 Greenpoint Avenue
Brooklyn, NY
(40.72994432611858, -73.95669667884653)"
"Black Spectrum Theatre Company, Inc.",11434,(718) 723-1800,Theater,Queens Council District #27,Queens Community Board #12,Queens,"119 07 Merrick Boulevard
Jamaica, NY
(40.696147000083954, -73.80443200013667)"
Black Women's Blueprint,11202,(347) 599-2682,Visual Arts,Brooklyn Council District #33,Brooklyn Community Board #2,Brooklyn,
"Blackberry Productions, Inc.",10030,(212) 694-6698,"Multi-Discipline, Performing",Manhattan Council District #7,Manhattan Community Board #9,Manhattan,"170 136th Street
New York, NY
(40.81557278188312, -73.94233133423326)"
"Bloomingdale School of Music, Inc.",10025,(212) 663-6021 x23,Music,Manhattan Council District #9,Manhattan Community Board #7,Manhattan,"323 108th Street
New York, NY
(40.803293354856336, -73.96835567229608)"
"Blue Coyote Theater Group, Inc.",10013,(646) 242-6260,Theater,Manhattan Council District #1,Manhattan Community Board #1,Manhattan,"380 Broadway
New York, NY
(40.71812041775962, -74.00296794820463)"
"Blue Heron Theatre, Inc.",10025,(212) 787-0422,Theater,Manhattan Council District #6,Manhattan Community Board #7,Manhattan,"645 End Avenue
New York, NY
(40.756053999992105, -73.9869510002884)"
"Blue Pipa, Inc.",11375,(718) 459-1730,Music,Queens Council District #29,Queens Community Board #6,Queens,"68 39 Harrow Street
Forest Hills, NY
(40.7229840002114, -73.84189400010803)"
Bnos Yakov Educational Center,11211,(718) 963-1212 x101,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #33,Brooklyn Community Board #1,Brooklyn,"638 Bedford Avenue
Brooklyn, NY
(40.70213043101466, -73.95893515475937)"
"Bond Street Theatre Coalition, Ltd.",10012,(212) 254-4614,"Multi-Discipline, Performing",Manhattan Council District #1,Manhattan Community Board #2,Manhattan,"2 Bond Street
New York, NY
(40.726897800765585, -73.99466720587424)"
"Boricua Festival Committee, Inc.",11220,(718) 492-7129,Music,Brooklyn Council District #38,Brooklyn Community Board #7,Brooklyn,"539 59th Street
Brooklyn, NY
(40.639563672677895, -74.01467943411396)"
"Borough of Manhattan Community College Performing Arts Center, Inc.",10007,(212) 220-1459,"Multi-Discipline, Performing",Manhattan Council District #2,Manhattan Community Board #1,Manhattan,"199 Chambers Street
New York, NY
(40.716732682051706, -74.01183077550704)"
Bowery Arts and Science,10012,(212) 614-0504,Literature,Manhattan Council District #1,Manhattan Community Board #3,Manhattan,"310 Bowery
New York, NY
(40.72491261561235, -73.99243171892536)"
"Boys & Girls Harbor, Inc.",10029,(212) 427-2244 x583,"Multi-Discipline, Performing",Manhattan Council District #8,Manhattan Community Board #11,Manhattan,"1 104th Street
New York, NY
(40.79679010649076, -73.96101339142336)"
"Brave New World Repertory Theatre, Inc.",11218,(917) 660-4660,Theater,Brooklyn Council District #40,Brooklyn Community Board #14,Brooklyn,"303 Westminster Road
Brooklyn, NY
(40.641396589065934, -73.9672671245113)"
"Bread & Roses Cultural Project, Inc.",10036,(212) 767-0025 x2,"Multi-Discipline, Non-Perform",Manhattan Council District #3,Manhattan Community Board #4,Manhattan,"322 48th Street
New York, NY
(40.64841547139822, -74.01284257820978)"
Brecht Forum,10014,(212) 242-4201 x14,Other,Manhattan Council District #3,Manhattan Community Board #2,Manhattan,"451 West Street
New York, NY
(40.736770891171915, -74.00980869398772)"
"Brick Theater, Inc.",10101,(917) 640-2119,Theater,Brooklyn Council District #33,Brooklyn Community Board #1,Brooklyn,"1851 New
York, NY
(43.20390300022325, -76.94420299966868)"
"Brighton Ballet Theater Company, Inc.",11235,(718) 769-9161,Dance,Brooklyn Council District #48,Brooklyn Community Board #15,Brooklyn,"2001 Oriental Boulevard
Brooklyn, NY
(40.57812797666047, -73.93294842536075)"
"Brighton Neighborhood Association, Inc.",11235,(718) 891-0800,"Multi-Discipl, Perf & Non-Perf",Brooklyn Council District #47,Brooklyn Community Board #13,Brooklyn,"1121 Brighton Beach Avenue
Brooklyn, NY
(40.57786821924984, -73.95620297490429)"
Bronx Arts Ensemble,10463,(718) 601-7399,"Multi-Discipline, Performing",Bronx Council District #11,Bronx Community Board #8,Bronx,"80 Van Cortlandt Park
Bronx, NY
(40.88465843017383, -73.88990186467265)"
Bronx Children's Museum,10451,(347) 834-7378,,Bronx Council District #17,Bronx Community Board #4,Bronx,
Bronx Community Cable Programming Corp.,10468,(718) 960-7158,Film/Video/Audio,Bronx Council District #11,Bronx Community Board #7,Bronx,
Bronx Community College Music Consortium,10453,(718) 289-5127,Music,Bronx Council District #14,Bronx Community Board #5,Bronx,"2155 University Avenue
Bronx, NY
(40.82557699997852, -73.91844899972153)"
