Demographic,DBN,NAME,Total Cohort  - June,Total Math/ELA APM - June,% of Cohort - June,Total Cohort  - August,Total Math/ELA APM - August,% of Cohort - August
All Students,21K348,HIGH SCHOOL OF SPORTS MANAGEMENT,65,7,10.8%,65,7,10.8%
All Students,21K400,LAFAYETTE HIGH SCHOOL,65,6,9.2%,65,6,9.2%
All Students,21K410,ABRAHAM LINCOLN HIGH SCHOOL,620,94,15.2%,620,98,15.8%
All Students,21K525,EDWARD R. MURROW HIGH SCHOOL,938,376,40.1%,938,381,40.6%
All Students,21K540,JOHN DEWEY HIGH SCHOOL,603,125,20.7%,603,128,21.2%
All Students,21K559,LIFE ACADEMY HIGH SCHOOL FOR FILM AND,1,s,s,1,s,s
All Students,21K572,EXPEDITIONARY LEARNING SCHOOL FOR COM,3,s,s,3,s,s
All Students,21K620,WILLIAM E. GRADY CAREER AND TECHNICAL,281,9,3.2%,281,11,3.9%
All Students,21K690,BROOKLYN STUDIO SECONDARY SCHOOL,140,34,24.3%,140,34,24.3%
All Students,21K728,LIBERATION DIPLOMA PLUS,65,0,0%,65,0,0%
All Students,22K405,MIDWOOD HIGH SCHOOL,872,505,57.9%,872,525,60.2%
All Students,22K425,JAMES MADISON HIGH SCHOOL,1076,328,30.5%,1076,336,31.2%
All Students,22K495,SHEEPSHEAD BAY HIGH SCHOOL,537,36,6.7%,537,36,6.7%
All Students,22K535,LEON M. GOLDSTEIN HIGH SCHOOL FOR THE,253,203,80.2%,253,203,80.2%
All Students,22K555,BROOKLYN COLLEGE ACADEMY,120,40,33.3%,120,40,33.3%
All Students,23K493,BROOKLYN COLLEGIATE: A COLLEGE BOARD,70,6,8.6%,70,6,8.6%
All Students,23K514,FREDERICK DOUGLASS ACADEMY VII HIGH S,92,7,7.6%,92,7,7.6%
All Students,23K643,BROOKLYN DEMOCRACY ACADEMY,97,1,1%,97,1,1%
All Students,23K645,EBC/ENY HIGH SCHOOL FOR PUBLIC SAFETY,93,3,3.2%,93,3,3.2%
All Students,23K646,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,117,1,0.9%,117,1,0.9%
All Students,23K647,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,97,2,2.1%,97,2,2.1%
All Students,23K697,TEACHERS PREPARATORY HIGH SCHOOL,99,24,24.2%,99,24,24.2%
All Students,24Q264,ACADEMY OF FINANCE AND  ENTERPRISE,90,12,13.3%,90,12,13.3%
All Students,24Q267,HIGH SCHOOL OF APPLIED COMMUNICATION,101,12,11.9%,101,12,11.9%
All Students,24Q296,PAN AMERICAN INTERNATIONAL HIGH SCHOO,1,s,s,1,s,s
All Students,24Q299,BARD HIGH SCHOOL EARLY COLLEGE II,50,26,52%,50,26,52%
All Students,24Q455,NEWTOWN HIGH SCHOOL,773,85,11%,773,89,11.5%
All Students,24Q485,GROVER CLEVELAND HIGH SCHOOL,703,110,15.6%,703,114,16.2%
All Students,24Q550,HIGH SCHOOL FOR ARTS AND BUSINESS,187,18,9.6%,187,18,9.6%
All Students,24Q560,ROBERT F. WAGNER  JR. SECONDARY SCHOO,95,22,23.2%,95,23,24.2%
All Students,24Q600,QUEENS VOCATIONAL AND TECHNICAL HIGH,271,29,10.7%,271,29,10.7%
All Students,24Q610,AVIATION CAREER & TECHNICAL EDUCATION,368,127,34.5%,368,135,36.7%
All Students,24Q744,VOYAGES PREPARATORY,85,2,2.4%,85,2,2.4%
All Students,25Q263,FLUSHING INTERNATIONAL HIGH SCHOOL,86,8,9.3%,86,8,9.3%
All Students,25Q281,EAST-WEST SCHOOL OF INTERNATIONAL STU,75,16,21.3%,75,16,21.3%
All Students,25Q285,WORLD JOURNALISM PREPARATORY: A COLLE,82,9,11%,82,9,11%
All Students,25Q425,JOHN BOWNE HIGH SCHOOL,688,73,10.6%,688,73,10.6%
All Students,25Q460,FLUSHING HIGH SCHOOL,588,50,8.5%,588,50,8.5%
All Students,25Q525,TOWNSEND HARRIS HIGH SCHOOL,278,276,99.3%,278,276,99.3%
All Students,25Q540,QUEENS ACADEMY HIGH SCHOOL,141,7,5%,141,7,5%
All Students,25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHO,159,35,22%,159,35,22%
All Students,25Q792,NORTH QUEENS COMMUNITY HIGH SCHOOL,62,0,0%,62,0,0%
All Students,26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,981,458,46.7%,981,468,47.7%
All Students,26Q430,FRANCIS LEWIS HIGH SCHOOL,1209,564,46.7%,1209,611,50.5%
All Students,26Q435,MARTIN VAN BUREN HIGH SCHOOL,755,104,13.8%,755,104,13.8%
All Students,26Q495,BAYSIDE HIGH SCHOOL,902,454,50.3%,902,465,51.6%
All Students,26Q566,QUEENS HIGH SCHOOL OF TEACHING  LIBER,281,55,19.6%,281,55,19.6%
All Students,27Q260,FREDERICK DOUGLASS ACADEMY VI HIGH SC,95,11,11.6%,95,11,11.6%
All Students,27Q262,CHANNEL VIEW SCHOOL FOR RESEARCH,71,14,19.7%,71,14,19.7%
All Students,27Q302,QUEENS HIGH SCHOOL FOR INFORMATION  R,2,s,s,2,s,s
All Students,27Q400,AUGUST MARTIN HIGH SCHOOL,288,8,2.8%,288,8,2.8%
All Students,27Q410,BEACH CHANNEL HIGH SCHOOL,389,10,2.6%,389,10,2.6%
All Students,27Q465,FAR ROCKAWAY HIGH SCHOOL,164,4,2.4%,164,4,2.4%
All Students,27Q475,RICHMOND HILL HIGH SCHOOL,867,81,9.3%,867,83,9.6%
All Students,27Q480,JOHN ADAMS HIGH SCHOOL,808,65,8%,808,66,8.2%
All Students,27Q650,HIGH SCHOOL FOR CONSTRUCTION TRADES,177,39,22%,177,39,22%
All Students,28Q440,FOREST HILLS HIGH SCHOOL,959,370,38.6%,959,372,38.8%
All Students,28Q470,JAMAICA HIGH SCHOOL,394,29,7.4%,394,29,7.4%
All Students,28Q505,HILLCREST HIGH SCHOOL,766,102,13.3%,766,104,13.6%
All Students,28Q620,THOMAS A. EDISON CAREER AND TECHNICAL,819,352,43%,819,358,43.7%
All Students,28Q680,QUEENS GATEWAY TO HEALTH SCIENCES SEC,117,67,57.3%,117,71,60.7%
All Students,28Q687,QUEENS HIGH SCHOOL FOR THE SCIENCES A,107,100,93.5%,107,102,95.3%
All Students,28Q690,HIGH SCHOOL FOR LAW ENFORCEMENT AND P,126,16,12.7%,126,16,12.7%
All Students,29Q248,QUEENS PREPARATORY ACADEMY,95,8,8.4%,95,8,8.4%
All Students,29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL:,64,2,3.1%,64,2,3.1%
All Students,29Q265,EXCELSIOR PREPARATORY HIGH SCHOOL,91,6,6.6%,91,6,6.6%
All Students,29Q272,GEORGE WASHINGTON CARVER HIGH SCHOOL,103,28,27.2%,103,29,28.2%
All Students,29Q283,PREPARATORY ACADEMY FOR WRITERS: A CO,36,0,0%,36,0,0%
All Students,29Q492,MATHEMATICS  SCIENCE RESEARCH AND TEC,108,22,20.4%,108,22,20.4%
All Students,29Q494,LAW  GOVERNMENT AND COMMUNITY SERVICE,125,14,11.2%,125,14,11.2%
All Students,29Q496,BUSINESS  COMPUTER APPLICATIONS & ENT,116,2,1.7%,116,2,1.7%
All Students,29Q498,HUMANITIES & ARTS MAGNET HIGH SCHOOL,94,7,7.4%,94,7,7.4%
All Students,30Q445,WILLIAM CULLEN BRYANT HIGH SCHOOL,810,195,24.1%,810,203,25.1%
All Students,30Q450,LONG ISLAND CITY HIGH SCHOOL,718,127,17.7%,718,130,18.1%
All Students,30Q501,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,171,85,49.7%,171,86,50.3%
All Students,30Q502,INFORMATION TECHNOLOGY HIGH SCHOOL,267,46,17.2%,267,47,17.6%
All Students,30Q555,NEWCOMERS HIGH SCHOOL,214,38,17.8%,214,38,17.8%
All Students,30Q575,ACADEMY OF AMERICAN STUDIES,155,83,53.5%,155,85,54.8%
All Students,30Q580,BACCALAUREATE SCHOOL FOR GLOBAL EDUCA,72,56,77.8%,72,56,77.8%
All Students,31R047,CSI HIGH SCHOOL FOR INTERNATIONAL STU,80,19,23.8%,80,19,23.8%
All Students,31R080,THE MICHAEL J. PETRIDES SCHOOL,113,45,39.8%,113,45,39.8%
All Students,31R440,NEW DORP HIGH SCHOOL,509,103,20.2%,509,103,20.2%
All Students,31R445,PORT RICHMOND HIGH SCHOOL,519,80,15.4%,519,81,15.6%
All Students,31R450,CURTIS HIGH SCHOOL,649,132,20.3%,649,132,20.3%
All Students,31R455,TOTTENVILLE HIGH SCHOOL,1069,332,31.1%,1069,335,31.3%
All Students,31R460,SUSAN E. WAGNER HIGH SCHOOL,912,287,31.5%,912,288,31.6%
All Students,31R470,CONCORD HIGH SCHOOL,52,1,1.9%,52,1,1.9%
All Students,31R600,RALPH R. MCKEE CAREER AND TECHNICAL E,175,16,9.1%,175,16,9.1%
All Students,31R605,STATEN ISLAND TECHNICAL HIGH SCHOOL,288,282,97.9%,288,282,97.9%
All Students,32K403,ACADEMY FOR ENVIRONMENTAL LEADERSHIP,99,6,6.1%,99,7,7.1%
All Students,32K545,EBC HIGH SCHOOL FOR PUBLIC SERVICEBU,161,15,9.3%,161,15,9.3%
All Students,32K549,BUSHWICK SCHOOL FOR SOCIAL JUSTICE,97,7,7.2%,97,7,7.2%
All Students,32K552,ACADEMY OF URBAN PLANNING,115,4,3.5%,115,4,3.5%
All Students,32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL,43,9,20.9%,43,10,23.3%
All Students,32K556,BUSHWICK LEADERS HIGH SCHOOL FOR ACAD,117,7,6%,117,7,6%
All Students,32K564,BUSHWICK COMMUNITY HIGH SCHOOL,128,0,0%,128,0,0%
English Language Learners,01M292,HENRY STREET SCHOOL FOR INTERNATIONAL,5,s,s,5,s,s
English Language Learners,01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,3,s,s,3,s,s
English Language Learners,01M509,MARTA VALLE HIGH SCHOOL,12,s,s,12,s,s
English Language Learners,01M515,LOWER EAST SIDE PREPARATORY HIGH SCHO,175,60,34.299999999999997%,175,60,34.299999999999997%
English Language Learners,01M539,NEW EXPLORATIONS INTO SCIENCE  TECHNO,.,.,.,.,.,.
English Language Learners,01M650,CASCADES HIGH SCHOOL,4,s,s,4,s,s
English Language Learners,01M696,BARD HIGH SCHOOL EARLY COLLEGE,.,.,.,.,.,.
English Language Learners,02M047,47 THE AMERICAN SIGN LANGUAGE AND ENG,4,s,s,4,s,s
English Language Learners,02M288,FOOD AND FINANCE HIGH SCHOOL,2,s,s,2,s,s
English Language Learners,02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,5,s,s,5,s,s
English Language Learners,02M298,PACE HIGH SCHOOL,1,s,s,1,s,s
English Language Learners,02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND C,5,s,s,5,s,s
English Language Learners,02M305,URBAN ASSEMBLY ACADEMY OF GOVERNMENT,1,s,s,1,s,s
English Language Learners,02M308,LOWER MANHATTAN ARTS ACADEMY,4,s,s,4,s,s
English Language Learners,02M316,URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,5,s,s,5,s,s
English Language Learners,02M374,GRAMERCY ARTS HIGH SCHOOL,2,s,s,2,s,s
English Language Learners,02M394,EMMA LAZARUS HIGH SCHOOL,10,s,s,10,s,s
English Language Learners,02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,14,s,s,14,s,s
English Language Learners,02M408,PROFESSIONAL PERFORMING ARTS HIGH SCH,.,.,.,.,.,.
English Language Learners,02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,.,.,.,.,.,.
English Language Learners,02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE S,2,s,s,2,s,s
English Language Learners,02M414,N.Y.C. MUSEUM SCHOOL,1,s,s,1,s,s
English Language Learners,02M416,ELEANOR ROOSEVELT HIGH SCHOOL,.,.,.,.,.,.
English Language Learners,02M418,MILLENNIUM HIGH SCHOOL,1,s,s,1,s,s
English Language Learners,02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AN,5,s,s,5,s,s
English Language Learners,02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SC,6,s,s,6,s,s
English Language Learners,02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX,106,4,3.8%,106,4,3.8%
English Language Learners,02M460,WASHINGTON IRVING HIGH SCHOOL,104,0,0%,104,0,0%
English Language Learners,02M475,STUYVESANT HIGH SCHOOL,.,.,.,.,.,.
English Language Learners,02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,6,s,s,6,s,s
English Language Learners,02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,1,s,s,1,s,s
English Language Learners,02M519,TALENT UNLIMITED HIGH SCHOOL,1,s,s,1,s,s
English Language Learners,02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSIN,79,8,10.1%,79,8,10.1%
English Language Learners,02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOO,5,s,s,5,s,s
English Language Learners,02M531,REPERTORY COMPANY HIGH SCHOOL FOR THE,1,s,s,1,s,s
English Language Learners,02M542,MANHATTAN BRIDGES HIGH SCHOOL,87,7,8%,87,7,8%
English Language Learners,02M543,NEW DESIGN HIGH SCHOOL,8,s,s,8,s,s
English Language Learners,02M544,INDEPENDENCE HIGH SCHOOL,12,s,s,12,s,s
English Language Learners,02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASI,25,18,72%,25,18,72%
English Language Learners,02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCO,77,4,5.2%,77,4,5.2%
English Language Learners,02M551,THE HARBOR HS,10,s,s,10,s,s
English Language Learners,02M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY,221,42,19%,221,42,19%
English Language Learners,02M580,RICHARD R. GREEN HIGH SCHOOL OF TEACH,2,s,s,2,s,s
English Language Learners,02M586,HARVEY MILK HIGH SCHOOL,.,.,.,.,.,.
English Language Learners,02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,11,s,s,11,s,s
English Language Learners,02M615,CHELSEA CAREER AND TECHNICAL EDUCATIO,13,s,s,13,s,s
English Language Learners,02M620,NORMAN THOMAS HIGH SCHOOL,110,1,0.9%,110,1,0.9%
English Language Learners,02M625,HIGH SCHOOL OF GRAPHIC COMMUNICATION,46,3,6.5%,46,3,6.5%
English Language Learners,02M630,ART AND DESIGN HIGH SCHOOL,7,s,s,7,s,s
English Language Learners,02M655,LIFE SCIENCES SECONDARY SCHOOL,4,s,s,4,s,s
English Language Learners,03M283,MANHATTAN THEATRE LAB HIGH SCHOOL,2,s,s,2,s,s
English Language Learners,03M299,HIGH SCHOOL FOR ARTS  IMAGINATION AND,12,s,s,12,s,s
English Language Learners,03M307,URBAN ASSEMBLY SCHOOL FOR MEDIA STUDI,7,s,s,7,s,s
English Language Learners,03M404,INNOVATION DIPLOMA PLUS,2,s,s,2,s,s
English Language Learners,03M415,WADLEIGH SECONDARY SCHOOL FOR THE PER,4,s,s,4,s,s
English Language Learners,03M470,LOUIS D. BRANDEIS HIGH SCHOOL,197,2,1%,197,2,1%
English Language Learners,03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF,1,s,s,1,s,s
English Language Learners,03M492,HIGH SCHOOL FOR LAW  ADVOCACY AND COM,19,s,s,19,s,s
English Language Learners,03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,14,s,s,14,s,s
English Language Learners,03M505,EDWARD A. REYNOLDS WEST SIDE HIGH SCH,9,s,s,9,s,s
English Language Learners,03M541,MANHATTAN / HUNTER SCIENCE HIGH SCHOO,.,.,.,.,.,.
English Language Learners,03M860,FREDERICK DOUGLASS ACADEMY II SECONDA,1,s,s,1,s,s
English Language Learners,04M409,COALITION SCHOOL FOR SOCIAL CHANGE,5,s,s,5,s,s
English Language Learners,04M435,MANHATTAN CENTER FOR SCIENCE AND MATH,16,s,s,16,s,s
English Language Learners,04M495,PARK EAST HIGH SCHOOL,8,s,s,8,s,s
English Language Learners,04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,.,.,.,.,.,.
English Language Learners,04M635,ACADEMY OF ENVIRONMENTAL SCIENCE SECO,4,s,s,4,s,s
English Language Learners,04M680,HERITAGE SCHOOL  THE,6,s,s,6,s,s
English Language Learners,04M695,URBAN PEACE ACADEMY,3,s,s,3,s,s
English Language Learners,05M285,HARLEM RENAISSANCE HIGH SCHOOL,.,.,.,.,.,.
English Language Learners,05M304,MOTT HALL HIGH SCHOOL,2,s,s,2,s,s
English Language Learners,05M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORM,1,s,s,1,s,s
English Language Learners,05M469,CHOIR ACADEMY OF HARLEM,.,.,.,.,.,.
English Language Learners,05M499,FREDERICK DOUGLASS ACADEMY,2,s,s,2,s,s
English Language Learners,05M670,THURGOOD MARSHALL ACADEMY FOR LEARNIN,.,.,.,.,.,.
English Language Learners,05M692,HIGH SCHOOL FOR MATHEMATICS  SCIENCE,.,.,.,.,.,.
English Language Learners,06M462,HIGH SCHOOL FOR INTERNATIONAL BUSINES,51,4,7.8%,51,4,7.8%
English Language Learners,06M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATI,38,0,0%,38,0,0%
English Language Learners,06M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVIC,43,1,2.3%,43,1,2.3%
English Language Learners,06M468,HIGH SCHOOL FOR HEALTH CAREERS AND SC,42,0,0%,42,0,0%
English Language Learners,06M540,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,3,s,s,3,s,s
English Language Learners,06M552,GREGORIO LUPERON HIGH SCHOOL FOR SCIE,76,4,5.3%,76,4,5.3%
English Language Learners,07X221,SOUTH BRONX PREPARATORY: A COLLEGE BO,4,s,s,4,s,s
English Language Learners,07X321,CROTONA ACADEMY HIGH SCHOOL,5,s,s,5,s,s
English Language Learners,07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL,8,s,s,8,s,s
English Language Learners,07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,2,s,s,2,s,s
English Language Learners,07X381,BRONX HAVEN HIGH SCHOOL   ,1,s,s,1,s,s
English Language Learners,07X473,MOTT HAVEN VILLAGE PREPARATORY HIGH S,11,s,s,11,s,s
English Language Learners,07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,1,s,s,1,s,s
English Language Learners,07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL ST,8,s,s,8,s,s
English Language Learners,07X527,BRONX LEADERSHIP ACADEMY II HS,7,s,s,7,s,s
English Language Learners,07X547,NEW EXPLORERS HIGH SCHOOL,5,s,s,5,s,s
English Language Learners,07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN,1,s,s,1,s,s
English Language Learners,07X551,BRONX ACADEMY OF LETTERS,11,s,s,11,s,s
English Language Learners,07X600,ALFRED E. SMITH CAREER AND TECHNICAL,35,0,0%,35,0,0%
English Language Learners,07X655,SAMUEL GOMPERS CAREER AND TECHNICAL E,51,1,2%,51,1,2%
English Language Learners,07X670,HEALTH OPPORTUNITIES HIGH SCHOOL,7,s,s,7,s,s
English Language Learners,08X282,WOMEN'S ACADEMY OF EXCELLENCE,.,.,.,.,.,.
English Language Learners,08X293,RENAISSANCE HIGH SCHOOL FOR MUSICAL T,3,s,s,3,s,s
English Language Learners,08X295,GATEWAY SCHOOL FOR ENVIRONMENTAL RESE,22,0,0%,22,0,0%
English Language Learners,08X305,PABLO NERUDA ACADEMY FOR ARCHITECTURE,19,s,s,19,s,s
English Language Learners,08X312,MILLENNIUM ART ACADEMY,10,s,s,10,s,s
English Language Learners,08X332,HOLCOMBE L. RUCKER SCHOOL OF COMMUNIT,12,s,s,12,s,s
English Language Learners,08X377,BRONX COMMUNITY HIGH SCHOOL,3,s,s,3,s,s
English Language Learners,08X405,HERBERT H. LEHMAN HIGH SCHOOL,76,1,1.3%,76,1,1.3%
English Language Learners,08X450,ADLAI E. STEVENSON HIGH SCHOOL,1,s,s,1,s,s
English Language Learners,08X452,BRONX GUILD,4,s,s,4,s,s
English Language Learners,08X519,FELISA RINCON DE GAUTIER INSTITUTE FO,9,s,s,9,s,s
English Language Learners,08X540,SCHOOL FOR COMMUNITY RESEARCH AND LEA,9,s,s,9,s,s
English Language Learners,08X560,HIGH SCHOOL X560 - BRONX ACADEMY HIGH,18,s,s,18,s,s
English Language Learners,08X650,JANE ADDAMS HIGH SCHOOL FOR ACADEMIC,40,0,0%,40,0,0%
English Language Learners,08X686,NEW SCHOOL FOR ARTS AND SCIENCES,.,.,.,.,.,.
English Language Learners,09X227,BRONX EXPEDITIONARY LEARNING HIGH SCH,21,0,0%,21,0,0%
English Language Learners,09X231,EAGLE ACADEMY FOR YOUNG MEN,1,s,s,1,s,s
English Language Learners,09X239,URBAN ASSEMBLY ACADEMY FOR HISTORY AN,10,s,s,10,s,s
English Language Learners,09X250,EXIMIUS COLLEGE PREPARATORY ACADEMY:,3,s,s,3,s,s
English Language Learners,09X252,MOTT HALL BRONX HIGH SCHOOL,6,s,s,6,s,s
English Language Learners,09X260,BRONX CENTER FOR SCIENCE AND MATHEMAT,2,s,s,2,s,s
English Language Learners,09X263,VALIDUS PREPARATORY ACADEMY: AN EXPED,13,s,s,13,s,s
English Language Learners,09X276,LEADERSHIP INSTITUTE,11,s,s,11,s,s
English Language Learners,09X297,MORRIS ACADEMY FOR COLLABORATIVE STUD,14,s,s,14,s,s
English Language Learners,09X329,DREAMYARD PREPARATORY SCHOOL,10,s,s,10,s,s
English Language Learners,09X403,BRONX INTERNATIONAL HIGH SCHOOL,82,6,7.3%,82,7,8.5%
English Language Learners,09X404,SCHOOL FOR EXCELLENCE,15,s,s,15,s,s
English Language Learners,09X412,BRONX HIGH SCHOOL OF BUSINESS,16,s,s,16,s,s
English Language Learners,09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,.,.,.,.,.,.
English Language Learners,09X414,JONATHAN LEVIN HIGH SCHOOL FOR MEDIA,34,0,0%,34,0,0%
English Language Learners,09X505,BRONX SCHOOL FOR LAW GOVERNMENT AND,4,s,s,4,s,s
English Language Learners,09X517,FREDERICK DOUGLASS ACADEMY III SECOND,4,s,s,4,s,s
English Language Learners,09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,9,s,s,9,s,s
English Language Learners,09X543,HIGH SCHOOL FOR VIOLIN AND DANCE,8,s,s,8,s,s
English Language Learners,10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDD,6,s,s,6,s,s
English Language Learners,10X213,BRONX ENGINEERING AND TECHNOLOGY ACAD,10,s,s,10,s,s
English Language Learners,10X225,THEATRE ARTS PRODUCTION COMPANY SCHOO,1,s,s,1,s,s
English Language Learners,10X237,THE MARIE CURIE SCHOOL FOR MEDICINE,7,s,s,7,s,s
English Language Learners,10X243,WEST BRONX ACADEMY FOR THE FUTURE,8,s,s,8,s,s
English Language Learners,10X268,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,105,2,1.9%,105,2,1.9%
English Language Learners,10X284,BRONX SCHOOL OF LAW AND FINANCE,5,s,s,5,s,s
English Language Learners,10X319,PROVIDING URBAN LEARNERS SUCCESS IN E,5,s,s,5,s,s
English Language Learners,10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,74,6,8.1%,74,6,8.1%
English Language Learners,10X368,IN-TECH ACADEMY (M.S. / HIGH SCHOOL 3,16,s,s,16,s,s
English Language Learners,10X374,KNOWLEDGE AND POWER PREPARATORY ACADE,1,s,s,1,s,s
English Language Learners,10X397,ENGLISH LANGUAGE LEARNERS AND INTERNA,3,s,s,3,s,s
English Language Learners,10X433,HIGH SCHOOL FOR TEACHING AND THE PROF,24,0,0%,24,0,0%
English Language Learners,10X434,BELMONT PREPARATORY HIGH SCHOOL,18,s,s,18,s,s
English Language Learners,10X437,FORDHAM HIGH SCHOOL FOR THE ARTS,2,s,s,2,s,s
English Language Learners,10X438,FORDHAM LEADERSHIP ACADEMY FOR BUSINE,18,s,s,18,s,s
English Language Learners,10X439,BRONX HIGH SCHOOL FOR LAW AND COMMUNI,20,s,s,20,s,s
English Language Learners,10X440,DEWITT CLINTON HIGH SCHOOL,221,1,0.5%,221,1,0.5%
English Language Learners,10X442,CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC,3,s,s,3,s,s
English Language Learners,10X445,BRONX HIGH SCHOOL OF SCIENCE,.,.,.,.,.,.
English Language Learners,10X475,JOHN F. KENNEDY HIGH SCHOOL,150,1,0.7%,150,1,0.7%
English Language Learners,10X477,MARBLE HILL HIGH SCHOOL FOR INTERNATI,36,6,16.7%,36,6,16.7%
English Language Learners,10X546,BRONX THEATRE HIGH SCHOOL,8,s,s,8,s,s
English Language Learners,10X549,DISCOVERY HIGH SCHOOL,18,s,s,18,s,s
English Language Learners,10X660,GRACE DODGE CAREER AND TECHNICAL EDUC,61,0,0%,61,0,0%
English Language Learners,10X696,HIGH SCHOOL OF AMERICAN STUDIES AT LE,.,.,.,.,.,.
English Language Learners,11X249,BRONX HEALTH SCIENCES HIGH SCHOOL,5,s,s,5,s,s
English Language Learners,11X253,BRONX HIGH SCHOOL FOR WRITING AND COM,8,s,s,8,s,s
English Language Learners,11X265,BRONX LAB SCHOOL,9,s,s,9,s,s
English Language Learners,11X270,ACADEMY FOR SCHOLARSHIP AND ENTRENEURSHIP,4,s,s,4,s,s
English Language Learners,11X275,HIGH SCHOOL OF COMPUTERS AND TECHNOLO,11,s,s,11,s,s
English Language Learners,11X288,COLLEGIATE INSTITUTE FOR MATH AND SCI,7,s,s,7,s,s
English Language Learners,11X290,BRONX ACADEMY OF HEALTH CAREERS,9,s,s,9,s,s
English Language Learners,11X299,ASTOR COLLEGIATE ACADEMY,9,s,s,9,s,s
English Language Learners,11X415,CHRISTOPHER COLUMBUS HIGH SCHOOL,80,1,1.3%,80,1,1.3%
English Language Learners,11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,5,s,s,5,s,s
English Language Learners,11X425,EVANDER CHILDS HIGH SCHOOL,.,.,.,.,.,.
English Language Learners,11X455,HARRY S TRUMAN HIGH SCHOOL,42,2,4.8%,42,2,4.8%
English Language Learners,11X513,NEW WORLD HIGH SCHOOL,44,3,6.8%,44,3,6.8%
English Language Learners,11X514,THE BRONXWOOD PREPARATORY ACADEMY,4,s,s,4,s,s
English Language Learners,11X541,GLOBAL ENTERPRISE HIGH SCHOOL,12,s,s,12,s,s
English Language Learners,11X542,PELHAM PREPARATORY ACADEMY,3,s,s,3,s,s
English Language Learners,11X544,HIGH SCHOOL FOR CONTEMPORARY ARTS,9,s,s,9,s,s
English Language Learners,11X545,BRONX AEROSPACE HIGH SCHOOL,6,s,s,6,s,s
English Language Learners,12X248,METROPOLITAN HIGH SCHOOL  THE,18,s,s,18,s,s
English Language Learners,12X251,EXPLORATIONS ACADEMY,4,s,s,4,s,s
English Language Learners,12X262,PERFORMANCE CONSERVATORY HIGH SCHOOL,9,s,s,9,s,s
English Language Learners,12X267,BRONX LATIN,.,.,.,.,.,.
English Language Learners,12X271,EAST BRONX ACADEMY FOR THE FUTURE,7,s,s,7,s,s
English Language Learners,12X278,PEACE AND DIVERSITY ACADEMY,6,s,s,6,s,s
English Language Learners,12X480,BRONX REGIONAL HIGH SCHOOL,9,s,s,9,s,s
English Language Learners,12X550,HIGH SCHOOL OF WORLD CULTURES,47,1,2.1%,47,1,2.1%
English Language Learners,12X680,BRONX COALITION COMMUNITY HIGH SCHOOL,6,s,s,6,s,s
English Language Learners,12X690,MONROE ACADEMY FOR BUSINESS/LAW,15,s,s,15,s,s
English Language Learners,12X692,MONROE ACADEMY FOR VISUAL ARTS & DESI,26,0,0%,26,0,0%
