OrganizationName,Brooklyn,Bronx,Manhattan,Queens,Staten Island,Fax,Phone,URL,noURL,Description,outsideLoc,outsideLocDesc,Aging,Anti-Discrimination & Human Rights,Arts & Culture,Business,Child Care & Parent Information,Community Service & Volunteerism,Counseling & Support Groups,Disabilities,Domestic Violence,Education,Employment & Job Training,Health,Homelessness,Housing,Immigration,Legal Services,"Lesbian, Gay, Bisexual, and/or Transgender",Personal Finance & Financial Education,Professional Association,Veterans & Military Families,Victim Services,Women's Groups,Youth Services,Faith-based organization,Foundation,Is registered with the Attorney General's office,New York City Agency,None of the above,Nonprofit,Comments,Other government organization,Published,Location 1,Location 2
Metropolitan Council on Housing,N,N,Y,N,N,2129796997,2129796238,http://www.metcouncil.net/,,"Met Council, founded in 1958, is a membership organization dedicated to preserving and expanding New York City’s supply of decent, affordable housing. Most New Yorkers live in rented apartments—almost all low, moderate, and middle-income people in New Yor",,,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,"301 New York
",
"Mid Bronx Community Preservation Coalition, Inc.",N,Y,N,N,N,,7185900655,,,"We are a non-profit, community based youth service agency, founded in 1979. We are committed to assisting economically disadvantaged youth and young adults become productive citizens by enhancing their ability to further their education, obtain job skills",,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
"Mid-Bronx Council Services, Inc.",N,Y,N,N,N,,7185888200,http://www.midbronx.org/,,"When bestowing the nation’s oldest and most prestigious community award (""All America City"") on the Bronx, the National Civic League acknowledged Mid-Bronx Council for its work in helping to turn their borough into one of the nation’s top ten communities—",,,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
Midtown Pregnancy Support Center,N,N,Y,N,N,6467232767,2126891705,http://www.mpsc.org,N,The Midtown Pregnancy Support Center (MPSC) is a not-for-profit organization of Christians offering alternatives to abortion. We also provide post-abortion peer counseling to women and couples in need. All services are provided FREE of charge and delivered in a confidential and professional atmosphere without the use of scare tactics or emotional appeals.,N,,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Midwood Development Corporation,Y,N,N,N,N,,7183760999,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
Momentum Project,N,N,Y,N,N,2126912960,2126918100,http://www.momentumaidsproject.org,,"Twenty-three years ago, the Momentum Project began as an all-volunteer organization dedicated to feeding disenfranchised New Yorkers living with HIV/AIDS.  Today, Momentum has grown into one of New York City’s largest HIV/AIDS organizations providing hot ",,,N,N,N,N,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
"Morningside Center for Teaching Social Responsibility, Inc.",N,N,Y,N,N,,2128703318,,,"MORNINGSIDE CENTER for Teaching Social Responsibility works in public schools and communities to help teachers, students, and parents build skills, knowledge and community. Through our programs, people learn to solve conflicts nonviolently, challenge bias",,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
"Mosholu Montefiore Community Center, Inc.",N,Y,N,N,N,,7188824000,http://www.mmcc.org/,, ,,,N,N,Y,N,Y,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
Mount Hope Housing Company,N,Y,N,N,N,,7185837017,http://www.mounthopehousing.org/index.html,,"Mount Hope Housing Company, Inc. is a community development organization that rehabilitates and manages affordable housing as well as providing a robust array of services to help its residents achieve new opportunities to move up the economic ladder.",,,N,N,Y,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
Ms. Foundation for Women,N,N,Y,N,N,,2126814549,http://www.ms.foundation.org,,"Founded in 1973, the Ms. Foundation for Women is the first and leading women’s fund and the foundation engaged across the United States to build women’s collective power to ignite change. The Ms. Foundation delivers strategic grants, capacity building and",,,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Mt. Sinai School of Medicine,N,N,Y,N,N,,2126506088,,,,,,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Municipal Art Society of New York,N,N,Y,N,N,2127531816,2129353960,http://www.mas.org/,,"MAS fights for intelligent urban design, planning and preservation through education, dialogue and advocacy.",,,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
"NA'AMAT USA, New York Council",N,N,Y,N,N,2122135597,2122135545,http://www.naamat.org/,,"For more than 80 years, NA’AMAT USA, International Movement of Zionist Women, has had one mission: to support the women and children of Israel. To accomplish its mission, NA’AMAT —through its sister organization in Israel— provides a broad range of social",,,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
National Coalition Against Censorship,N,N,Y,N,N,,2128076222,http://www.ncac.org,,"The National Coalition Against Censorship, an alliance of fifty-two participating organizations, is dedicated to protecting free expression and access to information ",,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
NARAL Pro-Choice New York,N,N,Y,N,N,2123430119,2123430114,http://www.prochoiceny.org/about/,N,"NARAL Pro-Choice New York, the New York State Affiliate of Pro-Choice America, works to protect safe, legal abortion and expand the full range of reproductive rights for women regardless of age, race or income.",N,,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
"National Council of Negro Women of Greater New York, New York City Chapter",N,N,N,Y,N,7186578824,7186578585,,,"The National Council of Negro Women was founded in 1935 by Mary McLeod Bethune, a civil rights activist, educator, and advisor to President Franklin D. Roosevelt, as a collection of organizations that “enable the voices of black women to be heard more ful",,,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
"National Council of Women of the United States, Inc.",N,N,Y,N,N,2129720164,2126971278,http://www.womensorganizations.org/index.php?option=com_content&task=view&id=12&Itemid=41,,"The National Council of Women’s Organizations is the leading coalition that makes fighting for women’s rights more effective by working together.  Every day, NCWO highlights and promotes the diverse work of our more than 200 member organizations represent",,,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
National Council of Young Israel. Young Israel of Forest Hills.,N,N,N,Y,N,7182633120,7185202305,http://www.find-us.net/youngisrael/,,"Welcome to the Young Israel of Forest Hills Senior League, better known as the ""Center with a Heart"".  Our center offers a delicious, glatt kosher Lunch Program daily, featuring a wide variety of menu items. Our meals follow a low salt and low sugar diet.",,,Y,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
National League for Nursing,N,N,Y,N,N,2128120391,2123635555,http://www.nln.org/,N,"Dedicated to excellence in nursing education, the National League for Nursing is the preferred membership organization for nurse faculty and leaders in nursing education. NLN members include nurse educators, education agencies, health care agencies, and i",N,,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,,N,N,N,N,N,N,Y,,N,Published,,
National Multiple Sclerosis Society,N,N,Y,N,N,,2124637787,http://www.nationalmssociety.org/NYN,,The New York City Chapter of the National MS Society is committed to helping the thousands of New Yorkers impacted by MS continue moving their lives forward. The chapter raises funds locally to support the Society’s critical research initiatives and to pr,,,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
National Organization for Women- Bronx,N,Y,N,N,N,,7183672435,http://www.now.org/,,"NOW is the largest, most comprehensive feminist advocacy group in the United States. Our purpose is to take action to bring women into full participation in society — sharing equal rights, responsibilities and opportunities with men, while living free fro",,,N,Y,N,Y,N,N,N,N,Y,Y,N,Y,N,N,N,N,Y,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,"1B Bronx
",
National Organization for Women-Brooklyn,Y,N,N,N,N,,7189517441,http://www.brooklynnow.org,,"Brooklyn-Queens NOW is a grass roots, civil rights organization dedicated to women's rights issues.",,,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,"5M Brooklyn
",
National Organization for Women-New York City,N,N,Y,N,N,2126279861,2126279895,http://www.nownyc.org,,"We are proud to be the founding chapter of NOW. Since 1966 we have worked to advance women's rights and improve the quality of life for women. Through education, public-awareness campaigns and lobbying we work towards creating a culture in which diversity",,,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,"304 New York
",
National Organization of Italian-American Women,N,N,Y,N,N,2124896130,2122378574,http://www.noiaw.org/,,"The National Organization of Italian American Women is a sisterhood of diverse women from varied professional backgrounds. Members include doctors, lawyers, artists, scientists, nurses, businesswomen, educators, writers, judges, and women working in the h",,,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,,N,N,N,N,N,N,Y,,N,Published,,
National Society For Hebrew Day Schools,N,N,Y,N,N,,7187874412,,,,,,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
National Urban League,N,N,Y,N,N,2123445332,2125585300,http://www.nul.org,,"Established in 1910, The Urban League is the nation's oldest and largest community- based movement devoted to empowering African Americans to enter the economic and social mainstream. Today, the National Urban League, headquartered in New York City, spear",,,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,Y,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
"Natl Sorority Phi Delta Kappa, Beta Omicron Big Sr EASC Inc.",N,N,N,Y,N,,7187231119,,,,,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Neighborhood Association for Inter-Cultural Affairs (NAICA),N,Y,N,N,N,,7185383344,,,,,,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Neighborhood Defender Service of Harlem,N,N,Y,N,N,,2128765500,http://www.ndsny.org/,N,"The Neighborhood Defender Service of Harlem is a non-profit model public law office whose dedicated staff is committed to providing the highest quality legal representation to inner city residents in Upper Manhattan. We are known internationally as the lead innovator in community-based, client-centered public defense practice. We involve civil and criminal attorneys, social workers, investigators, paralegals, and college and law school interns in the aggressive defense of our clients. We are dedicated to our mission -- to make justice a reality for those farthest from its reach.",N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Neighborhood Initiatives Development Corporation,N,Y,N,N,N,,7182319800,http://www.nidcny.org/programs.html,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
"Neighborhood Self-Help by Older Persons Projects, Inc.",N,Y,N,N,N,,7185420006,,,"To provide health education, prevention and social services to older women of color at-risk of heart disease and diabetes who resides in the Bronx",,,N,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
Neighborhood Women of Williamsburg/Greenpoint,Y,N,N,N,N,7183880285,7183886666,,,"Currently giving educational support to youth who have dropped out, NWWG Historically grew out of a desire to provide support, information, recognition, and assistance for low- and moderate-income women working to improve their quality of life, their fami",,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
"New Images for the Widowed, Inc.",N,N,Y,N,N,,2129722084,,,"Helps widowed persons re-establish their resources and strengths, increase their self-confidence and well-being through grief and transitional support groups, counseling, workshops, educational and social activities. Bereavement services are professionall",,,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,"7B New York
",
New Life Child Development Corporation,Y,N,N,N,N,,7188213432,,,,,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
"New York Academy of Sciences, Women in Sciences",N,N,Y,N,N,2128385226,2128380230,http://www.nyas.org/,,"Our mission is to advance scientific knowledge, positively impact the major global challenges of society with solutions that are science-based, and increase the number of scientifically informed individuals in society at large.",,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,,N,N,N,N,N,N,Y,,N,Published,,
New York AIDS Coalition,N,N,Y,N,N,2126298403,2126293075,http://www.nyaidscoalition.org,,,,,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,"1002 New York
",
"New York Association for New Americans, Inc. (NYANA)",N,N,Y,N,N,,2124252900,,N,,N,,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
New York Cares,N,N,Y,N,N,2122286414,2122285000,http://www.nycares.org,,New York Cares was founded by a group of friends who wanted to take action against the serious social issues facing our city. Their goal was to meet pressing community needs by mobilizing caring New Yorkers in volunteer service - and this continues to be ,,,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
New York Center for Interpersonal Development,N,N,N,N,Y,,7188766068,http://www.nycid.org/,,"he New York Center for Interpersonal Development promotes the improvement of human relationships and the strengthening of communities as fundamental to achieving a civil society. We provide youth, community, and professional development programs, and disp",,,N,N,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
New York City Coalition Against Hunger,N,N,Y,N,N,,2128250028,http://www.nyccah.org/,,"The New York City Coalition Against Hunger (NYCCAH) represents the more than 1,200 nonprofit soup kitchens and food pantries in New York City and the more than 1.3 million low-income New Yorkers who are forced to use them. The Coalition works to meet the ",,,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
New York City Mission Society,N,N,Y,N,N,,2126743500,http://www.nycmissionsociety.org/,,"For children growing up in poverty, attending college can seem like an impossible dream. Amid the day to day struggles of living in underserved communities and attending failing schools, these children often end up letting go of this dream. Mission Societ",,,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
New York Coalition of 100 Black Women,N,N,Y,N,N,,2125175700,http://www.cobwfounders.org/,,The mission of the Founding Chapter of the New York Coalition of One Hundred Black Women is to: Foster principles of equal rights and opportunities for African American women; Promote the awareness and vitality of Black culture and its heritage; Develop t,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,,N,N,N,N,N,N,Y,,N,Published,"250 New York
",
"New York Counties Registered Nurses Association, Inc.",N,N,Y,N,N,,2126737110,,,,,,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,,N,N,N,N,N,N,Y,,N,Published,,
New York Families for Autistic Children,N,N,N,Y,N,,7186413441,http://www.nyfac.org,,"Since its inception NYFAC, has developed and instituted a wide variety of programs and services. NYFAC is recognized as a leader world-wide in the development of training materials for professionals working with children diagnosed with an Autism Spectrum ",,,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
New York Junior League,N,N,Y,N,N,,2122886220,http://www.nyjl.org,N,"The New York Junior League is an organization of women committed to promoting volunteerism, developing the potential of women, and improving communities through the effective action and leadership of trained volunteers. Its purpose is exclusively educational and charitable.",N,,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
New York Junior Tennis League,N,N,N,Y,N,,7187867110,http://nyjtl.org/,,,,,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,Y,,N,Published,,
New York Public Interest Research Group: Small Claims Court Action Center,N,N,Y,N,N,,2123496460,http://www.nypirg.org/consumer/sccac/default.html,,"Just like TV’s “People's Court,” the Small Claims Court us an inexpensive, informal forum where New Yorkers can go to resolve typical consumer problems — such as shoddy goods, poor repairs or services and unreturned deposits — without the assistance or ex",,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,,N,N,N,N,N,N,Y,,N,Published,,
