"Borough, Block and Lot #",Facility Address,Natural Gas Utility (Con Edison or National Grid,Building Manager,Owner,Owner Address,DEP Boiler Application #,Deadline for phasing out #6 oil (i.e. data of next DEP permit renewal after July 1 2012),Boiler Model,Number of identical boilers,Boiler capacity (Gross BTU),Boiler Installation Date,Estimated retirement date of boiler (assuming 35 year average useful life),Is boiler dual fuel capable?,Age range of boiler,Burner Model,Primary Fuel,Total Estimated Cosumption - High Estimate (Gallons) ,Total Estimated Cosumption - Low Estimate (Gallons) ,Total Estimated Cosumption - High Estimate (MMBTUs) ,Total Estimated Cosumption - Low Estimate  (MMBTUs) ,Needs to comply with Greener Greater Buildings Laws?,Deadline for complying with Audit and Retrocommissioning Law,Building Type,City Council District,Total area of buildings on lot,Number of buildings on property (tax lot),Number of floors,Number of residential units,Number of total units,Year constructed,Condominium housing?,Cooperative housing?
2046700050,"3531 BRONXWOOD AVENUE
Bronx, NY 10469
(40.87589728908232, -73.86032974990074)",Con Edison,SURREY COOPERATIVE  APTS,OCWEN FEDERAL BANK FS,"2307 ADAM CLAYTON POWELL JR BOULEVARD
MANHATTAN, NY 10030
(40.81547446357607, -73.94341120347593)",CA420289H,7/6/05,FEDERAL FST 250,2,8.8,1989,2024, ,21 to 26 years old,ICI DEG 105 P,#6,193158,135211,28974,20282,Yes,2020,Walk-Up Apartments,12,289000,2,6,269,269,1962, ,YES
2023490090,"385 GERARD AVENUE
Bronx, NY 10451
(40.81654397468993, -73.93022188454634)",Con Edison,"EDGE MANAGEMENT, LLC",385 GERARD LLC,"555 MADISON AVE
MANHATTAN, NY 10017
(40.75245652744684, -73.97297648087982)",CA120171H,7/5/05,HEGGIE SIMPLEX 330,2,9.1,1971,2010, ,36 - 40 year old,RAY AR141-7,#6,189800,132860,28470,19929,Yes,2019,Elevator Apartments,17,395000,1,12,0,12,1923, , 
2045060001,"2731 BARKER AVENUE
Bronx, NY 10467
(40.86577219793854, -73.86915483339331)",Con Edison,ALLERTON ASSOCIATES,BRONX PARK EAST LLC,"165 Blythebourne Sta
BROOKLYN, NY 11219-0003
(40.63277295540763, -73.99667681118586)",CA075386P,7/4/05,FEDERAL  FST-250,1,8.36,1986,2021, ,21 to 26 years old,I.C.I  DEG 105 (P),#6,189070,132349,28360,19852,Yes,2016,Elevator Apartments,11,282920,4,5,358,368,1927, , 
2032510420,"3400 PAUL AVENUE
Bronx, NY 10468
(40.877088902777075, -73.88957359897962)",Con Edison,METRO MANAGEMENT C/O SCOTT TOWER,SCOTT TOWER HOUSING C,"42 25 21 STREET
LONG ISLAND CIT, NY 11101
(40.74570244980828, -73.93866902925225)",CA002281L,7/7/05,FEDERAL FLR 5464,2,17.9,1981,2016,DUAL FUEL,26 to 30 years old,HEVEOIL DEG 210,#6,188163,131714,28224,19757,Yes,2021,Elevator Apartments,11,381213,1,21,352,352,1967, ,YES
2036820001,"2040 BRUCKNER BLVD
Bronx, NY 10473
(40.826219180033725, -73.85471678377161)",Con Edison,2020 BRUCKNER ASSOC. % STELLAR MGT.,STELLAR 2020 LLC,"156 WILLIAM STREET
NEW YORK, NY 10038
(40.70999054661479, -74.0060256431043)",CB154006J,7/5/05,FEDERAL FST - 300 (NEW),2,10,2006,2041,DUAL FUEL,Fewer than 5 years old,ICI DEG - 145P (NEW),#6,186588,130612,27988,19592,Yes,2022,Elevator Apartments,18,359556,3,14,330,330,1966, , 
2024430170,"775 MORRIS AVENUE
Bronx, NY 10451
(40.8229938257732, -73.91992687368291)",Con Edison,CONCOURSE VILLAGE INC,CONCOURSE VILLAGE INC,"775 MORRIS AVENUE
BRONX, NY 10451
(40.8229938257732, -73.91992687368291)",CA346083J,7/5/05,FEDERAL FLR 6071,5,29.4,1983,2018,DUAL FUEL,26 to 30 years old,ICI DEG 210(S),#6,184635,129245,27695,19387,Yes,2013,Walk-Up Apartments,16,876500,2,25,1248,1248,1964, ,YES
2031750015,"50 191 STREET
Bronx, NY 10468
(40.863873259922826, -73.89803500848771)",Con Edison,VED PARKASH,PARKASH VED,"172 14 89 AVENUE
JAMAICA, NY 11432
(40.71311535449007, -73.79282099978928)",CA309683K,7/6/05,FEDERAL FST-200,1,8.4,1983,2018, ,26 to 30 years old,IRON FIREMAN A06-9.8,#6,183960,128772,27594,19316,Yes,2015,Elevator Apartments,14,119460,1,6,103,103,1942, , 
2025260090,"1131 33 OGDEN AVENUE
Bronx, NY 10452
(40.83772426336412, -73.9233322114124)",Con Edison,HIGHBRIDGE HSE. OGDEN LLC % STELLAR MGT.,HIGHBRIDGE HOUSE OGDE,"156 WILLIAM STREET
NEW YORK, NY 10038
(40.70999054661479, -74.0060256431043)",CB015107Y,7/5/05,EASCO SM4 - 200 (NEW),3,6.6,2007,2042,DUAL FUEL,Fewer than 5 years old,ICI DEG - 84P (NEW),#6,182318,127622,27348,19143,Yes,2016,Condominiums,16,0,0,0,0,0,0, ,YES
2042220046,"1560 PELHAM PARKWAY
Bronx, NY 10461
(40.85669104968648, -73.84093882635297)",Con Edison,ZM FORCE LLC,ZM FORCE LLC,"408 MAMARONECK ROAD
SCARSDALE, NY 10583
(40.975369755634226, -73.75670587294852)",CA279881R,7/7/05,PACIFIC 67L2,1,9.95,1981,2016, ,26 to 30 years old,HEV-E-OIL DEG-105 S,#6,181660,127162,27249,19074,Yes,2022,Walk-Up Apartments,13,184500,2,6,177,177,1960, , 
2039010031,"1430 THIERIOT AVENUE
Bronx, NY 10460
(40.836090745978765, -73.86516757361966)",Con Edison,ARCHER COOPERATIVE INC.,ARCHER COOPERATIVE IN,"3924 TREMONT AVE
BRONX, NY 10465
(40.821281757097886, -73.8185974257523)",CA269691R,7/4/05,FEDERAL  FST 200,2,8.4,1991,2026, ,16 to 20 years old,IND. COMB. DEG-84  (P),#6,179361,125553,26904,18833,Yes,2021,Elevator Apartments,18,217800,2,6,170,170,1960, ,YES
2059530550,"5621 NETHERLAND AVENUE
Bronx, NY 10471
(40.904634495681464, -73.90632709811302)",Con Edison,NETHERLAND GARDENS CORP.,"JOSEPH, TIERNEY","6 43rd STREET
NEW YORK, NY 10017
(40.75381517729913, -73.97967506743592)",CB139103X,7/5/05,FEDERAL FST-200 (NEW),2,6.69,2003,2038,DUAL FUEL,5 to 10 years old,IND. COMBUSTION DEG-84 (P)  (NEW),#6,179361,125553,26904,18833,Yes,2013,Hotels,11,395000,3,6,462,462,1949, ,YES
2059530230,"5800 ARLINGTON AVENUE
Bronx, NY 10471
(40.90710125934282, -73.90684826109029)",Con Edison,SKYVIEW OWNERS CORP,SKYVIEW OWNERS CORP,"5701 ARLINGTON AVENUE
RIVERDALE, NY 10471
(40.90647653354831, -73.90679875550259)",CA511886J,7/6/05,ROCKMILLS MP-400,2,16.8,1986,2021, ,21 to 26 years old,S.T. JOHNSON FD 68CAHM 400,#6,177555,124288,26633,18643,Yes,2013,Elevator Apartments,11,400180,1,20,435,435,1961, ,YES
2028210032,"1560 GRAND
Bronx, NY 10457
(40.84579837129786, -73.89832418681175)",Con Edison,1560 GC LLC,1560 GC LLC,"5676 RIVERDALE AVENUE
BRONX, NY 10471
(40.90603192863733, -73.90429477417916)",CA083878L,7/4/05,ROCKMILLS MP300,1,13.4,1978,2013, ,31 to 35 years old,HEV-E-OIL DEG 145S,#6,175747,123023,26362,18453,Yes,2021,Elevator Apartments,16,139650,1,6,118,119,1929, , 
2036820001,"2040 BRUCKNER BOULEVARD
Bronx, NY 10473
(40.826219180033725, -73.85471678377161)",Con Edison,BOULEVARD I HOUSING CORP,STELLAR 2020 LLC,"97 77 QUEENS BOULEVARD
QUEENS, NY 11374
(40.72646491702238, -73.86148084756303)",CA142670J,7/4/05,FEDERAL   #FLR 4857,1,8.4,1970,2010, ,36 - 40 year old,ACE   #DPGH 130,#6,175200,122640,26280,18396,Yes,2022,Elevator Apartments,18,359556,3,14,330,330,1966, , 
2028800153,"1750 SEDGWICK AVENUE
Bronx, NY 10453
(40.85121160684191, -73.92149800583103)",Con Edison,MARION SCOTT REAL ESTATE INC.,ACV REALTY CORP,"107 129 EAST 126 STREET
NEW YORK, NY 10035
(40.79381703542788, -73.91931750020245)",CA059373X,7/6/05,FEDERAL (2) PLW 331,2,14.1,1973,2010,DUAL FUEL,36 - 40 year old,PREFERRED # BHER 8-3M4,#6,170890,119623,25634,17943,Yes,2020,Elevator Apartments,16,272370,1,20,227,227,1974, , 
2038950001,"1500 NOBLE AVENUE
Bronx, NY 10460
(40.83659795948078, -73.87132561263411)",Con Edison,GRENADIER REALTY,NOBLE MANSION OWNER L,"1230 PENNSYLVANIA AVENUE
BROOKLYN, NY 11239
(40.650468611487966, -73.88474281984874)",CA138471P,7/5/05,GIBRALTAR GHF 386-6,2,12.6,1971,2010, ,36 - 40 year old,PETRO MODEL WD-8AH,#6,170000,119000,25500,17850,Yes,2015,Condominiums,18,265625,1,17,238,238,1965, , 
2032520340,"120 GALE PLACE
Bronx, NY 10463
(40.88461077073308, -73.89247192325327)",Con Edison,AMALGAMATED HOUSES CORP.,AMALGAMATED HOUSING C,"98 VAN CORTLAND PARK
BRONX, NY 10463
(40.885020512320025, -73.89177221712886)",CB012305H,7/5/05,JOHNSTON PFTZ1200-4X150S (NEW),1,40.1,2005,2040,DUAL FUEL,5 to 10 years old,FABER #L3E-LNAF1200-0-G (NEW),#6,167622,117335,25143,17600,Yes,2022,Condominiums,11,351827,1,13,282,282,1949, ,YES
2045060040,"2850 BRONX PARK
Bronx, NY 10467
(40.86731543035577, -73.87041238708414)",Con Edison,ALLERTON ASSOCIATES,BRONX PARK EAST LLC,"165 BLYTHEBOUNE
BROOKLYN, NY 11219-0003
(40.63277295540763, -73.99667681118586)",CA098386R,7/6/05,FEDERAL FST-250,2,10.5,1986,2021, ,21 to 26 years old,I.C.I. DEG 105 P,#6,167462,117223,25119,17584,Yes,2016,Elevator Apartments,11,277000,6,5,340,340,1929, , 
2057220475,"2600 NETHERLAND AVENUE
Bronx, NY 10463
(40.878840739419545, -73.91675947741456)",Con Edison,THE CENTURY % HAMPTION MGMT,EDGEHILL ASSOCIATES,"2600 NETHERLAND AVE
BRONX, NY 10463
(40.878840739419545, -73.91675947741456)",CA062784H,7/7/05,FEDERAL  FLW 5464,3,21,1984,2019, ,26 to 30 years old,S.T.  JOHNSON FD68 CAHM-500,#6,167000,116900,25050,17535,Yes,2022,Elevator Apartments,11,844578,1,30,588,608,1975, , 
2037490001,"1210 CROES AVENUE
Bronx, NY 10472
(40.82965995488397, -73.87066783578445)",Con Edison,CROES NEST REALTY L.P.,CROES NEST REALTY L P,"8605 BAY PARKWAY
BROOKLYN, NY 11214
(40.6017350338482, -73.99398137684356)",CA376394Y,7/5/05,GIBRALTAR GHF-322-34,2,15.93,1994,2029, ,16 to 20 years old,INDUSTRIAL COMB. DEG-145-(S),#6,164250,114975,24638,17246,Yes,2019,Elevator Apartments,18,198104,1,20,159,159,1964, , 
2047210017,"3468 FENTON AVENUE
Bronx, NY 10469
(40.87705317442319, -73.84844943825993)",Con Edison,EASTCHESTER LLC. LANGSAM PROPERTY,EASTCHESTER HEIGHTS L,"1230 PENNSYLVIA
BROOKLYN, NY 11239
(40.650468611487966, -73.88474281984874)",CA357389X,7/6/05,ROCKMILLS MP200,2,8.55,1989,2024, ,21 to 26 years old,HEVE DEG84P,#6,164250,114975,24638,17246,Yes,2021,Walk-Up Apartments,12,250000,6,5,280,280,1935, , 
2057720001,"3701 FIELDSTON ROAD
Bronx, NY 10463
(40.88645212233688, -73.90674586956857)",Con Edison,ETHICAL CULTURE FIELDSTON,LEONARD FRANZBLAU &AS,"3901 FIEDSTON ROAD
BRONX, NY 10471
(40.90199442310421, -73.9036265005625)",CA188493L,7/7/05,EASTMOND  ESP 200,3,8.4,1993,2028, ,16 to 20 years old,ST JOHNSON FD 68 CAHM  SIZE 200,#6,164250,114975,24638,17246,,,Elevator Apartments,11,15525,1,2,0,11,1946, , 
2027810500,"355 FOOD CENTER DRIVE
Bronx, NY 10474
(40.808437540927834, -73.8720330124457)",Con Edison,HUNTSPOINT CO-OP.MARKET INC.,DEPT.OF SMALL BUSINES,"355 FOOD CENTER DRIVE
BRONX, NY 10474
(40.808437540927834, -73.8720330124457)",CA236673M,7/7/05,FLO KONTROLD  25A,2,28,1973,2010, ,36 - 40 year old,TODD  76108,#4,164250,114975,23816,16671,,,Elevator Apartments,17,1405879,11,1,0,10,1973, , 
2022690001,"533 142 STREET
Bronx, NY 10454
(40.810206016059716, -73.91706545516631)",Con Edison,O.U.B.HOUSES HOUSING,O U B HOUSES HSG CO I,"2804 THIRD
BRONX, NY 10455
(40.815240011180826, -73.9191050461506)",CA118293N,7/6/05,FEDERAL   FST-200,2,8.19,1993,2028, ,16 to 20 years old,I.C.I. DEG-84S,#6,164250,114975,24638,17246,Yes,2019,Elevator Apartments,8,209819,2,17,173,173,1970, , 
2025340008,"1380 DR M L KING JR BOULEVARD
Bronx, NY 10452
(40.83772426336412, -73.9233322114124)",Con Edison,UNIVERSITY RESIDENCE INC.,UNIVERSITY RESIDENCE,"1380 UNIVERSITY AVE
BRONX, NY 10452
(40.84226780778729, -73.92602566630099)",CA113593M,7/7/05,FEDERAL (EXISTING) FLW 2429-SP,2,8.2,1993,2028, ,16 to 20 years old,HEVE (IC) DEG-84 (P),#6,164250,114975,24638,17246,Yes,2014,Elevator Apartments,16,182218,1,16,140,140,1967, ,YES
2025890031,"850 138 STREET
Bronx, NY 10454
(40.80337464101358, -73.90947300327652)",Con Edison,MOUNT SINAI HOSPITAL.,"ARAMARK FSM, LLC","850 138 STREET
BRONX, NY 10454
(40.80337464101358, -73.90947300327652)",CA415788X,7/4/05,"CLEAVERBROOKS CB400-500,150",1,21,1988,2023, ,21 to 26 years old,"CLEAVERBROOKS CB400-500,150",#4,164000,114800,23780,16646,Yes,2019,Elevator Apartments,17,74080,1,2,0,2,1988, , 
2045990017,"3260 CRUGER AVENUE
Bronx, NY 10467
(40.872999585646944, -73.86611237311301)",Con Edison,OAK DRIVE MUTUAL HOUSING/ANKER MGMT,OAK DRIVE MUTL HSNG I,"45 KNOLLWOOD ROAD
ELMSFORD, NY 10523
(41.05901442847757, -73.80525667330616)",CA269191K,7/4/05,FEDERAL  FLR-2125,2,7.4,1991,2026, ,16 to 20 years old,IND. COMB.   DEG-84-(S),#6,160965,112676,24145,16901,Yes,2019,Condominiums,12,116222,1,11,100,100,1965, ,YES
2033960030,"549 234 STREET
Bronx, NY 10470
(40.89733161253489, -73.86319015150447)",Con Edison,"SARANTAKOS, PETROS  (OWNER)",549 REALTY CORP,"125 BRONX
NY 10470
(40.90012797192844, -73.8712277502604)",CA033177N,7/5/05,FEDERAL FST-125,1,5.7,1977,2012, ,31 to 35 years old,S T JOHNSON FD68A-150,#6,160000,112000,24000,16800,Yes,2016,Walk-Up Apartments,11,61917,1,6,63,63,1930, , 
2025970001,"939 138 STREET
Bronx, NY 10454
(40.80201356620891, -73.90702888907441)",Con Edison,CASTLE OIL,CASTLE PORT MORRIS ET,"939 138 STREET
BRONX, NY 10454
(40.80201356620891, -73.90702888907441)",CB571103K,7/6/05,ROCKMILLS MP 600 (NEW),1,20,2003,2038,DUAL FUEL,5 to 10 years old,ICI DEG-252P  (NEW),#6,159430,111601,23914,16740,,,Office Buildings,17,4424,1,1,0,1,1948, , 
2025970001,"939 138 STREET
Bronx, NY 10454
(40.80201356620891, -73.90702888907441)",Con Edison,CASTLE PORT MORRIS TERMINALS INC.,CASTLE PORT MORRIS ET,"939 138 STREET
BRONX, NY 10454
(40.80201356620891, -73.90702888907441)",CB412803M,7/6/05,ROCKMILLS MP-600 (NEW),1,20,2003,2038,DUAL FUEL,5 to 10 years old,INDUSTRIAL COMBUSTION DEG-252P (NEW),#6,159430,111601,23914,16740,,,Elevator Apartments,17,4424,1,1,0,1,1948, , 
2032200016,"2550 WEBB AVENUE
Bronx, NY 10468
(40.86684599386663, -73.90365215591359)",Con Edison,WEST KINGSBRIDGE COMPANY,WEBB AVE. HOUSING DEV,"100 KINGSBRIDGE ROAD
BRONX, NY 10468
(40.86655665070593, -73.89550275927074)",CB033703N,7/6/05,FEDERAL FLR 4250  (EXSTG),2,20.65,2003,2038,DUAL FUEL,5 to 10 years old,IC-DEG-145 P(NEW),#6,157950,110565,23692,16585,Yes,2020,Condominiums,14,216000,1,12,0,1,1969, , 
2032510490,"40 MOSHOLU PARKWAY
Bronx, NY 10468
(40.88048859303581, -73.88600719916569)",Con Edison,TRACEY TOWERS,TRACEY TOWERS ASSOCS,"1619 THIRD AVENUE
NEW YORK, NY 10128
(40.782063212447575, -73.95157124804915)",CB060406N,#N/A,KEWANEE 7 L291 (EXSTG),1,17.7,2006,2041,DUAL FUEL,Fewer than 5 years old,ICI DEG - 210P (NEW),#6,156366,109456,23455,16418,Yes,2021,Walk-Up Apartments,11,1074489,2,42,871,872,1975, ,YES
2032510490,"40 MOSHOLU PARKWAY
Bronx, NY 10468
(40.88048859303581, -73.88600719916569)",Con Edison,TRACEY TOWERS,TRACEY TOWERS ASSOCS,"1619 THIRD AVENUE
NEW YORK, NY 10128
(40.782063212447575, -73.95157124804915)",CB060406N,#N/A,KEWANEE 7 L291 (EXSTG),1,17.7,2006,2041,DUAL FUEL,Fewer than 5 years old,ICI DEG - 210P (NEW),#6,156366,109456,23455,16418,Yes,2021,Elevator Apartments,11,1074489,2,42,871,872,1975, ,YES
2036270040,"820 BOYNTON AVENUE
Bronx, NY 10473
(40.820116404127724, -73.87619412647015)",Con Edison,LAFAYETTE MORRISON HOUSING,LAFAYETTE MORRISON,,CA391292Z,7/6/05,FEDERAL FST-400,1,17.66,1992,2027, ,16 to 20 years old,I.C.I. DEG-175 (P),#6,156038,109226,23406,16384,Yes,2017,Elevator Apartments,18,256750,1,19,225,225,1962, ,YES
2032480049,"2685 DR M L KING JR BOULEVARD
Bronx, NY 10468
(40.869693003729196, -73.89892699248668)",Con Edison,ARDOWORK CORP.,ARDOWORK CORPORATION,"2685 UNIVERSITY AVE
BRONX, NY 10468
(40.868386306475436, -73.90104372711725)",CA156383Y,7/6/05,FEDERAL FST-350,1,14.1,1983,2018, ,26 to 30 years old,INDUSTRIAL COMBUSTION DEG-145(P),#6,154578,108205,23187,16231,Yes,2018,Elevator Apartments,14,200000,1,6,180,193,1926, , 
2038370001,"1066 ZEREGA AVENUE
Bronx, NY 10462
(40.83001238101115, -73.84424143412897)",Con Edison,TWIN PINE FUELS LLC,"ZEREGA SIX STAR, LLC","1066 ZEREGA AVENUE
BRONX, NY 10462
(40.83001238101115, -73.84424143412897)",CA242973P,7/4/05,TITUSVILLE  SOH425,1,16.8,1973,2010, ,36 - 40 year old,PETRO WD81/2/AH,#4,153300,107310,22228,15560,,,Elevator Apartments,13,35360,4,2,0,1,1951, , 
2057430203,"2550 INDEPENDENCE AVENUE
Bronx, NY 10463
(40.88035295620323, -73.92083363513495)",Con Edison,2550 INDEPENDENCE AV.OWNERS,2550 INDEPENDENCE AVE,"2736 INDEPENDENCE AVE
RIVERDALE, NY 10463
(40.882258954549314, -73.91765023386792)",CA485087R,7/7/05,FEDERAL FST 350,1,14.7,1987,2022, ,21 to 26 years old,ICI DEG 145 S,#6,151767,106237,22765,15936,Yes,2013,Elevator Apartments,11,200314,1,7,142,142,1959, ,YES
2042920024,"2132 WALLACE AVENUE
Bronx, NY 10462
(40.85420147027102, -73.86478636901225)",Con Edison,GOJCAJ MANAGEMENT,DPA WALLACE AVENUE II,"2135 WALLACE AVE
BRONX, NY 10462
(40.85426418848346, -73.86485671089446)",CA087380M,7/5/05,ROCKMILLS  MP 250,1,10.5,1980,2015, ,26 to 30 years old,I.C.I.  DEG  105 P,#4,150000,105000,21750,15225,Yes,2022,Elevator Apartments,13,175806,1,6,172,184,1929, , 
2032510490,"20 MOSHOLU PARKWAY
Bronx, NY 10468
(40.88007941088719, -73.88590228397366)",Con Edison,TRACY TOWER & R.Y.MGMT,TRACEY TOWERS ASSOCS,"1619 3RD AVE
MANHATTAN, NY 10128
(40.782063212447575, -73.95157124804915)",CA204984N,7/6/05,FEDERAL # FLW 529,1,17.8,1984,2019, ,26 to 30 years old,ST JOHNSON FD68CAHM500,#6,149796,104857,22469,15729,Yes,2021,Walk-Up Apartments,11,1074489,2,42,871,872,1975, ,YES
2036700001,"950 UNDERHILL AVENUE
Bronx, NY 10473
(40.824713393806256, -73.86083804888827)",Con Edison,950 UNDERHILL AVE. % STELLAR MGT.,STELLAR BRUCKNER LLC,"156 WILLIAM STREET
NEW YORK, NY 10038
(40.70999054661479, -74.0060256431043)",CB136406L,7/5/05,FEDERAL FST - 250 (NEW),2,8.3,2006,2041,DUAL FUEL,Fewer than 5 years old,ICI DEG - 105P (NEW),#6,149358,104551,22404,15683,Yes,2020,Elevator Apartments,18,216650,1,21,209,209,1966, , 
2052590016,"3410 DE REIMER AVENUE
Bronx, NY 10475
(40.87960219215409, -73.83666318298415)",Con Edison,MARK TERRACE OWNERS CORP.,MARK TERRACE OWNERS C,"3410 DE REIMER AVENUE
BRONX, NY 10475
(40.87960219215409, -73.83666318298415)",CB015007X,7/6/05,BEST 5-D-250 (NEW),1,8.3,2007,2042,DUAL FUEL,Fewer than 5 years old,ICI DEG-105P (NEW) ,#6,149358,104551,22404,15683,Yes,2019,Elevator Apartments,12,256000,1,16,208,208,1965, ,YES
2059237501,"4455 DOUGLAS AVENUE
Bronx, NY 10471
(40.88892144790063, -73.9168761315297)",Con Edison,HAYDEN ON THE HUDSON,,"675 THRID AVE
NEW YORK, NY 10017
(40.75245652744684, -73.97297648087982)",CA238199N,7/4/05,ROCKMILLS  MP-350,2,11.72,1999,2034,DUAL FUEL,11 to 15 years old,HEVE  DEG 145P,#6,147825,103478,22174,15522,Yes,2013,Elevator Apartments,11,275568,21,3,177,177,1969,YES, 
2039000039,"1425 THIERIOT AVENUE
Bronx, NY 10460
(40.83594955045619, -73.86521612640604)",Con Edison,STRATTON CO-OP,1425 THERIOT AVE LLC,"404 PARK AVENUE
MANHATTAN, NY 10016
(40.74338720170832, -73.98417235632)",CA274692P,7/6/05,FEDERAL FST-175,2,7,1992,2027, ,16 to 20 years old,HEVE DEG 84-P,#6,147825,103478,22174,15522,Yes,2020,Elevator Apartments,18,216000,2,6,169,169,1954, ,YES
2024610094,"1020 GRAND
Bronx, NY 10451
(40.82069640711353, -73.92384136798472)",Con Edison,H&R BERNSTEIN,"GREENWALD, ROBERT","250 PARK AVENUE
MANHATTAN, NY 10003-1402
(40.738333453173844, -73.9878407889095)",CA004186M,7/6/05,FEDERAL FST 400,2,16.5,1986,2021, ,21 to 26 years old,HEVEOIL DEG 175 P,#6,147815,103470,22172,15521,Yes,2021,Elevator Apartments,16,428360,1,23,453,466,1963, ,YES
2044290001,"2550 OLINVILLE AVENUE
Bronx, NY 10467
(40.863816236651225, -73.86838289481757)",Con Edison,ALLERVILLE ARMS/WASHFIELD MGT,ALLERVILLE ARMS OWNER,"310 143RD STREET
NEW YORK, NY 10030
(40.82158789036993, -73.94303423942956)",CA196483H,7/6/05,FEDERAL FLR-3643,1,17.71,1983,2018, ,26 to 30 years old,IND. COMB.  DEG-145 S,#6,147679,103375,22152,15506,Yes,2019,Elevator Apartments,13,232532,1,18,213,213,1965, ,YES
2031600020,"2075 GRAND
Bronx, NY 10453
(40.85465591059207, -73.90885013880322)",Con Edison,GRAND CONCOURSE 2075 LLC,GRAND CONCOURSE 2075,"2304 NOSTRAND AVE
BROOKLYN, NY 11210
(40.62856671210955, -73.94724894340749)",CA221098N,7/6/05,FEDERAL FST-100,1,4.06,1998,2033,DUAL FUEL,11 to 15 years old,I.C.I. MMG-42 (P),#4,146609,102626,21258,14881,,,Elevator Apartments,14,40175,1,6,40,42,1924, , 
2032500065,"2850 WEBB AVENUE
Bronx, NY 10468
(40.873148990577995, -73.90066446129676)",Con Edison,2850 WEBB AVENUE CORP.,MGP REALTY LLC,"2850 WEBB AVENUE
BRONX, NY 10468
(40.873148990577995, -73.90066446129676)",CA218186X,7/6/05,ROCKMILLS MP-90,1,4,1986,2021, ,21 to 26 years old,IND COMB #MMG 42-P,#4,146000,102200,21170,14819,Yes,2020,Elevator Apartments,14,54256,1,6,57,57,1957, , 
2025270032,"1125 DR M L KING JR BOULEVARD
Bronx, NY 10452
(40.83772426336412, -73.9233322114124)",Con Edison,NYC HPD,NEW YORK CITY HOUSING,"1105 UNIVERSITY AVENUE
BRONX, NY 10452
(40.83731252378702, -73.92807946190192)",CA282783K,7/5/05,FEDERAL PLW -331,1,55.4,1983,2018, ,26 to 30 years old,PREFERRED BHE-8-3M4,#6,146000,102200,21900,15330,,,Elevator Apartments,17,639330,6,14,700,700,1953, , 
2033140065,"2665 GRAND
Bronx, NY 10468
(40.86739262455648, -73.89983074888151)",Con Edison,MILL SHAN REALTY CO,MILLSHAN REATLY CO.,"363 WESTCHESTER AVENUE
PORTSHESTER, NY 10573
(41.00430253378631, -73.67137892173311)",CA126180R,7/6/05,FEDERAL FST-250,1,9.3,1980,2015, ,26 to 30 years old,INDUSTRIAL COMBUSTION DEG-105-P,#6,141380,98966,21207,14845,Yes,2014,Warehouses,15,201600,1,9,118,123,1922, , 
2044290001,"2550 OLINVILLE AVENUE
Bronx, NY 10467
(40.863816236651225, -73.86838289481757)",Con Edison,ALLERVILLE ARMS,ALLERVILLE ARMS OWNER,"310 143RD STREET
NEW YORK, NY 10030
(40.82158789036993, -73.94303423942956)",CA017589J,7/5/05,FEDERAL FST 350,1,14.7,1989,2024, ,21 to 26 years old,ICI DEG 145-S,#6,141372,98960,21206,14844,Yes,2019,Hospitals & Health,13,232532,1,18,213,213,1965, ,YES
2036720001,"1965 LAFAYETTE AVENUE
Bronx, NY 10473
(40.82229539387017, -73.85643000837979)",Con Edison,PARK LANE RESIDENCE CO. % PAOLA APTS. INC.,PACLA APARTMENTS INC,"155 ELMIRA LOOP
BROOKLYN, NY 11339
(40.649723063146425, -73.88037616574464)",CB809905Y,7/5/05,FEDERAL FLR - 4857 (EXSTG),2,17.7,2005,2040,DUAL FUEL,5 to 10 years old,ICI DEG-175P (NEW),#6,140160,98112,21024,14717,Yes,2022,Elevator Apartments,18,400932,1,21,353,353,1969, , 
2025430060,"750 132 STREET
Bronx, NY 10454
(40.80139460760218, -73.91675934715195)",Con Edison,132ND STREET ASSOCIATES THE BEN. CAPITAL CO.,780 E 132ND ST. CO.,"708 THIRD AVENUE
MANHATTAN, NY 10017
(40.75237006993255, -73.9733233627241)",CA210494L,7/5/05,FEDERAL  FST-350,2,14.11,1994,2029, ,16 to 20 years old,HEVE  DEG-145 (P),#6,139612,97729,20942,14659,Yes,2013,Elevator Apartments,17,300000,1,2,0,2,1956, , 
2033040035,"2720 GRAND
Bronx, NY 10458
(40.86260132868841, -73.88479001504714)",Con Edison,PROPERTY SERVICES LLC,2720 LLC,"5600A BROADWAY
BRONX, NY 10463
(40.87943056565291, -73.90428356958549)",CA408090Z,7/7/05,ROCKMILLS MP350,1,13.48,1990,2025, ,16 to 20 years old,HEVE DEG 145P,#6,139612,97729,20942,14659,Yes,2014,Educational Structures,15,255200,1,6,166,166,1929, , 
2032250148,"2300 SEDGWICK AVENUE
Bronx, NY 10468
(40.862500266632196, -73.9089930204407)",Con Edison,ROSEWALL GARDENS ASSOCIATES,SEDGWICK 8 LLC,"141 50 85TH ROAD
BRIARWOOD, NY 11435
(40.70119264912154, -73.80979665579099)",CA022380P,7/5/05,ROCKMILLS MP-4-162,1,5.8,1980,2015, ,26 to 30 years old,ICI DEG 63P,#6,137057,95940,20559,14391,Yes,2015,Walk-Up Apartments,14,92748,1,6,80,80,1927, , 
